SegmentId,StartTime,EndTime,Transcript,Topic
,,,  he wa angryƒ?? but if you were saying ƒ??Yeah I wa really angryƒ?? and your body language,
,,,  is just slumped and you kind of look depressed well may be they are not going to believe,
1VCaJ4dSHak7,3.03,3.23,  that you are actually angry .,No
,,,  So actually it give make your presentation look more genuine .,
,,,  Number three a Suggestive gesture so these are the thing like mood an expression,
,,,  for example : you could say I welcome you in with open arm since you got your open palm,
,,,  symbolises that you are open .,
,,,  So you could say that this guy in audience who wa just wonƒ??t listen to anything else,
1VCaJ4dSHak8,3.29,3.53,  or saying he just NO and you are crossing your arm and you kind of you are suggesting,No
,,,  that even though he may be crossing his arm he wa closed off that wa the vibe that,
,,,  he wa giving off the emotion that he wa giving off .,
,,,  You could do lot of other thing like striking your shoulder you know NAHH !,
,,,  Who care or you could also you know even show your back and when there you just dint,
,,,  care about I wa talking about .,
1VCaJ4dSHak9,3.56,4.16,  Last one number four is Prompting Gestures ; So these are the one that prompt the audience,No
,,,  to do something so what I am going to take Tony Robbins doe this really well he might,
,,,  say raise your hand if you want to earn million dollar this year .,
,,,  And so I am raising my hand a I am telling people to raise their hand hence they are,
,,,  more likely to do it .,
,,,  Or you could say let get warmed up everyone let s jump up and down on the spot .,
1VCaJ4dSHak10,4.22,4.44,  So you can see in the video I am jumping and so it encourages audience or prompt them,No
,,,  to do something that you want to do .,
,,,  So they have the four gesture which we can use while giving a presentation and there,
,,,  are some idea on how you can use them .,
,,,  When it come down to using them effectively I am going to create an entirely other video,
,,,  and podcast .,
1VCaJ4dSHak11,4.46,5.1,  About that I have got five tip on you can use them more effectively but really it come,No
,,,  down to preparation and practice and being natural in your gesture .,
,,,  Donƒ??t try and feel force and you donƒ??t feel natural then donƒ??t do it .,
,,,  If it is flowing like it doe in conversation everyday conversation with your friend,
,,,  with your family with your colleague then thatƒ??s the good sign that theyƒ??re going,
,,,  to be hand gesture that will work .,
1VCaJ4dSHak13,5.13,5.54,  And also you just you want to avoid those hand gesture that just really take away from,No
,,,  your presentation and donƒ??t support what you are presenting .,
,,,  So I guess the rule is gesture are supporting what you are saying and then they are probably,
,,,  going to be great .,
,,,  If it take you away from what you are saying like scratching your face adjusting clothes,
,,,  playing with your ring figure than probably they will take you away from the presentation,
,,,  and you donƒ??t want to use them .,
,,,  For more video audio and article just like this one you can get them on blog hit over,
,,,  the publicspeckingpower.com and I will see you in next episode where we talk about the,
,,,  five tip for better public speaking gesture .,
h6sm47j-Am41,0,0.17,   I have often heard professional speaker say,Structure
,,,  you should start your presentation with a joke .,
,,,  That attention grabber is critical,
,,,  and I wan na disagree with this advice .,
,,,  I do not recommend telling a setup punchline joke,
,,,  the kind that a stand comic would tell,
h6sm47j-Am42,0.2,0.34,  and there are a lotta reason why .,No
,,,  Now at the same time I am 100 % in favor,
,,,  of using lighthearted humor in a presentation,
,,,  and I do it often when I do professional presentation,
,,,  and when I teach in college .,
,,,  So there are some difference here,
h6sm47j-Am43,0.35,0.5,  but I can give you a really straight ahead way,No
,,,  to add humor without the big risk of a punchline joke .,
,,,  So let 's take a look .,
,,,  ( light music ),
,,,  Hi I 'm Alex Lyon and this is Communication Coach .,
,,,  We 're here to help you increase your impact,
h6sm47j-Am44,0.52,1.09,  and lead your team to higher level of excellence .,No
,,,  Lotta bad advice out there in my humble opinion,
,,,  about telling joke a attention grabber .,
,,,  Here is the most common situation that I have seen .,
,,,  The speaker try to start off with a joke,
,,,  that they have created and then nobody laugh .,
h6sm47j-Am45,1.12,1.26,  And then instead of just moving on,No
,,,  they start chuckling nervously to cue people,
,,,  that that wa a joke .,
,,,  The audience may or may not chuckle nervously,
,,,  and it 's an incredibly awkward situation .,
,,,  Now think about this this is the first moment,
h6sm47j-Am46,1.28,1.46,  of your presentation and you completely bombed,No
,,,  and there are nothing but cricket and nervous laughter .,
,,,  This is not the way you want to start a presentation .,
,,,  It 's really high risk and really low reward .,
,,,  So I am against these stand comic setup,
,,,  and punchline one joke .,
h6sm47j-Am47,1.48,2.02,  Now having said that I 'm gon na sound,No
,,,  like I 'm contradicting myself but I am not .,
,,,  There 's a lot of way to add humor,
,,,  to your attention grabber without the big risk .,
,,,  So let 's look at three easy way to add,
,,,  some lighthearted humor and still grab,
h6sm47j-Am48,2.05,2.19,  your audience 's attention .,No
,,,  The first way is to deliberately quote,
,,,  someone else that 's funny .,
,,,  Now by quoting them directly by saying a Jerry Seinfeld,
,,,  once said or a George Burns once said,
,,,  then you may even have the piece of paper in your hand,
h6sm47j-Am49,2.22,2.34,  and read the quotation .,No
,,,  What you 're doing there is you 're drawing,
,,,  people 's attention to what that other person said,
,,,  and it take the attention off of you a the joke teller .,
,,,  So you know they have a funny line that kill .,
,,,  It 's already been tested .,
h6sm47j-Am410,2.36,2.47,  They 're stand comic they probably worked on it,No
,,,  for year to get it just right .,
,,,  And now you 're both you and your audience,
,,,  focusing on that little line,
,,,  that little humor a an object that you 're both looking at .,
,,,  So the attention 's not on you .,
h6sm47j-Am411,2.48,2.56,  And if it bomb which they usually do n't,No
,,,  because if they 're funny they 're funny,
,,,  because it 's already been worked out,
,,,  then what you do is you get a little chuckle,
,,,  you get a little laugh .,
,,,  But if it bomb then it 's not really on you .,
h6sm47j-Am412,2.59,3.09,  It 's on George Burns it 's on Jerry Seinfeld .,No
,,,  I wa saying to my wife the other day,
,,,  you know Jerry Seinfeld said in his bit,
,,,  `` My parent just moved to Florida .,
,,,  `` Now they did n't wan na move to Florida,
,,,  `` but they 're 65 and that 's the law . '',
h6sm47j-Am413,3.12,3.23,  And my wife laughed huge .,No
,,,  I 'm always trying to make my wife laugh,
,,,  but she laugh when I tell Jerry Seinfeld joke,
,,,  and I think it 's because you can hear the comedian,
,,,  telling the joke in your mind a the person share it,
,,,  and it transport you a little bit more,
h6sm47j-Am414,3.25,3.34,  than hearing me Alex Lyon a the speaker,No
,,,  tell my one joke .,
,,,  So quote someone else that 's funny .,
,,,  Use a quotation .,
,,,  That 's a great attention grabber no problem .,
,,,  The other way you can add humor is by telling,
h6sm47j-Am415,3.36,3.47,  a lighthearted story .,No
,,,  And the way to make a story lighthearted,
,,,  and by the way I have a whole nother video,
,,,  on how to tell story a attention grabber,
,,,  I 'll put that link in the description below,
,,,  is you add a little bit of a goal to the person,
h6sm47j-Am416,3.5,4.01,  in the story .,Structure
,,,  They 're trying to reach a destination,
,,,  achieve something and that way your story get humorous,
,,,  because the obstacle along the way prevent them,
,,,  from reaching that goal and it becomes,
,,,  pretty lighthearted pretty funny .,
h6sm47j-Am417,4.02,4.16,  That 's the whole reason why a movie like Dumb and Dumber,Structure
,,,  is funny because it 's a road trip movie,
,,,  where these two guy are trying to get from A to B,
,,,  from Providence to Aspen to see about a girl,
,,,  and everything that can go wrong doe go wrong,
,,,  on their way .,
h6sm47j-Am418,4.16,4.27,  And so all these mishap become very humorous,Structure
,,,  because you know there 's a goal in mind,
,,,  that is preventing and they 're being prevented,
,,,  from getting there .,
,,,  So adding a little bit of a humorous goal,
,,,  to your story can make that story more lighthearted .,
h6sm47j-Am419,4.3,4.39,  So you can tell a story .,No
,,,  It 's not a punchline but it add just a little bit,
,,,  of a chuckle a little bit of a smile,
,,,  to your audience 's experience .,
,,,  And the third way is really easy,
,,,  and that is to show something visual,
h6sm47j-Am420,4.41,4.52,  on the screen that you know is funny .,No
,,,  So maybe there 's a cute picture,
,,,  maybe there 's a little bit of a joke even on the slide,
,,,  and you do n't have to tell it .,
,,,  You just have to say something and then show the image,
,,,  and people chuckle .,
h6sm47j-Am421,4.53,5.04,  You 've probably seen speaker use humor this way .,No
,,,  It 's a very low way because when you were looking,
,,,  at the internet or doing your reading,
,,,  you came across it and you laughed,
,,,  or somebody forward it to you and you laughed .,
,,,  Everybody think it 's funny .,
h6sm47j-Am422,5.05,5.19,  Everyone know it 's funny .,No
,,,  And so you share it in a presentation and it 's almost,
,,,  guaranteed to get a smile .,
,,,  So I am 100 % telling your own setup,
,,,  punchline joke but I am also 100 % in favor,
,,,  of using lighthearted humor and these are three,
h6sm47j-Am423,5.22,5.35,  low way to do it without worrying,No
,,,  about nobody laughing,
,,,  and just hearing those cricket chirping .,
,,,  That 's a really hard way to start a presentation .,
,,,  And trust me I 've seen a lotta people crash and burn,
,,,  and they just completely fall apart,
h6sm47j-Am425,5.37,5.54,  because they 're trying to do it that way .,Structure
,,,  So question of the day what are your suggestion,
,,,  for adding humor but not joke to your attention grabber,
,,,  in your presentation ?,
,,,  I would love to hear your comment and your question,
,,,  in that section below .,
,,,  So thanks god bless and I hope you grab,
,,,  your audience 's attention really well,
,,,  in your next presentation .,
dEDcc0aCjaA1,0.01,0.14,  `` Hi I 'm Jason Teteak .,No
,,,  I help people overcome their fear of public speaking and deliver amazing presentation,
,,,  and today I 'm going to show you how to captivate your audience within the first 5 minute of,
,,,  your presentation .,
,,,  Here 's how I 'm going to do it . '',
,,,  `` I 'm going to show you 5 step to deliver a killer opener . '',
dEDcc0aCjaA2,0.18,0.38,  If you 're watching this you probably already know that delivering great presentation is,No
,,,  critical to advance your career but did you know that research say that most adult will,
,,,  stop listening to your presentation within the first 10 minute if they are n't convinced,
,,,  there 's something in it for them ?,
,,,  The problem is that most people do n't know about the skill they need to hook their audience,
,,,  give a great presentation and overcome their fear of doing it .,
dEDcc0aCjaA3,0.43,0.53,  What am I going to do ?,No
,,,  Hi Jim .,
,,,  How 's it going ?,
,,,  I 'm freaking out about this big presentation I have to give tomorrow .,
,,,  Well did you write out your opener and practice it three time ?,
,,,  No .,
dEDcc0aCjaA4,0.54,1.09,  No ?,Structure
,,,  Why not ?,
,,,  I 'm terrified and I do n't even know where to start .,
,,,  Trust me I 've been in that situation before and it 's not fun .,
,,,  So to help you out I 'm going to show you my 5 step formula to deliver a killer presentation,
,,,  opener every time .,
dEDcc0aCjaA5,1.1,1.29,  Let 's start off with step number one which is `` Give a Confident Introduction . '',Structure
,,,  One of the biggest mistake people make when they start their presentation is showing nervousness .,
,,,  Here 's the key : It 's not whether you 're nervous it 's whether you show it .,
,,,  The first thing you need to do is stand STILL .,
,,,  Do n't move .,
,,,  Do n't pace and keep your hand at your side .,
dEDcc0aCjaA6,1.33,1.53,  This is the most calm and confident stance on the planet and it handle the number 1,No
,,,  need of your audience which is to feel safe .,
,,,  Now you can introduce yourself and say `` Hi my name is Jason Teteak . '',
,,,  When you do this bring your inflection down at the end to show confidence .,
,,,  Instead of : `` Hi my name is Jason Teteak ? '',
,,,  Say : `` Hi my name is Jason Teteak . '',
dEDcc0aCjaA7,1.56,2.13,  See the difference ?,Structure
,,,  Now we move on to step 2 which is Give Your Credentials .,
,,,  This is where many presenter make the mistake of simply giving their title and year of,
,,,  experience .,
,,,  They say something like `` I 'm a presentation skill coach and I 've been doing it for 20,
,,,  year . '',
dEDcc0aCjaA8,2.14,2.33,  Yet your audience want to know : `` What can you do for me ? '',No
,,,  They need to know who you are why you 're the best person to deliver this presentation,
,,,  and what you have to offer them .,
,,,  For example I might say `` I help people overcome their fear of public speaking and deliver,
,,,  amazing presentation . '',
,,,  What would that look like for you ?,
dEDcc0aCjaA9,2.35,2.52,  To figure this out you need a short elevator speech .,No
,,,  It look like this : `` You know how some people have this problem ?,
,,,  Well I offer this solution . '',
,,,  The solution you offer is how you help people .,
,,,  For me it wa : `` You know how some people have a fear of public speaking and a have,
,,,  hard time getting their message across in a presentation ?,
dEDcc0aCjaA10,2.55,3.16,  Well I help them overcome their fear of public speaking and deliver amazing presentation . '',No
,,,  What 's your credential statement ?,
,,,  You 'll be amazed at the effect this ha on your audience .,
,,,  Step 3 is to `` Deliver Your Hook . '',
,,,  My hook for this video presentation might look something like this `` I 'm going to show,
,,,  you how to captivate your audience within the first 5 minute of your presentation . '',
dEDcc0aCjaA11,3.21,3.35,  When you do this you have to get your audience to `` feel '' something .,No
,,,  How do you get them to feel ?,
,,,  You have 3 choice .,
,,,  You can get them to feel more happy more successful or more free .,
,,,  Look at my hook .,
,,,  I said `` I 'm going to show you how to captivate your audience within the first 5 minute of,
dEDcc0aCjaA12,3.4,3.57,  your presentation . '',No
,,,  When you captivate your audience within the first 5 minute of your presentation you 'll,
,,,  feel happier because they are listening to you you 'll feel more successful because you,
,,,  look like an expert and you 'll feel more freedom when you spend le time worrying,
,,,  about your presentation the night before .,
,,,  Here 's the practical for you .,
dEDcc0aCjaA13,3.58,4.14,  For your presentation write down the word `` I 'm going to show you ... '' then fill in the,Structure
,,,  rest with something that 's going to create more happiness success or freedom for your,
,,,  audience .,
,,,  Here 's the rule .,
,,,  You ca n't tell them WHAT they 're going to get until you 've told them WHY they would,
,,,  want it .,
dEDcc0aCjaA14,4.15,4.37,  Your hook ha to be something that get them to BELIEVE that they want what you 're going,No
,,,  to give them .,
,,,  Take a moment right now and write down WHY your presentation will make your audience,
,,,  more happy successful or free in their life .,
,,,  And now we move on to step number 4 which is to `` Introduce Your Agenda . '',
,,,  I recommend you use a PowerPoint for this step and the slide should look something,
dEDcc0aCjaA15,4.41,4.56,  like this .,No
,,,  The purpose of this step is to show your audience the takeaway for your presentation  the,
,,,  thing they get to `` take away '' and use tomorrow after listening to your presentation .,
,,,  Do n't read the slide .,
,,,  They 're adult .,
,,,  They can read .,
dEDcc0aCjaA16,4.57,5.11,  Instead just give them a moment to read it themselves and introduce your agenda by summarizing,Structure
,,,  what you 'll be doing .,
,,,  You do this by mentioning the number of takeaway you 'll be giving them and paraphrasing the,
,,,  goal of your presentation .,
,,,  Here 's what it look like :,
,,,  `` I 'm going to show you 5 step to deliver a killer opener . '',
dEDcc0aCjaA17,5.16,5.35,  What would this look like for you ?,No
,,,  The last step is Step 5 Give a Credible Statement .,
,,,  You can do this by giving relevant or compelling data to your audience to support your message .,
,,,  Remember how I did this at the beginning of this video ?,
,,,  I said `` You probably already know that delivering great presentation is critical to advance,
,,,  your career but did you know that research say that most adult will stop listening,
dEDcc0aCjaA18,5.4,5.57,  to your presentation within the first 10 minute if they are n't convinced there 's something,No
,,,  in it for them ? '',
,,,  When you do this within the first 2 minute of your presentation your audience start,
,,,  to trust you .,
,,,  Without bragging your listener start to think `` oooh this guy know what he 's talking,
,,,  about '',
dEDcc0aCjaA19,5.58,6.14,  Done .,No
,,,  When I put those 5 step together it sound like this :,
,,,  `` Hi I 'm Jason Teteak .,
,,,  I help people overcome their fear of public speaking and deliver amazing presentation,
,,,  and today I 'm going to show you how to captivate your audience within the first 5 minute of,
,,,  your presentation .,
dEDcc0aCjaA20,6.16,6.34,  Here 's how I 'm going to do it . '',Structure
,,,  `` I 'm going to show you 5 step to deliver a killer opener . '',
,,,  `` You probably already know that delivering great presentation is critical to advance,
,,,  your career but did you know that research say that most adult will stop listening,
,,,  to your presentation within the first 10 minute if they are n't convinced there 's something,
,,,  in it for them ? '',
dEDcc0aCjaA21,6.35,6.53,  Wow !,No
,,,  Do you see how powerful that is ?,
,,,  Those are the 5 step to deliver a killer presentation opener whenever you do a presentation .,
,,,  I know this is a lot of information for you to take in .,
,,,  For that reason I put together some free video training for everyone who stayed to,
,,,  the end of this video .,
dEDcc0aCjaA23,6.55,7.28,  You 'll not only learn how to give a killer opener but the exact skill and specific,No
,,,  technique you need to nail your entire presentation .,
,,,  To get your free training all you need to do is click the button right here or the,
,,,  link below in the description .,
,,,  So go on get your free training and click that link below .,
,,,  I hope you enjoyed this video and if you did let me know by leaving a comment hitting,
,,,  the thumb up button and subscribing to my channel .,
,,,  This is Jason Teteak from ruletheroom.com and you just learned the 5 step to deliver,
,,,  a killer opener every time you give a presentation .,
MnIPpUiTcRc1,0.01,0.09,  pay practitioner today I 'm going to be,No
,,,  teaching you with the help of my friend,
,,,  Dana Blouin the top seven tip for a,
,,,  great presentation,
,,,  Dana blue and a an entrepreneur,
,,,  currently living in Bangkok Thailand,
MnIPpUiTcRc2,0.12,0.22,  where he is a co and CEO of a,Structure
,,,  company called mango lab anyways here 's,
,,,  some of his tip we all have to give,
,,,  presentation at different point in our,
,,,  life that might be for school or work or,
,,,  an organization that you were n't,
MnIPpUiTcRc3,0.23,0.32,  involved with no matter where we give,No
,,,  the presentation or to who we want to,
,,,  make sure that it ha the impact on the,
,,,  audience and that it 's memorable these,
,,,  are seven tip that are going to ensure,
,,,  that you nail the presentation and leave,
MnIPpUiTcRc4,0.34,0.43,  a lasting impression on your audience,No
,,,  number one know your audience the first,
,,,  step in preparing for any presentation,
,,,  should be to get a better idea of who,
,,,  your audience is knowing your audience,
,,,  will allow you to understand the type of,
MnIPpUiTcRc5,0.45,0.53,  content they are going to be expecting,Structure
,,,  with regard to depth and technical,
,,,  detail you would n't want to give the,
,,,  same presentation to a group of high,
,,,  school student who are interested in,
,,,  entrepreneurship that you went to a,
MnIPpUiTcRc6,0.54,1.03,  roomful of startup founder and CEOs,Structure
,,,  because their expectation and level of,
,,,  understanding will be on completely,
,,,  different level dig up a much a you,
,,,  can about who your audience is what,
,,,  industry they work in and what,
MnIPpUiTcRc7,1.05,1.13,  position they generally hold this,No
,,,  allows you to really tailor the content,
,,,  and delivery of the presentation in a,
,,,  way that will really make it stand out,
,,,  and be 'rememorable too many time,
,,,  people give killer presentation at one,
MnIPpUiTcRc8,1.15,1.23,  venue to a group made up of their core,No
,,,  audience and then bomb on the same,
,,,  presentation to a different group,
,,,  because they did n't make the change,
,,,  they needed to better address the new,
,,,  audience just because you kill it in one,
MnIPpUiTcRc9,1.25,1.34,  audience doe n't mean the same exact,Structure
,,,  content will replicate the reaction with,
,,,  all audience number two use structure,
,,,  to build on idea if you stand up and,
,,,  give a presentation and all the point,
,,,  you want to make are just tossed around,
MnIPpUiTcRc10,1.36,1.44,  randomly and they do n't make any sense,Structure
,,,  not too many people are going to enjoy,
,,,  your presentation and if they remember,
,,,  it it 's likely that it 's not for the,
,,,  reason that you want them to however if,
,,,  you structure your presentation in a way,
MnIPpUiTcRc11,1.46,1.55,  that each idea each section build on,Structure
,,,  the one before it you help your audience,
,,,  connect with the content and create,
,,,  logical link between the concept this,
,,,  is a great way to make more complex,
,,,  idea easier for the audience to,
MnIPpUiTcRc12,1.56,2.06,  understand and remember,No
,,,  number three use visuals another great,
,,,  tool to cement those idea in the mind,
,,,  of your audience is to use visuals like,
,,,  chart graph and infographics to,
,,,  illustrate and communicate a concept a,
MnIPpUiTcRc13,2.08,2.17,  many a 65 percent of people are,No
,,,  considered to be visual learner so if,
,,,  you do n't take this approach in your,
,,,  presentation you are going to ignore the,
,,,  vast majority of the population using an,
,,,  image regardless of if it 's a picture,
MnIPpUiTcRc14,2.18,2.27,  graph or chart can be a much more potent,No
,,,  conveyor of information and ha a much,
,,,  more powerful impact on the audience a,
,,,  single image can convey so much,
,,,  information just like the old saying,
,,,  that a picture 's worth a thousand word,
MnIPpUiTcRc15,2.29,2.38,  it really is think of the impact this,Structure
,,,  can have when explaining data or result,
,,,  in a presentation if you had to stand,
,,,  there in front of your audience and go,
,,,  through every data point verbally it can,
,,,  get bad quickly and this is much more,
MnIPpUiTcRc16,2.4,2.48,  common of an occurrence than you might,No
,,,  think but if you 're able to visualize,
,,,  that data for your audience with a graph,
,,,  or chart you instantly make it much more,
,,,  understandable and memorable showing,
,,,  someone 200 percent growth with a graph,
MnIPpUiTcRc17,2.49,2.59,  is much more exciting than explaining it,No
,,,  while they 're looking at the raw data,
,,,  for example if I took away the screen of,
,,,  this video and all you saw wa black it,
,,,  would n't be near a exciting number four,
,,,  repetition is your friend having a bit,
MnIPpUiTcRc18,3.01,3.08,  of structure in your presentation go a,Structure
,,,  long way in keeping the audience engaged,
,,,  because they can follow the information,
,,,  from step to step but even more than,
,,,  just structuring the flow of the,
,,,  presentation you also want to build in,
MnIPpUiTcRc19,3.1,3.19,  repetition this encourages people to,Structure
,,,  remember the key point of the,
,,,  presentation and help it stick which,
,,,  again make it and you more memorable a,
,,,  classic way to go about repetition is,
,,,  something Dana learned early on when he,
MnIPpUiTcRc20,3.21,3.3,  started his public speaking career,No
,,,  another speaker at a big regional tech,
,,,  event came up to him after a talk and,
,,,  complimented Dana on is delivery in the,
,,,  depth of the material but asked why he,
,,,  did n't use more repetition Dana wa a,
MnIPpUiTcRc21,3.32,3.38,  bit stumped because he never really,No
,,,  thought about that before the other,
,,,  speaker suggested that Dana start,
,,,  telling the audience what it is he,
,,,  wanted to tell them just to give them a,
,,,  brief rundown of the key point after,
MnIPpUiTcRc22,3.4,3.48,  that move right into the body of the,Structure
,,,  presentation and tell them exactly what,
,,,  wa highlighted at the beginning but,
,,,  obviously with more detail and extra,
,,,  element that you add in to make the,
,,,  presentation stick then in the,
MnIPpUiTcRc23,3.5,3.58,  presentation by telling them what you,Structure
,,,  just told them reminding them of the key,
,,,  point and a brief summary for final,
,,,  repetition using this technique help to,
,,,  reinforce the main point of the,
,,,  presentation at least three time at the,
MnIPpUiTcRc24,4,4.1,  beginning middle and end the key is to,Structure
,,,  find a way to do this that it feel,
,,,  natural and not overly scholastic and,
,,,  that take practice which we 'll talk,
,,,  about later on tip number five have a,
,,,  story to tell,
MnIPpUiTcRc25,4.11,4.19,  the difference between an average,No
,,,  presentation that people zone out of and,
,,,  a great presentation that keep them,
,,,  engaged is how you convey the,
,,,  information to the audience,
