Topic,Sentence
No,In his speech he highlights the con and pro and at the end he realised the room for improvement. Visual effects were good and supported his speech. Last part was very effective.
No,consistency on the style of visual slides.
Structure,Starts with a fact
No,Clear slides with only 2 numbers
No,uses big gestures
No,"quite jerky movements, a little off-putting"
No,"Speaks very quickly, comes across as passionate, but some pauses would be better"
Structure,Nice personal ending
No,Makes point and uses microphone to aid voice volume perhaps
Structure,I can't remember clearly but I think one person talked about building points incrementally and I guess his statistics does this
No,He speaks quite quickly but not consistently
No,Appears to be well rehearsed
Structure,Finishes or closes repeating the purpose or a take home message for the audience encouraging people to be involved with a 'bill of rights' for the WWW
No,i sense nervous in his voice
No,I think he speaks without text.
Structure,"It's easy to follow, but the structure could have been marked more clearly like 'Now I'll mention some of the dangers' etc."
No,Good closing!
No,very nice visual
Structure,very nice beginning
No,feels a bit nervous
No,Very good visuals
Structure,This presentation is terrible. He talks too fast and the content of his No is all over the place. I didn't really get what is the crucial point of his talk.
No,Really loving the No - so simple and effective and doesn't distract from the spoken text.
No,use of one visual multiple times to tell the story of the growth of the world wide web
No,His speech is difficult to follow
No,An excellent conclusion that is also a call for action
No,very good pauses to make it more important
No,nice ending
No,Fantastic vocal variety
No,Delivering facts in the context of a story
No,He talks too fast
No,He's definitely passionate about the subject
No,he speaks too fast I can't really follow him
Structure,"use statistics, history"
Structure,use statistical data
No,too fast spoken
Structure,uncoordinated
No,boring
No,"If i go with what i learnt from the Video 5th, i will just say that this Sir Tim Berner is a little nervous, you can see it on his face but he got a great presentation there which is can be related to Speech and little No if compared to No 6th Video (TED-woman presenter)"
No,No seems more hesitant than the other presenters we've seen
No,Story telling approach engaging
No,Clear visual showing the growth of the use of the Web
No,His deep knowledge is evident in his discussion of the influence of the Web on everyday lives
Structure,Effective way of making points: listing 'I want...' Supported well with visuals
No,Suggesting ways for the audience to get involved
No,Makes final point strongly
No,speech is not as clear as it could be
No,speech is too fast difficult to follow
No,nice No
No,"Correction to the previous comment-If i go with what i learnt from the Video No 2 and , i will just say that Sir Tim Berner is a little nervous, but he got a great presentation there, which can be related as Speech and little No if compared to No 6th Video (TED-woman presenter) which is completely No.Great and good speech though."
No,"Diction is not great, I didn't catch that last sentence."
No,"I like the way he seems to be speaking freely, i.e. not completely scripted word for word."
No,"Clear message from the slide. Nothing to read, puts focus on the speech."
Structure,"Repetition of ""I want a web.."" is a nice hook that collects the points nicely."
Structure,"Reaching conclusion, a nice way to sum up, as this is the first time the title of the talk has been mentioned."
No,Using obviously is bad.
No,"Feels un prepared, lots of ums and ahs."
Structure,Feel like we are getting side tracked.
Structure,Too many points? Should I be worried about censorship or privacy or both.
No,Took a while to get used to his speech style which can be staccato-like
No,No help greatly to orientate audience to what he is saying
No,Needs to slow down. Add some pauses.
No,I got distracted midway wondering if he has a lisp rather than on the content of his speech
Structure,"The closing was sort of attention grabbing in a way - where he involves the audience in wanting to ""fight"" for something"
No,not a great opener
No,not using silence/pauses and speaking quickly
Structure,hasn't set out the story or structure of the presentation - don't know what the headline/arguement is
No,speaking quickly
No,good simple visuals so far though
No,not as clearly/simply argued as could be
No,good level of emotion shown
No,engaged animated No at times
No,encouraging engagement of the audience through inclusive questions
No,great closing comments
No,Sir Tim Berners-Lee speaks quite fast and full of personal characteristics.
No,An innovated pie chart.
Structure,I feel that he did not speak according to a script word by word. He added many thoughts on the fly.
No,"The visual design is consistent in the style, and all surround one symbol, the blue networked globe of the earth."
Structure,"This is a very sincere, innovative and original thought."
No,Stumbles  -doesn't seem sure of next point?
No,"I think the audience are scientists and doctors, so it need not any fancy visual effect."
No,the diagram is useful for explaining a concept
Structure,complex start for none familiar
No,confusing visual
No,good relaxed stance and animation
No,Good slow speach-appears confident
No,great engaged No
Structure,Good summary/end commentary
Structure,Great opening by putting into perspective how breast cancer affects people
Structure,A very difficult concept made very digestible!
No,No helps with the explanation process of the difficult concept
Structure,Would have wanted to hear more about the statement she made in closing. but guess there were time constraints
No,There is perhaps too much on that slide for me.
No,She speaks clearly and slowly to emphasise important bits.
No,"Again did you see how she is pointing at the point that she is showing the audience, meaning she got the traits when compared to Video No 5 that did a presentation on the same platform(Ontario). In fact this presentation is way cool."
No,good use of hand gestures
Structure,clear speech
Structure,Opening is clear but not attention-grabbing or engaging
Structure,"'So if you'll join me in imagining...' Involving audience, getting alongside, using analogy"
No,Effective hand gestures
No,Great visual aid that could be used to support several explanations
No,"Very clearly explained, telling a story"
No,good vocal
No,bad graphic
No,good command over language
No,very confident
Structure,"I think her presentation is too theoretical and do not explain her topic in a way that everyone can understand. I wish she could explain this with giving a similar example from everyday life, or a fortress or a meal......"
No,"she uses her voice and gestures really well. and she seems passionate about her topic, she is selling it but I have no idea what she's talking about."
No,Very well delivered
Structure,very good start with main point
No,very good visual from start
No,very good posture
No,clear presentation she manages to present what would have been potentially a difficult subject in  a very clear and simple manner  that is easily understood by the audience
No,I'm really enjoying the pace of this presentation. The words are clear and the voice tone engaging.
No,She talks too fast and not interact with the audiences. I can hardly follow her.
No,"A very standard intro, doesn't really catch attention"
No,"Good example with ""Now imagine with me..."" and then move to the slide"
No,"Good use of gestures, emphasises her points"
Structure,"Good, succinct closing"
No,"refer to the previous video, I don't think we need to introduce ourselves in the beginning of the speech."
No,"good presentation. clear explanation, to the point and in three minutes"
Structure,Well rehearsed
No,The 's's seem to be employed
No,Uses No
No,Confident stance. Not sure that the beginning where she greeted audience and end where a number of technical terms were given - were captivating for me but I am sure those in the field would be fine with this. Pleased she didn't use the 'but wait there's more' sales pitch approach - bit of a tension with her topic I guess. I enjoyed her speaking approach.
No,"Good that there is only one picture on the slide, writing maybe a bit small/could be clearer"
No,uses hands well
No,explains her picture well
No,"Clear speaker, uses pauses"
No,"She speaks with authority, could smile perhaps"
Structure,Strong conclusion
No,make the graphic meaninful
Structure,"The speech was very dynamic, it had a clear structure. Nice introduction, main par and effective conlusin the highlight what her research is targeting."
No,very clear and easy to understand
No,Animated hand movements.//Not actually distracting.
No,Relate the content to the audience in a way that they can understand
No,Good silence at start to build anticipation
No,'Story' in intro instantly attracts attention of listeners
No,Awesome speaker. Calm but assertive and easy to understand and listen to. Effectively communicates his content in a way the audience can relate to and understand.
No,Nice finishing punchline
No,Remained focused on giving an audience an understanding of his reasoning and the relevance of his research without getting bogged down in technical details.
No,Finished with a clear summary of what his research is for. The finish linked nicely with his opening statements.
No,"Good opening, straight into the topic in an accessible way"
No,Good short conclusion.
Structure,"Give the audience a story and lead them on it, even if the story is only a short one as a motivation"
Structure,"Opens with an interesting hook, that promotes thought on his problem area and domain. Then leads viewers from this point along how he developed and used his research. Good use of story and opening."
Structure,Fantastic use of analogy to make a complex subject understandable for people that might not have a background in chemistry.
Structure,Good relevant information
No,Good placement and use of hands
No,"Makes a number of points that align her with the audience (she shows her understanding of what they may be thinking). This helps reduce the ‘distance’ between her and the audience, but also makes us more valuing of her points."
Structure,Lead the audience on a cohesive story during the presentation
No,Simple graphics to illustrate point
No,Visuals are both interesting and relevant. They continually give us immediate context for the domain of the speech’s current point.
No,Visuals part way through not only help hold attention but make her speech content more understandable. They act as examples without being too specific or so technical that they distract from her speech.
No,"Really enjoyed the No in this one - they're uncomplicated, and serve to illustrate her points without distracting from her content. Nice to see the lack of constant text on the screen"
No,"This guy speaks way too quickly, almost seems to fall over his words. He also says 'um' a lot, probably because the rapid fire No doesn't allow him to think about what he is going to say next"
No,I actually find this guy really hard to watch. He seems very jittery and it doesn't translate well
No,Lots of short but powerful points to get his ideas across to viewers.
No,Good use of tone in speech
No,"Short, sharp ending with a definite goal and leaves the audience with a primary idea in mind."
No,Obviously a very jumpy speaker.. comes across initially as very nervous but it seems its just his personality. If his pace were smoother and calmer he would be easier to listen to but I think also less interesting since his wacky presentation alludes to his passion on the subject. He still manages to effectively communicate his content. His use of No is useful without being distracting.
Structure,Start feels a bit jumpy but content and presentation visuals tide over until he gets underway.
Structure,"Presentation has a good flow, leads us along the progression of the internet in a way that makes us better understand the issues it faces when he discusses them."
Structure,"Begins with a question to the audience, gets them thinking."
Structure,The intended direction/aim of the presentation is unclear.
No,"No are simple, displays the statistics nicely without too much text"
No,Good use of data in presentation slides
No,"Relatively simple graphic with a relatively simple message.//More likely the audience will get something from this than a less informative graphic, or a busier graphic."
No,"Infographic backs up what he is saying  in an interesting way, gets audiences attention."
No,Solid understanding of her content and speech strucutre leads to a clear and controlled presentation
No,Lots of hand movements gives slight visualisation and shows enthusiasm for talk topic
No,Explains high level content in a way that anyone with high school level education can understand. This allows for a large target audience.
No,"Nice ending, gives a short and to the point summary of the presentation topic."
No,Very strong finish. Closing statement is clear and impactful.
No,No obvious big start or hook. But gets into the important content quickly (no fluff) which largely reduces the need for this.
No,Can we fund her research pls?
Structure,Speaker did an awesome job of taking a highly complex domain problem and presenting it in a way that the audience can grasp the content.
No,"Single graphic for the entire talk, used well to demonstrate points within the talk."
Structure,lego analogy on point
No,He is speaking in a rushed tone.
No,"Silence between points, emphasising them."
No,His hand gestures help sustain audience attention.
No,"Messy, and hard to understand"
No,Using too much hand gestures now and is becoming a distraction.
No,He used a story and things people already know to explain what he does which engaged you
Structure,"His use of stories was really engaging, and using different analogies made it more relatable for people from different fields."
No,interesting story and captivating opening
Structure,good analogies which makes the talk better to understand
No,"Pauses, hand gestures, eye contact, change in pace"
No,Use hands to emphasize point
No,The pace is a little bit too fast
Structure,I like how he structured his speech with an initial opening story to grab the audiences attention and lead them to his main idea
No,Lots of pictures on one slide - makes it unclear what point is being made
No,Simplification of jobs - makes it easier for all to understand but may be insulting to others
No,He is only looking in one direction - not at camera - do not feel involved
No,Relationship between topic and everyday things ie. chess
No,How computers are better than humans and how this translates to his topic - comparison
Structure,Simple ending that leaves people feeling underwhelmed
No,makes good eye contact
No,"Lots of hand gestures, and pauses for effect"
No,He was passionate about his topic which made it easy to listen to his ideas.
No,Starts presentation with an anecdote.
No,"Talks clearly with confidence, but talks a bit too fast."
No,almost too much gesturing. Good use of the lego analogy and nice slide presentation
No,"Was not a fan of this example, found it hard to keep engaged"
No,Engaging
No,very engaging begin
No,"only had 3 minutes, yet used his time wisely and didn't rush"
No,Very clear and concise No
Structure,"Story to start, gaining interest."
No,Giving numbers meaning with analogy
No,"The individual items on the slide were good as they were visual representations of what he was saying, allowing audiences to visualize as they listened without being distracting, however the slide itself was too busy with too many things on it and the tree background."
Structure,The tree link was good as it tied his points together.
Structure,The story aspect made the speech considerably more engaging than it may have otherwise been.
No,Well rehearsed and personable
No,"The good thing about this presenter is that he has taglines. He opens his presentation and closes it with remarks. So, he put things clear for the audience to understand. What I think is lacking is the slide. The background picture is covered with other overlapped pictures. This is not eye welcoming."
No,ok
No,I found there was a little to much hand action which distracted from his points.
No,"- The use of a story at the start of the presentation made it engaging.
- Knew his material well.
- Good amount of hand gestures.
- Good variation in voice."
No,Quite and interesting concept. Using hand gestures to display the significance
No,shows it all using an analogy
Structure,"Clear speaking, but there seems to be too much information on some slides at one time or another."
Structure,Clear opening
No,"surprisingly interesting, relevant to study. He was a good speaker, keeping me engaged. Short and informal, yet factual and insightful"
No,Eye contact is maintained with the audience
No,Rhetorical questions
Structure,Anecdotes
No,engaging beginning
No,good hand gestures
Structure,good and short gets the point cemented more clearly
No,refers to slide but also always looks at audience
No,changes tone when talks about more serious topics
Structure,at the end brings everything back together
No,strong ending
Structure,It's interesting how he compares it to something else
Structure,using an anecdote to start immediately engages the audience and keeps them listening
No,too much pointing
Structure,start with a stroy
No,makes use of metaphor
No,engaging No
Structure,Starts with his little anecdote
No,"Varies pitch, tone, speed for better No"
No,Uses hand gestures to emphasise ideas
No,Only uses one slide with very few words for his entire 3 mins
No,Gives his stats in context
No,Uses tree metaphor to expand idea
Structure,"Ends with a strong, single message for the audience to remember"
No,Dumbs down content a lot
No,Good gestures with hands
No,Pauses for effect
No,Good variation in speed of No
No,"Likened a computer's skills at chess a computer's ability to solve medicine issues, therefore he used the technique of making complicated issue simple by using an analogy."
No,"He had a strong opening statement, however I didnt like it when he said stuff like ""as shown on the slide"""
No,"Powerful introduction that grabbed the attention of the audience by starting with, ""I want to tell you a story..."" used hand gestures, spoke clearly and involved the audience"
No,this shows how short pauses in speeches don't seem awkward at all!!
No,I enjoyed his presentation because he is calm when he speaks and isn't condescending.
Structure,He gave a single sentence to sum up his speech which was really strong.
No,The analogies help convey ideas which are complicated in a simple easy to understand manner
No,The simple power point is useful to the audiences understanding
No,"Good humor, well received by crowd."
No,He was able to make the audience to visualize the point that he was trying to point quite clearly by not only using the image but also by comparing to things in life that we can picture of.
No,"engaging, funny and informative. The use of good body language, pauses, humour and examples to convey ideas with ease to listener."
No,Wow what a cool analogy
Structure,Starting with a story helps to engage the audience.
No,Be humour
Structure,starts with a story
Structure,"I like how it starts with a story, includes joke and analogies that we (as an audience) can relate to, (e.g. chess)."
No,"Real case study on trees, I found very interesting and left an impression"
No,This speech was short but delivered the necessary information. Audience engagement was high due to the No of the speech from the speaker being very good. It was also high due to the speech following a structure that was easy to follow.
No,"Strong relateability to a well known topic, and used enthusiasm and confidence to boost the audiences attention effectively as well as other No techniques"
No,Engaging beginning
No,"GOOD: Putting pictures of things that didn't seem to relate to each other on the slide and then showing during the course of the presentation how they worked together was an excellent way for the audience to interested in the talk - ""How does lego and chess relate to computers?"""
No,GOOD: Only a few statistics used - the audience wouldn't be able to appreciate lots of statistics and not using any statistics would probably be boring.
Structure,BAD: Is starting the presentation with a story too adrupt?
No,BAD: Maybe too much gesturing?
No,Clear and interesting. good pace a tad fast if anything
No,this ones is actual so good
No,good to use the chess example so people can visualise what he's talking about
No,Starts off with interesting story rather than boring introduction
No,He had one slide with no words!
No,Super interesting to listen to even though there is no visual aid
No,"So he wants to use the alogorims that are used for chess to make chemistry easier???
His No was to informative and to the point"
No,"Used the minimal on the slides, only to support what he was saying"
Structure,Engages you from the beginning using analogies and then explaining how the random images relate together
No,"Starts with story to engage audience and make topic not seem boring, gestures are used, relaxed confident stance."
No,Refers to where the information can be found on slide - this seems unnecessary but does help audience
No,Passionate about speech which adds interest. Gives problem and solution which makes his material more intriguing
No,"Cool presentation, engaging content and well spoken"
No,Deliver knowledge to audience
Structure,references to TV shows are v effective
No,Starts with an attention grabbing question
No,"Not much writing on slides, just photos which means that the slides are not dividing the audience' attention from the speaker"
No,She is swaying side to side instead of standing at one point. This is becoming a distraction.
No,Uses two colours in visual presentation.
No,"Not giving the audience much eye attention, keeps looking to the floor or to the side"
Structure,outlined what she was gonna talk about
No,"She spoke in a very conversational way, so it was easy to listen to and relaxed."
No,"She kept saying I think, which I didn't think was the most assertive way she could be communicating points or ideas."
No,effective figures
No,"Less words
Images
Moving images
More images than words
Use words in images"
No,Love the pictures
Structure,I like how she opens her presentation with the argument she is going to convey to the audience so they have a clear idea what the presentation is about from the beginning. I think this is good structure.
No,Have a strong topic that people are interested in - start with a wild proposition
No,Lots of changes in power point - to many points to draw attention to
No,Try to manipulate peoples thinking to make them think twice about their values and how they align - makes people more interested
Structure,Relate to media and their influence - use example that people know
No,Swaying from side to side - off putting
No,Not a lot of connection between the visuals and the speech
No,Personal opinion - makes it more interesting - more connection
No,Graphic is very confusing to understand - draws attention away from point
No,Wild assumptions - get audience re-interested. Change of tone projects important point
Structure,Tries to put your feet in the media's shoes
Structure,Relate points to reasearch
Structure,boring start
No,good figure
No,sways her hips alot
No,engaging finish
No,"Could have a better posture, moves around nervously a bit"
No,The pictures she used helped to keep the audience engaged.
No,Animation keeps people interested.
No,linked to the wider world.
No,Through the visual representation was relevant to the points
No,Awesome!
No,Quite engaging visuals however potentially a bit busy and hard to fully take in dialogue
No,Gives examples of media
No,Stand out words
No,Analogy
No,Swaying
No,Lots of swaying/side stepping which is quite distracting
No,"Whilst clearly committed to her argument, her linguistic choices often reflect a timid approach which comes across as somewhat unreliable."
No,love it
No,"Her speech is fantastic. One advantage though is the title too. The title of the presentation is already exciting. So, by speaking about it, she must make it more interesting. The way she decipher the topic one by one is in good order too."
No,i like this one
No,The swaying was a little distracting and so was looking at the notes and trying to change slides ect. could be fixed with more rehearsal.
No,"- She keeps moving side to side, which is distracting.
- Boring presenter."
No,Good visual aid. Visualization
No,"Walking around a little, meaning she seems like she is engaging with different parts of the audience"
No,Good use of No
Structure,"Engaging movement while talking, also related to something the audience is familiar with."
No,Pretty cool
No,same theme throughout
No,"Engaging and well rehearsed speaker, clearly was confident in the topic. However dragged on a bit at the end."
No,great No
No,pauses
No,very visual that distracted from the talking
Structure,She's doing the thing where you connect the dots for the audience
No,good use of varying voice to keep audience engaged
No,too much going on.
No,Too much swaying
No,saying is annoying
No,simple and effective aids
No,very monotone
No,doesn't look at the audience much
Structure,Outline argument
No,Too much boring content
No,Nice simple slides
No,"Blah, blah, blah, not enough variation in pace or tone"
No,"Blah, blah, blah"
Structure,No clear structure
Structure,No key point to follow
Structure,What is the point that the speaker is trying to convey?
No,"Living in a false reality, (social media is not all about gender stereotyping)"
No,"Speaker is trying to create gender stereotyping, not solve it"
No,Uses a powerful speech to convey her point. Using research and opinion together to help us understand her viewpoint.
No,"Her speech was relatable and told I story. My favorite part was when she talked about how advertising is now working on social media, because as a social media user I could relate. My take home from this video is that the audience will be more likely to be interested if you are relatable."
No,Good use of statistics and she ensured the audience understood these statistics or facts by using personal examples
No,The No were limited and were very simple to understand making for an enjoyable presentation
No,She changes her tone to show enthusiasm.
No,Using the word 'lame' gives more emphasis to her point.
Structure,The introduction is interesting and creates the talking points of the speech
No,Very good use of graphs to convey ideas
No,power points are very effective
No,Changes in pace keep it interesting and emphasises points.
No,"The presentation is clear, big and easily to visualize and understand for each point."
No,"many No used. Simple slides, which add to keeping speakers content engaging, which without it would not be so."
No,"This presentation really lacked and intruguing visual aid, plus her constant movement as very distracting"
Structure,Starts with an interesting title so that people are curious about what she's going to say.
No,Appropriate movement while talking. Try to relate to something is popular(well-known)
No,"They are very effective No- simple, easy to understand, minimal"
No,I strongly disagree with this woman.
No,Great mind map and other No
No,"Speech is fluent and well prepared creating further engagement, in addition to the original interest of the topic."
No,"Use of power point effectively and simplistically to engage the audience with the topic, and how it is changing."
No,The swaying was distracting
Structure,GOOD: Having an unusual title interests the audience - they would want to have this title explained as part of the presentation
No,GOOD: Having animations is a good idea - they interest the audience and help to explain concepts easily.
No,BAD: I think Blakley paced around too much - it was rather distracting
No,BAD: Blakley pausing to look at her powerpoint control to change slides broke the flow of the presentation
No,The slides moving while she is talking is slightly distracting
No,"idk bout this
kinda got bored, as in like this is old news"
No,visuals were good though
No,She steps from side to side and it is extremely distracting.
No,too much going on on screen - distracts from what she's saying
No,Rhetorical question
No,The speaker was very confident and had obviously done a lot of practice.
No,"There was quite a lot of No, it was practically like a story"
Structure,Interesting title that encouraged people to want to listen
No,"Her movement across the stage was quite distracting throughout, also when she kept turning to look at the screen with the pointer. Very distracting for the audience"
Structure,Starts off with a strong thought which could be controversial but then joins the dots for clarity
No,Use of changing computer image slightly distracts from what she is saying.
No,"Relates a part to 'Mad Men' which helps some audience members identify with material, whilst leaving others slightly confused as they cannot relate"
No,"Sways side to side a lot, a bit distracting. Also perhaps too much gesturing"
No,good No
No,solid ending
No,Make presentation via questions and pics
No,Sucks to be a guy
No,what a twitchy guy- passionate though
No,Not a very interesting intro.
No,Used words that audience can relate to i.e. cool.
No,Using statistical numbers to reinforce the idea
No,Words where too small and too compact to read.
No,Bad- stuttering and using words like umm.
No,"His body posture looks uncomfortable and uneasy, which gives a bad vibe to the presentation."
No,It is obvious he was unrehearsed for this speech as he stuttered while trying to remember correct lines.
No,Too many colours in presentation.
No,"Bad - Hand gestures are moving way too fast, therefore are becoming a distraction."
No,"Memorable ending, sharing his passion to the audience by asking them a favour."
Structure,does not make clear points
No,too much arm movement
Structure,he leaves a lasting idea
No,speaks too fast no change in tone
No,"uses um, no silence"
No,boring
No,"He made excellent points but he did stutter and mumble a bit, so at points it sounded a bit disjointed."
Structure,He summarised his points really clearly throughout.
No,"Slightly hard to understand the speech, however he presents confidently and has an effective use of the 5 s's"
Structure,"Linking slides
Telling a story"
No,Need to slow down a bit
No,"Very good use of No, the moving diagrams and images allows us to picture the ideas he is talking about in his presentation."
No,Talks really fast - hard to understand
No,Very easy graphics to understand
Structure,"Advantages and disadvantages, looks at both view points"
Structure,Warnings to the public or risks and benefits
No,"Possibilities - what they want, gets viewers inspired that it could happen"
No,No gaps in speech - very full
No,very engaging intro
No,well delivered point
No,effective slides with sufficient information without making them too distracting
No,monotone voice left me bored
No,Speech is good. Use of change in tone to give emphasis
No,"Great No, but really hard to listen, being so fast paced"
No,"His volume is changing quite often and he's talking quite fast.
Makes you think that he's not 100% comfortable or confident"
No,Rhetorical question keeps audience engaged.
No,This talk is interesting and the No he employs are very strong however I felt a bit lost in the middle about what the point of his talk was
No,"Nice use of colours, attracts the audience."
No,"awesome slide animations, makes you want to watch it."
Structure,The conclusion has a call to action without explanation as to how it could be done.
No,His Speech is fragmented and difficult to follow because he joins together his words
No,"Some times was hard to understand what the presentation was talking about, could improve the way the speech was presented"
No,Interesting!
