Topic,Sentence
No," identifying Nash , noxious , weeds and another commented that he had been able to participate , even when not well others reflected on the benefits for their mental health , their confidence and their sense of selfworth . By taking part in feel blue touch screen , I 've"
Environment," experienced happiness that I would otherwise have missed out on . I developed confidence in this supportive environment . They referring to the project , partners , Parks , Victoria , Alcoa and people in parks , foundation , offered gentle encouragement and were supportive"
Environment," , and they talked about being able to manage depression and they 're . Depressed mood being involved in feel blue touch . Green helps me to manage depression . We all know what that feels like get out there into the natural environment . You feel better . In 2007 , I collaborated with"
No," emotional state scale and you probably ca n't read the small writing there , but the only only parameter on which the results were worse after the activity than they were before was pain , and they actually thought that was terrific , because if they Were in pain , it meant"
Environment," they must have done something really energetic and worthwhile , and so they were happy about it . This is a picture taken from one of the days that we spent out in the natural environment . This is a group that was working on a project called Project Scotland , it involved"
Environment," young offenders and older people with mental health issues in working with forestry , UK forestry , Scotland , in dealing with drainage issues , noxious weed removal and the like in the West of Scotland . Just out of air , it provided skills , training , work , experience , social"
No," interaction and the possibility of employment . At the end , many of the participants had been on a oneway trip to nowhere and it spent much of their time involved in drinking drug abuse and petty crime . This program turned them around , and some of them talked to us ."
No," Young men talk to us about setting up your own business . They talked to us about the fact that their families were now proud of them . Instead of being ashamed of them , it was miraculous . This photo was taken during the same study , but this is in the lakes , this Lake"
Environment," District National Park , we spent a day in the Lake District , and there were four groups involved in volunteering all in the same activity . On the same day , people came from the environment agency , which was a government department , and they were using one of their two annual days"
Environment," that they could donate to charity . So they could use two days of their working year to work for an organization , a charitable purpose , and this group of people about eight of them had chosen to work on the environment . There were also people from the Lake District National"
No," Park . Volunteers , group group people from friends of the Lake District and a group of people from an organization called West house , which is a facility locally for people with developmental delays and disabilities . They work together for the day and we worked with them for the"
No," having one grassed area and that Being a sloping site , these are people in wheelchairs . For goodness sake , what are we thinking about in the way we develop , but there are . There are some green shoots . There are some positive examples of good things happening . The active in"
Environment," parks program in the bow and region parks , victoria , g21 , the Department of Health , the Department of Community , the Department of Planning and Community Development , the people & Parks , Foundation and midi bank private are partners in this program ."
No," Jackie daqui vut , the executive officer of the people in parks foundation - here is here and Elaine carbines from g21 and I 'm sure they 'd be very happy to talk to you about this in detail later . It 'S a program that works with health and community agencies to embed within their"
Environment," everyday practices and programs , access to green spaces and all the benefits that access can bring . Groups like diversity at the migrant Resource Center and pathways , which works with people with serious mental illness , are involved , and the people and Parks Foundation has"
Environment," asking if we could be involved in some research in academia . This area has become accepted . When i started at Deakin 17 years ago , they all thought I was a bit of a lunatic . What on earth is she talking about the environment ? For now they really get it in the health sector ."
No, Clearly they get it or I would n't be standing up here today and in the local communities . People clearly get it in fact they got it way before I did John Muir again what an amazing man he was . I only went out for a walk and finally concluded to stay out till sundown for
No," about the importance of accessibility to green spaces , but I 'm interested in the question of quality , particularly with regard to children 's development . Is there equal weight in living , a block away from , say our local football oval to ? I guess wild spaces or more interactive"
No," play spaces that are outdoors for children and how do you value the different types of green space ? There are ? There are important differences and we need football ovals and the like to encourage physical activity . We certainly need those , but in terms of children 's"
No," cognitive development , the availability of more natural green spaces within local communities is significant . So if children get out there into natural green spaces , there inquiring minds will prompt them to ask questions and they will learn problem solving skills and"
No," , large open spaces on which people can play sport , throw frisbees run and the like , as well as some natural or restored green space . That is an area where children will see the bugs and the birds and the bees around . If we have all three of those types of open space in every"
No," area , it will be optimal for children 's development . Think you 've got a comment , a question over here . It 'S a question : now you had the information up there going back quite a while talking about changes in society was saying living closely with animals"
Environment," and the environment . Things like that - and you said something about 250 since the last 250 years ago , and I did n't know the background - what changed socially that people . What was the big change 250 years ago that we can look and learn from well ? 250 years ago we began living in urban"
Environment," environments . The Industrial Revolution was the key there where people move from an agrarian society into large cities , and if you , you will have seen photos of the industrial Britain with the smog bound cities and houses built one on top of one another . The sewage running down"
No," the streets and the like it was an absolute disaster , but even where cities are clean , what has happened ? Is people have become separated from their dependence on nature ? We go to the shop , you know you ask children . Where does milk come from ? They say the supermarket"
No," the awareness Of children about where food comes from and what 's entailed in growing food , there was a very funny story in our evaluation that that an interview with one of the parents said that in a small rural school in Northwest Victoria , where the mother came"
No," home and found the Child ratting around in the pantry and said : what are you looking for and the child said , I 'm looking for the turmeric and the mother said . What 'S turmeric and what 's happened through this program ? Is that the children have been taught to use"
Environment," wonderful education hi , my name is Andrew Crowley , I 'm new to deacon in the sport recreation area in student life and one of the things that strikes me about the university . You'Ve got wonderful social capital here with all these students and wondering if there 's any examples of any"
Environment," research or any connections with students into the community on large scales from a student perspective to it , for their health as well being into the natural environment with ya and Working with community groups around those sorts of things right , I 'm Angela , we have had"
Environment," australian research council where we 're looking at engaging students from Deacon with the natural environment and measuring the impacts of that . So maybe hello , my name 's Ben I 'm . Just a member of the community as well um you touched on Stephanie Alexander 's program , which will"
No," was wondering , what you thought about , having a display of an actual community garden , not just 20 members who go down each week to the jaw and west community garden , but actually having A place which is more because people just do n't ever connect with their food anymore , and I"
No, was just wondering what your thoughts were on that . I think I think the idea of engaging the community in community gardens is fantastic . I'Ve had a number of students who have done studies of the benefits of community gardens and they are enormous
No," opportunity to engage in community gardening is really important , and I think it would be a fantastic idea to to have some displays about community gardens and the opportunities for them and to have the council promoting this , and I know that the council does this . I"
No," know that the council has supported several of the gardens that my students have studied , but to have this really promoted would be fantastic , because I think that many people are not aware even of the notion of a community garden . It it hacks back to the days of europe"
No," look at how this can be done . So talk to me . We do know that it 's actually in a voided health care costs . If you simply look at reduce mental health problems , increased physical activity , 1.5 billion dollars a year is incurred annually in Australia due to"
No," children 's cognitive development , but for their capacity to relate across the generations and for their problemsolving skills . So I think it 's a terrific idea in innercity schools , one of the problems is often space in the primary school where our children went"
No," you know that report highlights the the desperate lack of contact with nature that many of our Australian children have many children , could n't identify a waffle or a bottle brush had never been out into a natural Ashland space . So I think , given that that"
No," is the case , and many children spend so much time in front of a screen to have a wild nature area in every school would be an ideal way to to help balance . The ledger , if you like it 's Terry , Brooks I 'm here close friend of Peter quails . The london school of economics has done a"
Environment," that we look at all three of those intersecting circles , the community , the economics and the environment , and I think that that 's the only way to go . But I I ca n't say that I 'm familiar with that work , but I will certainly go away and look it up . Thank you for the hint ."
No, This is very quick um . Just I 'm a teacher . My name is . I was just wondering the study that you did in the UK with respect to the volunteers and forests . Mmhmm is that available or do we is ? Will there be a linker but um so that when we have our
No," new website up , which we hope will be within a matter of weeks , there will be a link to that report and you 'll be able to access it . But if , if you ca n't do that , contact me by email and I 'll happily send you a copy just to comment , i live in Geelong with two and in a suburb and"
No," community garden or parts , the actual public limited open space is becoming less and less . I ca n't comment on the area because I 'm not familiar with it . I would say that it 's true in most cities that there is an increased density of housing that spaces that were previously"
No," buildings within the city there and from all cultures , and they are so happy to meet each other via the dogs and we go now . We have dinner together and drinks together and and all the rest with our dogs , and I 'm just wondering if you 've done studies into thee , because the"
Environment," happy to we 're , always really happy when we run into each other exam , so I wonder , if they 've been any studies in regard to not only the environment that actual park space , but also to the animals in our environment And the way that , like some of these people as I can hardly see"
No," , there has been research done on pets and their benefits for health and and my own experience as the the owner of two dogs is that I 've Met and made friends with local people , whom I would never have known . Otherwise . I always say that you know when you walk through a park with a"
No," the people would sit around and Pat the rabbits and guinea pigs and cats and dogs and so forth . And there was one particular lady who was relatively new to the facility who refused to come out of her room , who felt that her family adductor in the aged care facility - and"
No," animals and that broke that the ice for Her and she became integrated then into that aged care facility community . So I think that it 's absolutely true and the evidence base from empirical research will show you pets , relieves stress and promote social"
Environment," examples , I I 'm very excited to look at the green shoots and how they develop over time and I 'm hoping that we 'll see more green shoots . As a result of this presentation , I 'd like you to join me in thanking Marty in the gym . You"
No," vice president of the indus institute and anyway she is an urban Artwork expert as well . Thank you , hello , good morning . It 'S a pleasure to be here . I hope you heard me it 's the sound ! It 'S okay , it 's okay ! I hope so so it 's nice to be"
No," here . It 'S a very , very nice opportunity not only to discuss the topic , but also to promote interchange about uh practices . That will be very important in the next . I hope in the next years , but especially in the next"
No," individuals about the relation between uh , of course , between green spaces and physical and mental health , but the third 45 parts , it 's near , say to discuss this with the relation with planning the impact in the"
No," have a park or to have a children playing area or to have something . A private , a private , green area in the time of use and the target groups are quite different and naturally the impacts and"
Environment," health cities perspectives . Some other are more linked to an environmental general environment perspective . In any case , when you look at the work or the the the report about uber and green spaces"
No," to transform in our cities are quite different . When we look at picture one picture four feature : five , one , the other ones . So this typology is something that we must thinking because um it 's a possible one , but it 's something we must think in the"
No," , for example , related with the topic of children with the target group of children . We know also that green spaces since the beginning have specific allergens and bacterias , and that helps too"
No," to the children to get more immunization for the future . So there are some aspects that we feel we understand directly because we have been discussing in the last 10 20 years , but some other ones"
No," that are news and we could reforce it and are also also important to physical , physical condition , mental health benefits we during covid . We have"
No," uh and also social creation , and that improves also the sense of community um . Of course , this is a real difficult to measure , but when we look to this picture of the gardening , we see three groups of age , so we see"
No," environmental protection , we see physical activity , so we see social context . Okay , we see valorization of the the territory and also some understanding and some focus on trust of the community ."
No," kind of objective , objective of improved social capital or social creation in the community , but some matures least some adverse association with green spaces"
Environment," , allergic disease rate of infections . Some talk about security , because some of these green spaces are related with the toxic codependency place of crime , so animate also an im . A bad image of a bad frequency in some hours of the day"
Environment," physical outdoors practice , less pollution , less noise , more social context , the general one list , and then we think that have more Physical and mental health - and that goes to lead us to more"
No," that is terrible for for some of families , especially families that increase in size with children under 18 years old . They are not selfsufficient , so the time the free time they have to practice or to have some"
Environment," the effects of green spaces that we plan . That could be not i 'm not defending passive people , but we should think that environment in general , green environment in general could help people that do n't have so"
Environment," green spaces , but it 's the question of security . Okay , if you go to green spaces outside in some countries on some areas like in mexico in brazil , you have fear so the question of security insurance"
No," was more outside . So that is very important to to know , because we need , as a planners , to understand which kind of families and people in time we have to integrate some of the orientations"
No," to improve the impact of the orientation so to get more impacts . We have to put green spaces close to people , naturally , availability , accessibility , visibility . I respect very important to this ."
Environment," We have to adapt this to diverse demands . We have to improve the comfort , because it 's very important , if you have all people you need to have support for go to wc 's and this kind of of safety . We use uh in this kind of"
Environment," then we look at it . Maybe school environment we can link it with uh young people , public parks with organized sport activities , and then we can combine things of social , of course in sport , gardening , integrated"
No," very important , depending if you use the english system . Sustainable community or intelligent city or ish , friendly city or green , the support the frameworks they did idea the principles we must integrate it and it 's very"
No," important to consider that different levels of organization and different entities are linked in this process . So , let 's , let 's think about what is sustainable mobility . Sustainable mobility in this"
Environment, impact in health also not only impacting the environment but also impacting health and more wellbeing . So it 's the way you want what we want to attend and that help us to redefine
No," combines uh the mobility . You can go by by bike or you can to the next train stations , or it combines also with um proximity , uh parks . This is a more distant area"
Environment," for environment but for health and social investment , and that helped us to justify the efficiency of the project and the discussion of the relevance of the project in the city . Finally , now you have this"
Environment," challenge about sustainable development goals . 11 is directed , but there are others like to reduce inequalities or the questions regarding linkage to environment or even gender equality , because"
No," , and all the other sectors could contribute to this , not only for thinking in investment and but also to think in the impact impact system of indicators . We are going to have"
No," , and thank you very much i do n't know will be in the next future . I hope it is in the right and not in the left or close . I did n't get it at home . Thank you"
No," many communities , and it is no coincidence that these are often in neighborhoods in our towns and cities , with poor green space provision . Now , i 'd like to introduce our speakers"
Environment," first , i 'd like to welcome valerie gladwell good morning , valerie valerie is the course director for the sport and exercise science degree at the university of essex . Her main research interests include physical activity"
Environment," and the natural environment . The importance of green space is for promoting physical activity , behavior change and workplace wellbeing . Next , i would like to welcome luke engelbeck good morning . Luke luke is a chartered landscape , architect"
No," important and the value of that and for our wellbeing and as jane alluded to particularly at this um this challenging time , so i 've put it in this place of workplace wellbeing . I do appreciate"
No, it does come with the downsides um and it increases our stress levels . It does some that leads to decreasing our mental wellbeing and can also lead to our decrease in in physical health . What this leads to is a decrease in
No, It restores our levels of attention for concentration and it reduces our blood pressure and boosts our immune function . So that sounds like it 's . A very positive and powerful resource and wellbeing can kind of
No," give so volunteering , and things also help by keeping learning and and um kind of stretching ourselves also is good for our wellbeing and also am taking notice . So how does nature all fit into that ?"
Environment," , if you 're in a more natural environment and one of The experiments we did , people actually talk more , they actually engage more so that connection is there um in terms of taking notice . You know just looking at this picture and taking notice of the shape of the leaves or"
Environment," university of essex has kind of encompassed that importance of physical activity and the green space together , and we coined this term back in 2003 . And it 's it 's green exercise where you kind of put put the two together"
Environment," , you 'd all have to stand so by um changing what what the environment is . It changes our our behavior and shapes our behavior , so we need to think about that when potentially um designing um those green spaces , what is"
Environment, it that we 're actually looking for ? Is it that we 're looking for them to gain nature by taking part in exercise or we 're kind of trying to change their behaviors by being in that natural environment ?
No," that it actually boosts your mood and selfesteem . So actually it does n't take very long to get a benefit and actually when they , they did a kind of um gathered loads and loads of different data from"
Environment," um , we got them to watch um , just a video um , because we wanted to control the conditions . So it 's a video of a natural environment or a video of um of more built environments and what we found that when we gave them"
Environment," environment or a um , a green environment just around the university of um essex , and we then looked to see what their sleep was afterwards and we were measuring um . What was going on in terms of their control"
No," of their heart , and we basically could determine from this , that their quality of street sleep seemed to improve um if they 'd walked around the green walk compared to if they 'd walked around the blue walk"
Environment," , bristol and um chelmsford , and it was a a walking program where we got them to walk for eight weeks and either um in a nature , environment or a built environment . We had prescribed roots that they were meant to walk"
No," for those that went for the um nature walks . They decreased their blood pressure , they decreased their perceived stress and they increased their mental health . It also seemed to increase the adherence those those people who were in the green"
No, space around work is that there 's a whole community that maybe you can pull together and use what we call social norming that actually it 's normal to go out . So remember i mentioned the line manager . You know if the line manager was
Environment," involved . It was more likely that his um , the people under him or her actually went out and did the exercise . So we want sustained behavior change . So what can we do ? Well um ? This is actually um a diagram from um sport , england"
No," , um about active design . I 'M sure most of you will have seen this , but it 's about awareness , the immunity and accessibility . So how do we translate it ? Well , it needs to be of high quality , some of the work that we were um doing for the nhs um . They were"
Environment," enhances that wellbeing as well and then it 's just those places to be able to connect and and and be together . So if you want more information , we have a website at our university around green exercise"
Environment," , and for me that means taking a step back and seeing our planet on its own in space and houston . We have a problem um we 're right in the middle of a climate and biodiversity emergency , and it 's up to us to choose the future"
Environment," , my apologies there we go . Is that all right ? That 'S super ! Thank you ! Thank you . So we have 44 less land providing for each person , and this may well be eroded further with climate change and biodiversity loss"
No," In a variety of ways , there are direct health effects in terms of floods or heat waves . There are ecosystem , mediated health effects in terms of things like covid , altered infectious"
No," disease off of decreased food yields or effects on mental health and then indirect , deferred or deplete displaced health effects in terms of loss of livelihood , population displacement , uh conflict and so forth . The thing is"
Environment," That 'S about 477 , 000 kilometers off them . A massive loss in ecosystem infrastructure and networks damaged the planet damages human health and there are a series of threats , whether it 's climate change , biodiversity , nutrition , water use or soil degradation"
No," , the evidence base is growing all the time and these cover ecosystems , biodiversity , physical and mental health And now it 's looking into the microbiome , we may experience or augment by being in touch with nature"
No," beautiful . Natural capitalism is often monetized for comparison , but it does n't have to be . There is intrinsic value too um . Kate roweth has done an interesting uh book about donut economics"
Environment," transformative change will be needed to achieve it . So we 've got 10 years to sort out climate change , biodiversity loss , human health and wellbeing they 're all linked , and we have something to do to to say and to to contribute towards"
Environment," helping towards these things . It will be a challenge , and maybe we are the next key workers . We need a whole systems approach , a landscapeled , ecourbanism places , people environment first"
Environment," taking a natural capital approach , investing in maintenance and renewal of existing places , um highest standards for green space , looking at climate change and so forth . The solutions that we need have to"
No," energy , water and biodiversity and do it through interconnected and multifunctional networks . Um urban density can allow proximity to wildlife . This is the greenwich millennium . Village uh had a design i did for the eco park"
No," buildings are covered . Uh with something . That 'S doing something for nature , whether it 's on the roof or on the walls . Ecosystem services are essential infrastructure and we need to start thinking about how"
Environment, really big issue and the coded lockdown earlier this year made it completely plain why we need to rethink this nitrous oxides . Particle and noise pollution are really serious problems in urban areas .
Environment," The particle pollution contains micro plastics from road tires , but also heavy metals for from brakes tires and road pain , chromium , copper , zinc , nickel and lead . So even when the uh diesel and petrol cars have been phased out , we will still have have those from"
Environment, in paris . They have retrofitted a major arterial route by taking out two lanes of traffic and replacing them with greenery to separate vehicles from pedestrians and provide a filter . Curbside planting also can attenuate a
Environment, very large amount of black carbon and a fair amount of pm 2.5 . Whether it is as a low hedge or planting or rain gardens green surface transport corridors also do the same thing . A lot of iron filings are coming off contact with with
Environment," rails . It also helps with reducing heating dealing with surface water and reducing noise , healthier green streets . In a variety of ways can be planned or retrofitted and really improve"
No," , we could use vertical raid gardens if there is n't space for rain gardens on the street . We should also create opportunities for community activities in green spaces , whether it 's growing food or just having an event ."
No," We need to green childhood and getting hands dirty . The global health institute in barcelona did a study to show that children brought up regardless of economic circumstance in greener , as against greater"
No," circumstances , had better working memory and better cognition . This is also when your microbiome is starting to to to embed between years , one and ten . So this is a time to actually get your"
Environment," pounds in avoided cost to the nhs , and this is something which also should promote a reason for why we should green our cities , we 're familiar with the three r 's , But these are the three e 's environment"
Environment," , equality and economy . The most important is environment , because it 's the foundation of everything else , david attenborough , said recently . We are part of natural systems and if we want to save ourselves"
Environment," same time , we can increase biodiversity and and all the stuff that that does in terms of combating the climate crisis and the biodiversity collapse that we 're threatened with , so that photograph is actually linked to the Glasgow project that i"
Environment," um in an existing Park , which is this it 's a small fivehectare local park uh that was created around a la uh , a lake and a park , was built in the 80s . So we sort of found we have this mature or reasonably mature green environment"
No," extended this uh project , this monitoring for two further years , so i 'd be really interested to see how the numbers hopefully go up over the years and how more more and more people in the community"
No, of an extra back water of a canal of the canal system in glasgow and they scraped it out . And used the clay from there to line the rest of the canal system and then just fenced it off . So it 's it
No," became fantastically biodiverse , um , a kind of rich piece of green land , but it also acted as a massive barrier between sort of four or five discrete residential communities , all with with sobering statistics in terms of deprivation and health . Poor"
No," here you can see a plan View which is a bit more helpful , so the the top of the hill is up here . This is a big estate , another big highrise estate , another community . Here sorry , i ca n't remember all the names"
No," endeavor to get this project off the ground and very much the community um led to begin with , but we put in a public path down a spine path down here , which at least connected this bridge here . Can you see my cursor yeah great ? So there 's a bridge across"
No," here and then you walk through here up the steep side and it connected up to these communities here . So suddenly , these people could get down here through a beautiful natural path . What 'S just happened now"
No," and enables these other neighborhoods to connect um . As i said , there was a huge kind of threeday charette at the beginning of this process , a few years back , which meant that the community was the communities because there was about 100 ."
No," to show you next , where the clay was taken out from that they 've turned into this lovely watery bit now with uh boardwalks . There 'S a community here as well , which now has access um , so that was the the nature reserve that"
No," duncan , drew this on for me to tell me which bits had just been done . So what you 're looking at here on the right is the link to the community here , um and then in front of you . These boardwalks"
No," fairly deprived community um and it 's all accessible , and i guess the the thing is that obviously covid has done . Is it 's made all of our worlds ? Much smaller uh we 're all very , very keenly aware of what our very"
No," of west to come , and this is your garden um , the one on the right someone 's taking their child um for a walk . This one saying a joy to use with a mobility scooter more to explore when energy permits . You"
No," know again my mum 's recovering from various operations , and it 's telling her that you have you know it 's knowing that you can go slightly further , each time and slowly build up , and just by going once you get the strengths to go again and"
No," is is , is a huge thing and then a person on the right here uh . My new favorite thing again that starts speaking to ownership as these two uh communities taking ownership , the communities are taking"
No, trying to kind of educate people um as well about those spaces and we 're thinking that more by more biodiversity is important for both health and wellbeing . But i think also luke 's point . You know
Environment," also helping with with the other issues around climate change , yes and luke . I think you also brought in uh the comments that david attenborough uh made and , of course , at our awards , uh ceremony yeah . He said that , if we 're going to"
No," We forget that we are each a walking ecosystem and i interviewed a professor alistair woodward in auckland a couple of years ago about his work uh , where he talked about encountering microbial old friends"
