SegmentId,StartTime,EndTime,Transcript,Topic
MnIPpUiTcRc25,3.44,3.53,"obviously, with more detail and extra",Structure
nan,nan,nan,element that you add in to make the,Structure
nan,nan,nan,"presentation, stick then in the",No
nan,nan,nan,"presentation, by telling them what you",No
nan,nan,nan,"just told them, reminding them of the key",Structure
nan,nan,nan,point and a brief summary for final,Structure
nan,nan,nan,repetition. Using this technique help to,No
MnIPpUiTcRc26,3.55,3.58,reinforce the main point of the,Structure
nan,nan,nan,"presentation, at least three time at the",No
nan,nan,nan,beginning. middle and end. The key is to,Structure
MnIPpUiTcRc27,4,4,nan,No
MnIPpUiTcRc28,4,4.08,"find a way to do this, that it feel",No
nan,nan,nan,"natural and not overly scholastic, and",No
nan,nan,nan,that take practice which talk,No
nan,nan,nan,about later. On tip Number five have a,Structure
MnIPpUiTcRc29,4.08,4.2,story to tell,Structure
nan,nan,nan,the difference between an average,No
nan,nan,nan,presentation that People zone out of and,No
nan,nan,nan,"a great presentation, that keep them",No
nan,nan,nan,engaged is how you convey the,No
nan,nan,nan,information to the Audience,No
nan,nan,nan,a great way to convey the information or,No
nan,nan,nan,key point of your presentation is. to,Structure
MnIPpUiTcRc30,4.2,4.23,use a story,No
nan,nan,nan,using a story preferably an interesting,Structure
nan,nan,nan,one. You get your point across and you,No
MnIPpUiTcRc31,4.25,4.29,"creating a moment in the presentation,",Structure
nan,nan,nan,that is. memorable and easier for the,No
MnIPpUiTcRc32,4.29,4.31,"Audience to recall later. also,",Structure
MnIPpUiTcRc33,4.31,4.35,hopefully going to be something that,Structure
nan,nan,nan,catch their attention pulling them in,No
nan,nan,nan,to what you were saying. One of the key,No
MnIPpUiTcRc34,4.35,4.4,"here, though, is that it ha to be a story",Structure
nan,nan,nan,"you can tell with commitment, and it ha",Structure
nan,nan,nan,to be true always be honest with your,No
nan,nan,nan,audience. because because If you not,No
MnIPpUiTcRc35,4.42,4.45,they will know and you will have lost,Structure
nan,nan,nan,"all credibility, tip Number six. Be",Structure
MnIPpUiTcRc36,4.45,4.53,relatable being relatable is actually,Structure
nan,nan,nan,one of the most important factor of,Structure
nan,nan,nan,your delivery you want to be someone,No
nan,nan,nan,"that your audience. can relate to, But",No
MnIPpUiTcRc37,4.53,4.55,they would feel comfortable with talking,No
nan,nan,nan,to. Even when giving a talk a an expert,No
MnIPpUiTcRc38,4.56,5.06,"on a topic, you want the Audience to feel",No
nan,nan,nan,"the relation it help them mentally,",No
nan,nan,nan,engage with your content and remember,No
nan,nan,nan,you and your talk,No
nan,nan,nan,most people do feel comfortable going,No
nan,nan,nan,up and talking to. a stern authority,No
MnIPpUiTcRc39,5.06,5.09,figure and no one want to listen to,No
nan,nan,nan,someone with no confidence. So there a,No
MnIPpUiTcRc40,5.09,5.16,"fine balance, you need a strike and",No
nan,nan,nan,"here, how the most important thing you",Structure
nan,nan,nan,can do to come across a more relatable,Structure
nan,nan,nan,"is to be authentic, be yourself. Another",No
MnIPpUiTcRc41,5.16,5.21,great way to accomplish this is to work,No
nan,nan,nan,on coming across a relaxed which can be,No
nan,nan,nan,difficult. If you not used to,No
MnIPpUiTcRc42,5.23,5.33,"presenting, but This go a long way to",Structure
nan,nan,nan,"helping people, see you a relatable the",No
nan,nan,nan,final way you can be a more relatable is,Structure
nan,nan,nan,to be enthusiastic about your,No
nan,nan,nan,presentation your enthusiasm will,No
nan,nan,nan,transfer to your audience. and now that,Structure
MnIPpUiTcRc43,5.33,5.42,you have enthusiasm in common you will,No
nan,nan,nan,begin to see is more relatable If you,Structure
nan,nan,nan,get all three of these technique,No
nan,nan,nan,"mastered, you will be we'll On your way to",Structure
nan,nan,nan,"making it to your audience. relate to, you",No
MnIPpUiTcRc44,5.42,5.44,tip Number seven build your confidence.,No
MnIPpUiTcRc45,5.46,5.49,"with practice this might be the last tip,",No
nan,nan,nan,but it is. by far the most important one,Structure
MnIPpUiTcRc46,5.49,5.51,out of these seven confidence. and what,No
MnIPpUiTcRc47,5.51,5.54,you do is by far the most important,Structure
nan,nan,nan,element of your presentation having,Structure
nan,nan,nan,confidence. add an authority to,No
MnIPpUiTcRc48,5.56,6,everything you say during your,No
nan,nan,nan,presentation But you not going to,No
nan,nan,nan,develop the confidence. you need If you,No
MnIPpUiTcRc49,6,6.02,do practice and practice a lot.,No
MnIPpUiTcRc50,6.04,6.05,Whatever Dana give a talk or,No
nan,nan,nan,presentation he practice he say for,No
nan,nan,nan,hour. They want to make sure he,No
MnIPpUiTcRc51,6.08,6.11,ha the timing down that he know every,No
nan,nan,nan,"slide, so he have to read off",No
nan,nan,nan,"them. He know what the next slide is, So",No
MnIPpUiTcRc52,6.13,6.18,he can smoothly transition between them,No
nan,nan,nan,So that he will sound natural and,No
nan,nan,nan,"authentic, and can explain the concept.",No
MnIPpUiTcRc53,6.19,6.19,and tell the story with confidence. and,No
MnIPpUiTcRc54,6.19,6.35,This all come with practice when you,No
nan,nan,nan,"are practicing a presentation, it not",No
nan,nan,nan,enough to sit in front of your computer,No
nan,nan,nan,and go through it you have to practice,Structure
nan,nan,nan,it in front of Other people Invite some,No
nan,nan,nan,friend over and have them give some,No
nan,nan,nan,feedback on your presentation and make,No
nan,nan,nan,improvement based on their feedback No,No
nan,nan,nan,one get it right the first time. But,Structure
MnIPpUiTcRc55,6.35,6.37,practice will,No
nan,nan,nan,get you towards perfect. With these seven,No
MnIPpUiTcRc56,6.37,6.42,tip you should be able to put together,Structure
nan,nan,nan,and deliver a masterful presentation,No
nan,nan,nan,that will wow your audience. and make,No
MnIPpUiTcRc57,6.42,6.51,sure that they remember you and your,Structure
nan,nan,nan,"topic, If you guy, like this",No
nan,nan,nan,"collaboration, be sure to check out",No
nan,nan,nan,"Dana YouTube channel and subscribe, he",No
nan,nan,nan,"ha ton of video on entrepreneurship,",No
nan,nan,nan,"  and self. I hope you guy,",No
MnIPpUiTcRc58,6.51,6.58,"  and self. I hope you guy,",No
nan,nan,nan,  like this video and learn something and,No
nan,nan,nan,"  if you did, click the like button or if",No
nan,nan,nan,  you have n't already the subscribe button,No
nan,nan,nan,  thanks so much guy,No
yoD8RMq2OkU1,0,0.07,Transcriber : eric vautier Reviewer : Helene Vernet,Structure
nan,nan,nan,Most people who come to speak at TED are here because they ’ ve succeeded .,No
yoD8RMq2OkU2,0.13,0.13,I ’ m here because I haven ’ t .,No
yoD8RMq2OkU3,0.17,0.23,For the last ten year,Structure
nan,nan,nan,I ’ ve been helping conference speaker business leader entrepreneur,No
nan,nan,nan,to prepare and deliver powerful presentation .,No
yoD8RMq2OkU4,0.27,0.3,And in those same ten year TED ha shown,No
nan,nan,nan,that presentation can and should be both enjoyable and effective .,No
yoD8RMq2OkU5,0.37,0.47,But ten year on,Structure
nan,nan,nan,despite TED and despite my best effort at school conference and company,No
nan,nan,nan,most presentation still do this to their audience .,No
yoD8RMq2OkU6,0.53,0.55,So have I failed ?,Structure
nan,nan,nan,No ! I just have n't succeeded yet .,No
yoD8RMq2OkU7,0.59,1.04,And to succeed in making all presentation resonate with their audience,No
nan,nan,nan,I need your help .,No
yoD8RMq2OkU8,1.06,1.06,That ’ s why I ’ m here .,No
yoD8RMq2OkU9,1.08,1.09,So I ’ d like to share with you,No
nan,nan,nan,the three magic ingredient of powerful presentation .,No
yoD8RMq2OkU10,1.15,1.15,OK let ’ s just pause there for a moment .,No
yoD8RMq2OkU11,1.18,1.18,I ’ ve told you what I ’ m going to say .,No
yoD8RMq2OkU12,1.21,1.31,The question you should be asking is :,Structure
nan,nan,nan, So what ? What ’ s in it for me ? Why should I care ? '',No
nan,nan,nan,And that is a really important question,Structure
nan,nan,nan,because the first magic ingredient is in fact the audience .,No
yoD8RMq2OkU13,1.36,1.36,The audience is the magic ingredient in every presentation .,No
yoD8RMq2OkU14,1.39,1.39,This is not my talk it ’ s yours .,Structure
yoD8RMq2OkU15,1.42,1.45,Every presentation should be made to measure,No
nan,nan,nan,for a specific audience in a specific context .,No
yoD8RMq2OkU16,1.49,1.58,So why should you care about the magic ingredient of great presentation ?,No
nan,nan,nan,Well it 's very important right ?,No
nan,nan,nan,It ’ s really important to understand that we all have to listen to presentation .,No
yoD8RMq2OkU17,2.03,2.18,Wouldn ’ t it be great if they weren ’ t all so boring ?,No
nan,nan,nan,But we don ’ t just listen to presentation,No
nan,nan,nan,we also have to give presentations right ?,No
nan,nan,nan,How many of you ever have to give presentation ?,No
nan,nan,nan,I think if we ’ re honest we all do .,No
yoD8RMq2OkU18,2.21,2.32,Sooner or later at school or at work,No
nan,nan,nan,and also in interview,No
nan,nan,nan,we all have to present with or without slide,No
nan,nan,nan,and it ’ s how well we present,No
nan,nan,nan,that will make a huge difference to how well we succeed .,Structure
yoD8RMq2OkU19,2.36,2.36,That ’ s why you should care .,No
yoD8RMq2OkU20,2.39,2.39,So that ’ s the first magic ingredient : the audience .,No
yoD8RMq2OkU21,2.42,2.42,Always make it special for them .,No
yoD8RMq2OkU22,2.46,2.46,The second magic ingredient is the speaker .,No
yoD8RMq2OkU23,2.5,2.52,Now you ’ re probably looking at me and thinking :,No
nan,nan,nan,“ Well Phil not very magical . ”,No
yoD8RMq2OkU24,2.52,3.02,Thanks by the way !,No
nan,nan,nan,But it ’ s really important that you put something of yourself in there,Structure
nan,nan,nan,something only you can say .,No
yoD8RMq2OkU25,3.05,3.14,This doesn ’ t mean you tell them what you had for breakfast,No
nan,nan,nan,but it doe mean that if someone else,Structure
nan,nan,nan,could give the exact same presentation in your place,No
nan,nan,nan,then you didn ’ t put anything personal into it .,Structure
yoD8RMq2OkU26,3.16,3.2,And that matter because when you share,No
nan,nan,nan,we care .,No
yoD8RMq2OkU27,3.21,3.21,So show why you care why it ’ s important to you .,No
yoD8RMq2OkU28,3.25,3.25,Tell u example and story from your experience .,Structure
yoD8RMq2OkU29,3.29,3.29,And that will make it more personal and more memorable .,Structure
yoD8RMq2OkU30,3.33,3.36,So those are the first two magic ingredient :,No
nan,nan,nan,the audience and the speaker .,No
yoD8RMq2OkU31,3.38,3.41,I know it doesn ’ t sound very magical,No
nan,nan,nan,but you ’ d be amazed how many presentation have neither of them .,No
yoD8RMq2OkU32,3.46,3.46,So the third magic ingredient is transformation .,No
yoD8RMq2OkU33,3.5,3.56,Now most presentation aim only to inform their audience,No
nan,nan,nan,and it doesn ’ t work very well .,No
yoD8RMq2OkU34,3.58,4.05,Let me take out my magic wand because I ’ m going to do a disappearing trick,No
nan,nan,nan,because like this guy,No
nan,nan,nan,we forget most of what we hear very quickly indeed .,No
yoD8RMq2OkU35,4.11,4.15,But good presentation are not about information,No
nan,nan,nan,they are about transformation .,Structure
yoD8RMq2OkU36,4.17,4.22,They are about changing something in what your audience belief,No
nan,nan,nan,in what they feel in what they do .,No
yoD8RMq2OkU37,4.25,4.28,Imagine you are making a pitch,Structure
nan,nan,nan,for raising fund for a project or a start .,No
yoD8RMq2OkU38,4.32,4.36,After your pitch the audience know everything they need to know,No
nan,nan,nan,but they don ’ t fund you .,No
yoD8RMq2OkU39,4.38,4.39,Did you succeed ?,Structure
nan,nan,nan,No .,No
yoD8RMq2OkU40,4.41,4.53,Now imagine that after your pitch your audience doe give you the fund,Structure
nan,nan,nan,because they feel confident and trusting,No
nan,nan,nan,and they believe that your project will be successful,Structure
nan,nan,nan,and that it is a good investment .,No
yoD8RMq2OkU41,4.55,4.55,All of that is not information it ’ s transformation .,Structure
yoD8RMq2OkU42,5,5.05,So it ’ s easy for me to say “ Don ’ t inform transform ! ”,No
nan,nan,nan,but how ?,Structure
nan,nan,nan,Well every magician need a magic wand and here is yours .,No
yoD8RMq2OkU43,5.1,5.1,It ’ s called the  Audience Transformation Roadmap . '',Structure
yoD8RMq2OkU44,5.1,5.26,This is a really simple but amazingly powerful technique,No
nan,nan,nan,to understand what your transformational objective are,No
nan,nan,nan,and then to brainstorm,Structure
nan,nan,nan,what you can say show and do to transform your audience .,No
yoD8RMq2OkU45,5.3,5.3,So here ’ s how it work .,Structure
yoD8RMq2OkU46,5.33,5.37,To understand how to take your audience on a transformational journey,No
nan,nan,nan,you first need to work out where they are starting from .,Structure
yoD8RMq2OkU47,5.4,5.57,So we ask ourselves four simple question :,No
nan,nan,nan,What doe my audience know before my presentation ?,Structure
nan,nan,nan,What do they know about the subject ?,Structure
nan,nan,nan,What do they believe ?,Structure
nan,nan,nan,And what do they feel ?,No
nan,nan,nan,Now the difference between the two,No
nan,nan,nan,is believing is something you think and feeling is an emotion .,No
yoD8RMq2OkU48,6,6.04,So for example I believe it ’ s time for dinner,No
nan,nan,nan,I feel hungry .,No
yoD8RMq2OkU49,6.06,6.07,See the difference ?,No
nan,nan,nan,Right .,No
yoD8RMq2OkU50,6.08,6.16,So what do they know believe and feel and lastly what do they do ?,No
nan,nan,nan,Now this could be nothing maybe they do nothing relevant,No
nan,nan,nan,or maybe they do something that you need to change .,No
yoD8RMq2OkU51,6.21,6.23,So once you ’ ve worked out where they are before,Structure
nan,nan,nan,you can then take them to where you want them to go afterwards .,No
yoD8RMq2OkU52,6.26,6.26,And we ask the same four question but in the reverse order .,No
yoD8RMq2OkU53,6.31,6.31,So now we know what they do before .,No
yoD8RMq2OkU54,6.32,6.52,What do we want them to do after the presentation ?,No
nan,nan,nan,What do they need to feel ?,No
nan,nan,nan,What should they believe differently to feel and do those thing ?,No
nan,nan,nan,And lastly what do they need to know ?,Structure
nan,nan,nan,And when you follow this process,Structure
nan,nan,nan,you realize very quickly that the real transformation,No
nan,nan,nan,are not in what they know it ’ s in what they believe and feel and do .,No
yoD8RMq2OkU55,6.56,6.56,That ’ s what make the difference .,Structure
yoD8RMq2OkU56,6.59,7.1,Once we ’ ve understood where they are and where we need to take them,Structure
nan,nan,nan,then we can fill in the Transformation Column,No
nan,nan,nan,with all of the idea on what we can say in our presentation,No
nan,nan,nan,to make those transformation in our audience .,No
yoD8RMq2OkU57,7.13,7.13,And that give u the content of the presentation .,Structure
yoD8RMq2OkU58,7.17,7.3,Clear so far ?,Structure
nan,nan,nan,Maybe we should take an example so let ’ s take one !,Structure
nan,nan,nan,Let ’ s assume that I am going to make a presentation,Structure
nan,nan,nan,and I 'd like to explain the three magic ingredient of a great presentation,No
nan,nan,nan,and I ’ d like to make my audience want to use the Audience Transformation Roadmap .,No
yoD8RMq2OkU59,7.35,7.43,So what doe my audience know before the presentation ?,Structure
nan,nan,nan,Well they know that most presentation aren ’ t exactly successful,No
nan,nan,nan,and they know TED is the exception that prof that rule .,No
yoD8RMq2OkU60,7.47,7.48,What do they believe ?,Structure
nan,nan,nan,Probably like most people they believe presentation are for sharing information .,No
yoD8RMq2OkU61,7.53,7.53,It might be wrong but that doesn ’ t stop them believing it .,No
yoD8RMq2OkU62,7.57,8.05,What do they feel about presentation ?,No
nan,nan,nan,Probably bored but also resigned to a really ineffective way of presenting,No
nan,nan,nan,because that ’ s just what everyone doe .,Structure
yoD8RMq2OkU63,8.08,8.15,And lastly what do they do ?,Structure
nan,nan,nan,Well when it ’ s their turn to present,No
nan,nan,nan,they generally will pack thing full of information,Structure
nan,nan,nan,and they won ’ t personalize it to their audience .,No
yoD8RMq2OkU64,8.18,8.27,So what do I want them to do after my presentation ?,No
nan,nan,nan,Well afterwards I ’ m going to want them,No
nan,nan,nan,to aim to transform their audience every time they present,No
nan,nan,nan,to change something in their audience .,No
yoD8RMq2OkU65,8.29,8.29,I ’ m going to need them to personalize their presentation every time .,No
yoD8RMq2OkU66,8.34,8.38,And also I ’ d like them to use the Audience Transformation Roadmap,No
nan,nan,nan,because I know it will help them to succeed .,No
yoD8RMq2OkU67,8.42,8.45,What do they need to feel to do those thing ?,No
nan,nan,nan,Well If they still feel bored or resigned they ’ re not going to do very much .,No
yoD8RMq2OkU68,8.49,8.55,So they need to feel curious about this new technique,No
nan,nan,nan,they need to feel motivated to try it,No
nan,nan,nan,and optimistic that it can work for them .,No
yoD8RMq2OkU69,8.58,9.03,What do they need to believe to feel those thing ?,No
nan,nan,nan,They ’ ll need to believe that the Roadmap,Structure
nan,nan,nan,can actually help them to succeed in their presentation .,No
yoD8RMq2OkU70,9.06,9.1,Lastly what do they need to know to believe feel and do those thing ?,No
nan,nan,nan,Well they ’ ll need to know the three magic ingredient that ’ s pretty basic .,No
yoD8RMq2OkU71,9.14,9.17,They 'll need to know presentation are bad at information,No
nan,nan,nan,but great at transformation .,No
yoD8RMq2OkU72,9.19,9.19,And they ’ ll need to know how to use the Audience Transformation Roadmap .,No
yoD8RMq2OkU73,9.24,9.24,OK now we ’ ve worked out where they were and where I want to take them .,Structure
yoD8RMq2OkU74,9.29,9.29,What can I do now ? I fill in the Transformation Column .,No
yoD8RMq2OkU75,9.32,9.38,So what can I say or show or do to make those transformation ?,Structure
nan,nan,nan,Now usually I ’ m using a flip and some sticky note here .,No
yoD8RMq2OkU76,9.43,9.43,So I ’ m going to use virtual sticky note .,No
yoD8RMq2OkU77,9.45,9.45,Let ’ s start at the top .,Structure
yoD8RMq2OkU78,9.47,9.53,We need to make sure they know the three magic ingredient,No
nan,nan,nan,so I ’ m going to need to talk at some point about the audience,Structure
nan,nan,nan,about the speaker and the transformation .,No
yoD8RMq2OkU79,9.56,9.59,They need to know presentation are bad at information,No
nan,nan,nan,so maybe I should tell them that we forget most of what we hear very quickly .,No
yoD8RMq2OkU80,10.03,10.03,And perhaps I can find a visual way to show that a well .,No
yoD8RMq2OkU81,10.08,10.12,What next ? They need to know how to use the Roadmap so I ’ d better show it to them,No
nan,nan,nan,and I guess I could make it even clearer by going through an example .,Structure
yoD8RMq2OkU82,10.16,10.17,They need to believe,No
nan,nan,nan,that the Roadmap can help them to succeed in their presentation .,Structure
yoD8RMq2OkU83,10.21,10.3,So I ’ ll need to show how easy it is,No
nan,nan,nan,to take all of these sticky note off of the Transformation Column,No
nan,nan,nan,and arrange them in a suitable order,No
nan,nan,nan,to create the storyline for their presentation .,Structure
yoD8RMq2OkU84,10.32,10.32,It really is a short .,No
yoD8RMq2OkU85,10.34,10.34,OK now I need to make them curious .,No
yoD8RMq2OkU86,10.36,10.4,Now to make them curious I ’ m going to need to make them care,No
nan,nan,nan,and to make them care I need to show that I care .,No
yoD8RMq2OkU87,10.43,10.48,So I probably need to explain that most presentation really don ’ t succeed,No
nan,nan,nan,and that I care about fixing that .,No
yoD8RMq2OkU88,10.51,10.53,And then to make them care,Structure
nan,nan,nan,I ’ m going to need to find out how relevant it is to them .,Structure
yoD8RMq2OkU89,10.57,11.01,Perhaps I could ask them how many of them actually need to present,No
nan,nan,nan,and of course I know the answer is pretty much everybody .,Structure
yoD8RMq2OkU90,11.04,11.04,I need to make them motivated and optimistic .,No
yoD8RMq2OkU91,11.06,11.1,Well I can make them optimistic by explaining how easy this is to use,No
nan,nan,nan,but also how powerful it is .,No
yoD8RMq2OkU92,11.12,11.18,And to motivate them to try it,No
nan,nan,nan,I ’ m going to need to explain that successful presentation,Structure
nan,nan,nan,can really make a difference to how well they succeed in life .,No
yoD8RMq2OkU93,11.24,11.27,Lastly to make them do these thing I ’ ll need a call to action,Structure
nan,nan,nan,which focus on what I want them to do afterwards .,No
yoD8RMq2OkU94,11.31,11.36,So there we have it !,Structure
nan,nan,nan,That ’ s a very accelerated version of the brainstorming,No
nan,nan,nan,but it doesn ’ t need to take long .,No
yoD8RMq2OkU95,11.38,11.42,What we have now is just enough relevant idea,Structure
nan,nan,nan,on how we can transform our audience .,No
yoD8RMq2OkU96,11.45,11.5,So what happens next ?,Structure
nan,nan,nan,Well this is where I ’ m going to take my magic wand out again,Structure
nan,nan,nan,because this is where the presentation magic happens .,No
yoD8RMq2OkU97,11.52,12.09,This is where you can take all the sticky note off of the Transformation Column,Structure
nan,nan,nan,prepare a suitably magical story line,Structure
nan,nan,nan,and then arrange all of these idea back into that story line,Structure
nan,nan,nan,and hey presto there is my presentation !,No
nan,nan,nan,Now you might recognize this one because ...,No
yoD8RMq2OkU98,12.12,12.12,this is the presentation you have been watching for the last ten minute .,No
yoD8RMq2OkU99,12.17,12.17,And this is where we are now .,Structure
yoD8RMq2OkU100,12.2,12.25,Isn ’ t that magic ?,No
nan,nan,nan,So now you know what happens next !,Structure
nan,nan,nan,Next I need to explain how simple this can be and how powerful .,No
yoD8RMq2OkU101,12.29,12.29,And it ’ s so simple that it doesn ’ t take an expert .,No
yoD8RMq2OkU102,12.32,12.39,Thousands of people have already used this technique,No
nan,nan,nan,to prepare and deliver fantastic presentation of all kind,No
nan,nan,nan,from TED talk to the boardroom .,No
yoD8RMq2OkU103,12.42,12.55,But more than presentation they ’ ve used it also for email,No
nan,nan,nan,for proposal for preparing interview for preparing conference …,Structure
nan,nan,nan,Basically it work in any situation,No
nan,nan,nan,where you need to change what people believe feel and do .,No
yoD8RMq2OkU104,12.59,12.59,You really don ’ t need a magic wand .,No
yoD8RMq2OkU105,13.02,13.02,This is all the magic you need .,No
yoD8RMq2OkU106,13.1,13.1,Thank you .,No
yoD8RMq2OkU107,13.14,13.14,Thank you . So now I need to give you a call to action and here it is .,No
yoD8RMq2OkU108,13.14,13.14,nan,No
yoD8RMq2OkU109,13.2,13.26,Remember those three magic ingredient of every great presentation :,Structure
nan,nan,nan,the audience the speaker,No
nan,nan,nan,and the transformation you want to create in your audience .,No
