SegmentId,StartTime,EndTime,Transcript,,,,,,,
,,,"in a presentation, If you had to stand",Stand,BodyPosition,BodyLangugenamebodylanguage,NonVerbalCommunication,Delivery,,
,,,there in front of your audience. and go,Audience,,,,Delivery,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc19,2.35,2.43,"through every data point verbally, it can",Audience,,,,Delivery,,
,,,get bad quickly and This is much more,,,,,,,
,,,common of an occurrence than you might,,,,,,,
,,,think But if you able to visualize,,,,,,,
,,,that data for your audience. with a graph,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc20,2.43,2.56,or chart you instantly make it much more,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,"understandable and memorable, showing",Memorable,Impact,,,PresentationAttribute,,
,,,someone 200 percent growth with a graph,Graph,Diagram,Figure,Illustration,VisualAid,,
,,,is much more exciting than explaining it,Video,Film,MovingImage,Illustration,VisualAid,,
,,,"while looking at the raw data,",,,,,,,
,,,"for example, If I took away the screen of",,,,,,,
,,,"This video and all you saw wa black, it",,,,,,,
,,,be near a exciting number. Four,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc21,2.56,3.21,repetition is your friend having a bit,,,,,Structure,,
,,,of structure in your presentation go a,Audience,,,,Delivery,,
,,,long way in keeping the Audience engaged,Information,BodyComponent,StructureComponent,,Structure,,
,,,because they can follow the information,Memorable,Impact,,,PresentationAttribute,,
,,,from step to step But even more than,,,,,,,
,,,just structuring the flow of the,,,,,,,
,,,"presentation, you also want to build in",,,,,,,
,,,repetition This encourages people to,,,,,,,
,,,remember the key point of the,,,,,,,
,,,"presentation, and help it stick which",,,,,,,
,,,again make it and you more memorable a,,,,,,,
,,,classic way to go about repetition is,,,,,,,
,,,something Dana learned early on when he,,,,,,,
,,,started his public speaking career.,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc22,3.23,3.26,Another speaker at a big regional tech,,,,,Delivery,,
,,,event came up to him after a talk and,,,,,,,
,,,complimented Dana on is. delivery in the,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc23,3.26,3.36,depth of the material but asked why he,Material,Prop,VisualAidArtefact,,VisualAid,,
,,,use more repetition Dana wa a,Start,StructureComponent,,,Structure,,
,,,"bit stumped, because he never really",Audience,,,,Delivery,,
,,,thought about that before the Other,,,,,,,
,,,speaker suggested that Dana start,,,,,,,
,,,telling the Audience what it is. he,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc24,3.36,3.44,wanted to tell them just to give them a,Beginning,StructureComponent,,,Structure,,
,,,brief rundown of the key point after,,,,,,,
,,,that move right into the body of the,,,,,,,
,,,"presentation, and tell them exactly what",,,,,,,
,,,wa highlighted at the beginning. But,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc25,3.44,3.53,"obviously, with more detail and extra",Summary,ClosingComponent,StructureComponent,,Structure,,
,,,element that you add in to make the,,,,,,,
,,,"presentation, stick then in the",,,,,,,
,,,"presentation, by telling them what you",,,,,,,
,,,"just told them, reminding them of the key",,,,,,,
,,,point and a brief summary for final,,,,,,,
,,,repetition. Using this technique help to,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc26,3.55,3.58,reinforce the main point of the,MainPoint,BodyComponent,StructureComponent,,Structure,,
,,,"presentation, at least three time at the",Beginning,StructureComponent,,,Structure,,
,,,beginning. middle and end. The key is to,Middle,StructureComponent,,,Structure,,
,,,,End,StructureComponent,,,Structure,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc27,4,4,nan,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc28,4,4.08,"find a way to do this, that it feel",Practice,Preparation,,,Delivery,,
,,,"natural and not overly scholastic, and",,,,,,,
,,,that take practice which talk,,,,,,,
,,,about later. On tip Number five have a,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc29,4.08,4.2,story to tell,Story,StructureApproach,,,Structure,,
,,,the difference between an average,Information,BodyComponent,StructureComponent,,Structure,,
,,,presentation that People zone out of and,Audience,,,,Delivery,,
,,,"a great presentation, that keep them",Information,BodyComponent,StructureComponent,,Structure,,
,,,engaged is how you convey the,,,,,,,
,,,information to the Audience,,,,,,,
,,,a great way to convey the information or,,,,,,,
,,,key point of your presentation is. to,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc30,4.2,4.23,use a story,Story,StructureApproach,,,Structure,,
,,,using a story preferably an interesting,,,,,,,
,,,one. You get your point across and you,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc31,4.25,4.29,"creating a moment in the presentation,",Memorable,Impact,,,PresentationAttribute,,
,,,that is. memorable and easier for the,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc32,4.29,4.31,"Audience to recall later. also,",Audience,,,,Delivery,,
,,,,,,,,,,
MnIPpUiTcRc33,4.31,4.35,hopefully going to be something that,Attention,,,,PresentationAttribute,,
,,,catch their attention pulling them in,,,,,,,
,,,to what you were saying. One of the key,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc34,4.35,4.4,"here, though, is that it ha to be a story",Story,StructureApproach,,,Structure,,
,,,"you can tell with commitment, and it ha",,,,,,,
,,,to be true always be honest with your,,,,,,,
,,,audience. because because If you not,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc35,4.42,4.45,they will know and you will have lost,,,,,,,
,,,"all credibility, tip Number six. Be",,,,,,,
,,,,,,,,,,
MnIPpUiTcRc36,4.45,4.53,relatable being relatable is actually,,,,,Delivery,,
,,,one of the most important factor of,,,,,,,
,,,your delivery you want to be someone,,,,,,,
,,,"that your audience. can relate to, But",,,,,,,
,,,,,,,,,,
MnIPpUiTcRc37,4.53,4.55,they would feel comfortable with talking,Comfortable,SpeakerEmotion,,,Delivery,,
,,,to. Even when giving a talk a an expert,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc38,4.56,5.06,"on a topic, you want the Audience to feel",Topic,BodyComponent,StructureComponent,,Structure,,
,,,"the relation it help them mentally,",Audience,,,,Delivery,,
,,,engage with your content and remember,Comfortable,SpeakerEmotion,,,Delivery,,
,,,you and your talk,,,,,,,
,,,most people do feel comfortable going,,,,,,,
,,,up and talking to. a stern authority,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc39,5.06,5.09,figure and no one want to listen to,Figure,Illustration,VisualAidArtefact,,VisualAid,,
,,,someone with no confidence. So there a,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc40,5.09,5.16,"fine balance, you need a strike and",,,,,,,
,,,"here, how the most important thing you",,,,,,,
,,,can do to come across a more relatable,,,,,,,
,,,"is to be authentic, be yourself. Another",,,,,,,
,,,,,,,,,,
MnIPpUiTcRc41,5.16,5.21,great way to accomplish this is to work,,,,,,,
,,,on coming across a relaxed which can be,,,,,,,
,,,difficult. If you not used to,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc42,5.23,5.33,"presenting, but This go a long way to",Enthusiasm,SpeakerEmotion,,,Delivery,,
,,,"helping people, see you a relatable the",,,,,,,
,,,final way you can be a more relatable is,,,,,,,
,,,to be enthusiastic about your,,,,,,,
,,,presentation your enthusiasm will,,,,,,,
,,,transfer to your audience. and now that,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc43,5.33,5.42,you have enthusiasm in common you will,Enthusiasm,SpeakerEmotion,,,Delivery,,
,,,begin to see is more relatable If you,,,,,,,
,,,get all three of these technique,,,,,,,
,,,"mastered, you will be we'll On your way to",,,,,,,
,,,"making it to your audience. relate to, you",,,,,,,
,,,,,,,,,,
MnIPpUiTcRc44,5.42,5.44,tip Number seven build your confidence.,Confidence,SpeakerEmotion,,,Delivery,,
,,,,,,,,,,
MnIPpUiTcRc45,5.46,5.49,"with practice this might be the last tip,",Practice,Preparation,,,Delivery,,
,,,but it is. by far the most important one,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc46,5.49,5.51,out of these seven confidence. and what,Confidence,SpeakerEmotion,,,Delivery,,
,,,,,,,,,,
MnIPpUiTcRc47,5.51,5.54,you do is by far the most important,Confidence,SpeakerEmotion,,,Delivery,,
,,,element of your presentation having,,,,,,,
,,,confidence. add an authority to,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc48,5.56,6,everything you say during your,Confidence,SpeakerEmotion,,,Delivery,,
,,,presentation But you not going to,,,,,,,
,,,develop the confidence. you need If you,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc49,6,6.02,do practice and practice a lot.,Practice,Preparation,,,Delivery,,
,,,,,,,,,,
MnIPpUiTcRc50,6.04,6.05,Whatever Dana give a talk or,Practice,Preparation,,,Delivery,,
,,,presentation he practice he say for,,,,,,,
,,,hour. They want to make sure he,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc51,6.08,6.11,ha the timing down that he know every,Slide,VisualAidArtefact,,,VisualAid,,
,,,"slide, so he have to read off",,,,,,,
,,,"them. He know what the next slide is, So",,,,,,,
,,,,,,,,,,
MnIPpUiTcRc52,6.13,6.18,he can smoothly transition between them,Transition,StructureComponent,,,Structure,,
,,,So that he will sound natural and,,,,,,,
,,,"authentic, and can explain the concept.",,,,,,,
,,,,,,,,,,
MnIPpUiTcRc53,6.19,6.19,and tell the story with confidence. and,Story,StructureApproach,,,Structure,,
,,,,,,,,,,
MnIPpUiTcRc54,6.19,6.35,This all come with practice when you,Practice,Preparation,,,Delivery,,
,,,"are practicing a presentation, it not",Computer,VisualAidDevice,,,VisualAid,,
,,,enough to sit in front of your computer,Practice,Preparation,,,Delivery,,
,,,and go through it you have to practice,Feedback,AudienceDesire,Audience,,Delivery,,
,,,it in front of Other people Invite some,Feedback,AudienceDesire,Audience,,Delivery,,
,,,friend over and have them give some,,,,,,,
,,,feedback on your presentation and make,,,,,,,
,,,improvement based on their feedback No,,,,,,,
,,,one get it right the first time. But,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc55,6.35,6.37,practice will,Practice,Preparation,,,Delivery,,
,,,get you towards perfect. With these seven,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc56,6.37,6.42,tip you should be able to put together,Audience,,,,Delivery,,
,,,and deliver a masterful presentation,,,,,,,
,,,that will wow your audience. and make,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc57,6.42,6.51,sure that they remember you and your,Topic,BodyComponent,StructureComponent,,Structure,,
,,,"topic, If you guy, like this",,,,,,,
,,,"collaboration, be sure to check out",,,,,,,
,,,"Dana YouTube channel and subscribe, he",,,,,,,
,,,"ha ton of video on entrepreneurship,",,,,,,,
,,,"  and self. I hope you guy,",,,,,,,
,,,,,,,,,,
MnIPpUiTcRc58,6.51,6.58,"  and self. I hope you guy,",Video,Film,MovingImage,Illustration,VisualAid,,
,,,  like this video and learn something and,,,,,,,
,,,"  if you did, click the like button or if",,,,,,,
,,,  you have n't already the subscribe button,,,,,,,
,,,  thanks so much guy,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU1,0,0.07,Transcriber : eric vautier Reviewer : Helene Vernet,,,,,,,
,,,Most people who come to speak at TED are here because they ’ ve succeeded .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU2,0.13,0.13,I ’ m here because I haven ’ t .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU3,0.17,0.23,For the last ten year,,,,,,,
,,,I ’ ve been helping conference speaker business leader entrepreneur,,,,,,,
,,,to prepare and deliver powerful presentation .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU4,0.27,0.3,And in those same ten year TED ha shown,,,,,,,
,,,that presentation can and should be both enjoyable and effective .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU5,0.37,0.47,But ten year on,Audience,,,,Delivery,,
,,,despite TED and despite my best effort at school conference and company,,,,,,,
,,,most presentation still do this to their audience .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU6,0.53,0.55,So have I failed ?,,,,,,,
,,,No ! I just have n't succeeded yet .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU7,0.59,1.04,And to succeed in making all presentation resonate with their audience,Audience,,,,Delivery,,
,,,I need your help .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU8,1.06,1.06,That ’ s why I ’ m here .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU9,1.08,1.09,So I ’ d like to share with you,,,,,,,
,,,the three magic ingredient of powerful presentation .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU10,1.15,1.15,OK let ’ s just pause there for a moment .,Pause,Paralanguage,NonVerbalCommunication,,Delivery,,
,,,,,,,,,,
yoD8RMq2OkU11,1.18,1.18,I ’ ve told you what I ’ m going to say .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU12,1.21,1.31,The question you should be asking is :,Audience,,,,Delivery,,
,,, So what ? What ’ s in it for me ? Why should I care ? '',,,,,,,
,,,And that is a really important question,,,,,,,
,,,because the first magic ingredient is in fact the audience .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU13,1.36,1.36,The audience is the magic ingredient in every presentation .,Audience,,,,Delivery,,
,,,,,,,,,,
yoD8RMq2OkU14,1.39,1.39,This is not my talk it ’ s yours .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU15,1.42,1.45,Every presentation should be made to measure,Audience,,,,Delivery,,
,,,for a specific audience in a specific context .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU16,1.49,1.58,So why should you care about the magic ingredient of great presentation ?,,,,,,,
,,,Well it 's very important right ?,,,,,,,
,,,It ’ s really important to understand that we all have to listen to presentation .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU17,2.03,2.18,Wouldn ’ t it be great if they weren ’ t all so boring ?,,,,,,,
,,,But we don ’ t just listen to presentation,,,,,,,
,,,we also have to give presentations right ?,,,,,,,
,,,How many of you ever have to give presentation ?,,,,,,,
,,,I think if we ’ re honest we all do .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU18,2.21,2.32,Sooner or later at school or at work,Slide,VisualAidArtefact,,,VisualAid,,
,,,and also in interview,,,,,,,
,,,we all have to present with or without slide,,,,,,,
,,,and it ’ s how well we present,,,,,,,
,,,that will make a huge difference to how well we succeed .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU19,2.36,2.36,That ’ s why you should care .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU20,2.39,2.39,So that ’ s the first magic ingredient : the audience .,Audience,,,,Delivery,,
,,,,,,,,,,
yoD8RMq2OkU21,2.42,2.42,Always make it special for them .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU22,2.46,2.46,The second magic ingredient is the speaker .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU23,2.5,2.52,Now you ’ re probably looking at me and thinking :,,,,,,,
,,,“ Well Phil not very magical . ”,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU24,2.52,3.02,Thanks by the way !,,,,,,,
,,,But it ’ s really important that you put something of yourself in there,,,,,,,
,,,something only you can say .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU25,3.05,3.14,This doesn ’ t mean you tell them what you had for breakfast,,,,,,,
,,,but it doe mean that if someone else,,,,,,,
,,,could give the exact same presentation in your place,,,,,,,
,,,then you didn ’ t put anything personal into it .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU26,3.16,3.2,And that matter because when you share,,,,,,,
,,,we care .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU27,3.21,3.21,So show why you care why it ’ s important to you .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU28,3.25,3.25,Tell u example and story from your experience .,Story,StructureApproach,,,Structure,,
,,,,,,,,,,
yoD8RMq2OkU29,3.29,3.29,And that will make it more personal and more memorable .,Memorable,Impact,,,PresentationAttribute,,
,,,,,,,,,,
yoD8RMq2OkU30,3.33,3.36,So those are the first two magic ingredient :,Audience,,,,Delivery,,
,,,the audience and the speaker .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU31,3.38,3.41,I know it doesn ’ t sound very magical,Sound,Audio,VisualAidArtefact,,VisualAid,,
,,,but you ’ d be amazed how many presentation have neither of them .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU32,3.46,3.46,So the third magic ingredient is transformation .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU33,3.5,3.56,Now most presentation aim only to inform their audience,Aim,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,and it doesn ’ t work very well .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU34,3.58,4.05,Let me take out my magic wand because I ’ m going to do a disappearing trick,,,,,,,
,,,because like this guy,,,,,,,
,,,we forget most of what we hear very quickly indeed .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU35,4.11,4.15,But good presentation are not about information,Information,BodyComponent,StructureComponent,,Structure,,
,,,they are about transformation .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU36,4.17,4.22,They are about changing something in what your audience belief,Audience,,,,Delivery,,
,,,in what they feel in what they do .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU37,4.25,4.28,Imagine you are making a pitch,Pitch,Tone,Paralanguage,NonVerbalCommunication,Delivery,,
,,,for raising fund for a project or a start .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU38,4.32,4.36,After your pitch the audience know everything they need to know,Pitch,Tone,Paralanguage,NonVerbalCommunication,Delivery,,
,,,but they don ’ t fund you .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU39,4.38,4.39,Did you succeed ?,,,,,,,
,,,No .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU40,4.41,4.53,Now imagine that after your pitch your audience doe give you the fund,Pitch,Tone,Paralanguage,NonVerbalCommunication,Delivery,,
,,,because they feel confident and trusting,Audience,,,,Delivery,,
,,,and they believe that your project will be successful,Confident,SpeakerEmotion,,,Delivery,,
,,,and that it is a good investment .,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU41,4.55,4.55,All of that is not information it ’ s transformation .,Information,BodyComponent,StructureComponent,,Structure,,
,,,,,,,,,,
yoD8RMq2OkU42,5,5.05,So it ’ s easy for me to say “ Don ’ t inform transform ! ”,,,,,,,
,,,but how ?,,,,,,,
,,,Well every magician need a magic wand and here is yours .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU43,5.1,5.1,It ’ s called the  Audience Transformation Roadmap . '',Audience,,,,Delivery,,
,,,,,,,,,,
yoD8RMq2OkU44,5.1,5.26,This is a really simple but amazingly powerful technique,Objective,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,to understand what your transformational objective are,,,,,,,
,,,and then to brainstorm,,,,,,,
,,,what you can say show and do to transform your audience .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU45,5.3,5.3,So here ’ s how it work .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU46,5.33,5.37,To understand how to take your audience on a transformational journey,Audience,,,,Delivery,,
,,,you first need to work out where they are starting from .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU47,5.4,5.57,So we ask ourselves four simple question :,Audience,,,,Delivery,,
,,,What doe my audience know before my presentation ?,,,,,,,
,,,What do they know about the subject ?,,,,,,,
,,,What do they believe ?,,,,,,,
,,,And what do they feel ?,,,,,,,
,,,Now the difference between the two,,,,,,,
,,,is believing is something you think and feeling is an emotion .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU48,6,6.04,So for example I believe it ’ s time for dinner,,,,,,,
,,,I feel hungry .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU49,6.06,6.07,See the difference ?,,,,,,,
,,,Right .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU50,6.08,6.16,So what do they know believe and feel and lastly what do they do ?,,,,,,,
,,,Now this could be nothing maybe they do nothing relevant,,,,,,,
,,,or maybe they do something that you need to change .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU51,6.21,6.23,So once you ’ ve worked out where they are before,,,,,,,
,,,you can then take them to where you want them to go afterwards .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU52,6.26,6.26,And we ask the same four question but in the reverse order .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU53,6.31,6.31,So now we know what they do before .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU54,6.32,6.52,What do we want them to do after the presentation ?,,,,,,,
,,,What do they need to feel ?,,,,,,,
,,,What should they believe differently to feel and do those thing ?,,,,,,,
,,,And lastly what do they need to know ?,,,,,,,
,,,And when you follow this process,,,,,,,
,,,you realize very quickly that the real transformation,,,,,,,
,,,are not in what they know it ’ s in what they believe and feel and do .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU55,6.56,6.56,That ’ s what make the difference .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU56,6.59,7.1,Once we ’ ve understood where they are and where we need to take them,Audience,,,,Delivery,,
,,,then we can fill in the Transformation Column,,,,,,,
,,,with all of the idea on what we can say in our presentation,,,,,,,
,,,to make those transformation in our audience .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU57,7.13,7.13,And that give u the content of the presentation .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU58,7.17,7.3,Clear so far ?,Audience,,,,Delivery,,
,,,Maybe we should take an example so let ’ s take one !,,,,,,,
,,,Let ’ s assume that I am going to make a presentation,,,,,,,
,,,and I 'd like to explain the three magic ingredient of a great presentation,,,,,,,
,,,and I ’ d like to make my audience want to use the Audience Transformation Roadmap .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU59,7.35,7.43,So what doe my audience know before the presentation ?,Audience,,,,Delivery,,
,,,Well they know that most presentation aren ’ t exactly successful,,,,,,,
,,,and they know TED is the exception that prof that rule .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU60,7.47,7.48,What do they believe ?,Information,BodyComponent,StructureComponent,,Structure,,
,,,Probably like most people they believe presentation are for sharing information .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU61,7.53,7.53,It might be wrong but that doesn ’ t stop them believing it .,,,,,,,
,,,,,,,,,,
yoD8RMq2OkU62,7.57,8.05,What do they feel about presentation ?,,,,,,,
