SegmentId,StartTime,EndTime,Transcript
,,,to be true always be honest with your
,,,audience. because because If you not
MnIPpUiTcRc35,4.42,4.45,they will know and you will have lost
,,,"all credibility, tip Number six. Be"
MnIPpUiTcRc36,4.45,4.53,relatable being relatable is actually
,,,one of the most important factor of
,,,your delivery you want to be someone
,,,"that your audience. can relate to, But"
MnIPpUiTcRc37,4.53,4.55,they would feel comfortable with talking
,,,to. Even when giving a talk a an expert
MnIPpUiTcRc38,4.56,5.06,"on a topic, you want the Audience to feel"
,,,"the relation it help them mentally,"
,,,engage with your content and remember
,,,you and your talk
,,,most people do feel comfortable going
,,,up and talking to. a stern authority
MnIPpUiTcRc39,5.06,5.09,figure and no one want to listen to
,,,someone with no confidence. So there a
MnIPpUiTcRc40,5.09,5.16,"fine balance, you need a strike and"
,,,"here, how the most important thing you"
,,,can do to come across a more relatable
,,,"is to be authentic, be yourself. Another"
MnIPpUiTcRc41,5.16,5.21,great way to accomplish this is to work
,,,on coming across a relaxed which can be
,,,difficult. If you not used to
MnIPpUiTcRc42,5.23,5.33,"presenting, but This go a long way to"
,,,"helping people, see you a relatable the"
,,,final way you can be a more relatable is
,,,to be enthusiastic about your
,,,presentation your enthusiasm will
,,,transfer to your audience. and now that
MnIPpUiTcRc43,5.33,5.42,you have enthusiasm in common you will
,,,begin to see is more relatable If you
,,,get all three of these technique
,,,"mastered, you will be we'll On your way to"
,,,"making it to your audience. relate to, you"
MnIPpUiTcRc44,5.42,5.44,tip Number seven build your confidence.
MnIPpUiTcRc45,5.46,5.49,"with practice this might be the last tip,"
,,,but it is. by far the most important one
MnIPpUiTcRc46,5.49,5.51,out of these seven confidence. and what
MnIPpUiTcRc47,5.51,5.54,you do is by far the most important
,,,element of your presentation having
,,,confidence. add an authority to
MnIPpUiTcRc48,5.56,6,everything you say during your
,,,presentation But you not going to
,,,develop the confidence. you need If you
MnIPpUiTcRc49,6,6.02,do practice and practice a lot.
MnIPpUiTcRc50,6.04,6.05,Whatever Dana give a talk or
,,,presentation he practice he say for
,,,hour. They want to make sure he
MnIPpUiTcRc51,6.08,6.11,ha the timing down that he know every
,,,"slide, so he have to read off"
,,,"them. He know what the next slide is, So"
MnIPpUiTcRc52,6.13,6.18,he can smoothly transition between them
,,,So that he will sound natural and
,,,"authentic, and can explain the concept."
MnIPpUiTcRc53,6.19,6.19,and tell the story with confidence. and
MnIPpUiTcRc54,6.19,6.35,This all come with practice when you
,,,"are practicing a presentation, it not"
,,,enough to sit in front of your computer
,,,and go through it you have to practice
,,,it in front of Other people Invite some
,,,friend over and have them give some
,,,feedback on your presentation and make
,,,improvement based on their feedback No
,,,one get it right the first time. But
MnIPpUiTcRc55,6.35,6.37,practice will
,,,get you towards perfect. With these seven
MnIPpUiTcRc56,6.37,6.42,tip you should be able to put together
,,,and deliver a masterful presentation
,,,that will wow your audience. and make
MnIPpUiTcRc57,6.42,6.51,sure that they remember you and your
,,,"topic, If you guy, like this"
,,,"collaboration, be sure to check out"
,,,"Dana YouTube channel and subscribe, he"
,,,"ha ton of video on entrepreneurship,"
,,,"  and self. I hope you guy,"
MnIPpUiTcRc58,6.51,6.58,"  and self. I hope you guy,"
,,,  like this video and learn something and
,,,"  if you did, click the like button or if"
,,,  you have n't already the subscribe button
,,,  thanks so much guy
yoD8RMq2OkU1,0,0.07,Transcriber : eric vautier Reviewer : Helene Vernet
,,,Most people who come to speak at TED are here because they ’ ve succeeded .
yoD8RMq2OkU2,0.13,0.13,I ’ m here because I haven ’ t .
yoD8RMq2OkU3,0.17,0.23,For the last ten year
,,,I ’ ve been helping conference speaker business leader entrepreneur
,,,to prepare and deliver powerful presentation .
yoD8RMq2OkU4,0.27,0.3,And in those same ten year TED ha shown
,,,that presentation can and should be both enjoyable and effective .
yoD8RMq2OkU5,0.37,0.47,But ten year on
,,,despite TED and despite my best effort at school conference and company
,,,most presentation still do this to their audience .
yoD8RMq2OkU6,0.53,0.55,So have I failed ?
,,,No ! I just have n't succeeded yet .
yoD8RMq2OkU7,0.59,1.04,And to succeed in making all presentation resonate with their audience
,,,I need your help .
yoD8RMq2OkU8,1.06,1.06,That ’ s why I ’ m here .
yoD8RMq2OkU9,1.08,1.09,So I ’ d like to share with you
,,,the three magic ingredient of powerful presentation .
yoD8RMq2OkU10,1.15,1.15,OK let ’ s just pause there for a moment .
yoD8RMq2OkU11,1.18,1.18,I ’ ve told you what I ’ m going to say .
yoD8RMq2OkU12,1.21,1.31,The question you should be asking is :
,,, So what ? What ’ s in it for me ? Why should I care ? ''
,,,And that is a really important question
,,,because the first magic ingredient is in fact the audience .
yoD8RMq2OkU13,1.36,1.36,The audience is the magic ingredient in every presentation .
yoD8RMq2OkU14,1.39,1.39,This is not my talk it ’ s yours .
yoD8RMq2OkU15,1.42,1.45,Every presentation should be made to measure
,,,for a specific audience in a specific context .
yoD8RMq2OkU16,1.49,1.58,So why should you care about the magic ingredient of great presentation ?
,,,Well it 's very important right ?
,,,It ’ s really important to understand that we all have to listen to presentation .
yoD8RMq2OkU17,2.03,2.18,Wouldn ’ t it be great if they weren ’ t all so boring ?
,,,But we don ’ t just listen to presentation
,,,we also have to give presentations right ?
,,,How many of you ever have to give presentation ?
,,,I think if we ’ re honest we all do .
yoD8RMq2OkU18,2.21,2.32,Sooner or later at school or at work
,,,and also in interview
,,,we all have to present with or without slide
,,,and it ’ s how well we present
,,,that will make a huge difference to how well we succeed .
yoD8RMq2OkU19,2.36,2.36,That ’ s why you should care .
yoD8RMq2OkU20,2.39,2.39,So that ’ s the first magic ingredient : the audience .
yoD8RMq2OkU21,2.42,2.42,Always make it special for them .
yoD8RMq2OkU22,2.46,2.46,The second magic ingredient is the speaker .
yoD8RMq2OkU23,2.5,2.52,Now you ’ re probably looking at me and thinking :
,,,“ Well Phil not very magical . ”
yoD8RMq2OkU24,2.52,3.02,Thanks by the way !
,,,But it ’ s really important that you put something of yourself in there
,,,something only you can say .
yoD8RMq2OkU25,3.05,3.14,This doesn ’ t mean you tell them what you had for breakfast
,,,but it doe mean that if someone else
,,,could give the exact same presentation in your place
,,,then you didn ’ t put anything personal into it .
yoD8RMq2OkU26,3.16,3.2,And that matter because when you share
,,,we care .
yoD8RMq2OkU27,3.21,3.21,So show why you care why it ’ s important to you .
yoD8RMq2OkU28,3.25,3.25,Tell u example and story from your experience .
yoD8RMq2OkU29,3.29,3.29,And that will make it more personal and more memorable .
yoD8RMq2OkU30,3.33,3.36,So those are the first two magic ingredient :
,,,the audience and the speaker .
yoD8RMq2OkU31,3.38,3.41,I know it doesn ’ t sound very magical
,,,but you ’ d be amazed how many presentation have neither of them .
yoD8RMq2OkU32,3.46,3.46,So the third magic ingredient is transformation .
yoD8RMq2OkU33,3.5,3.56,Now most presentation aim only to inform their audience
,,,and it doesn ’ t work very well .
yoD8RMq2OkU34,3.58,4.05,Let me take out my magic wand because I ’ m going to do a disappearing trick
,,,because like this guy
,,,we forget most of what we hear very quickly indeed .
yoD8RMq2OkU35,4.11,4.15,But good presentation are not about information
,,,they are about transformation .
yoD8RMq2OkU36,4.17,4.22,They are about changing something in what your audience belief
,,,in what they feel in what they do .
yoD8RMq2OkU37,4.25,4.28,Imagine you are making a pitch
,,,for raising fund for a project or a start .
yoD8RMq2OkU38,4.32,4.36,After your pitch the audience know everything they need to know
,,,but they don ’ t fund you .
yoD8RMq2OkU39,4.38,4.39,Did you succeed ?
,,,No .
yoD8RMq2OkU40,4.41,4.53,Now imagine that after your pitch your audience doe give you the fund
,,,because they feel confident and trusting
,,,and they believe that your project will be successful
,,,and that it is a good investment .
yoD8RMq2OkU41,4.55,4.55,All of that is not information it ’ s transformation .
yoD8RMq2OkU42,5,5.05,So it ’ s easy for me to say “ Don ’ t inform transform ! ”
,,,but how ?
,,,Well every magician need a magic wand and here is yours .
yoD8RMq2OkU43,5.1,5.1,It ’ s called the  Audience Transformation Roadmap . ''
yoD8RMq2OkU44,5.1,5.26,This is a really simple but amazingly powerful technique
,,,to understand what your transformational objective are
,,,and then to brainstorm
,,,what you can say show and do to transform your audience .
yoD8RMq2OkU45,5.3,5.3,So here ’ s how it work .
yoD8RMq2OkU46,5.33,5.37,To understand how to take your audience on a transformational journey
,,,you first need to work out where they are starting from .
yoD8RMq2OkU47,5.4,5.57,So we ask ourselves four simple question :
,,,What doe my audience know before my presentation ?
,,,What do they know about the subject ?
,,,What do they believe ?
,,,And what do they feel ?
,,,Now the difference between the two
,,,is believing is something you think and feeling is an emotion .
yoD8RMq2OkU48,6,6.04,So for example I believe it ’ s time for dinner
,,,I feel hungry .
yoD8RMq2OkU49,6.06,6.07,See the difference ?
,,,Right .
yoD8RMq2OkU50,6.08,6.16,So what do they know believe and feel and lastly what do they do ?
,,,Now this could be nothing maybe they do nothing relevant
,,,or maybe they do something that you need to change .
yoD8RMq2OkU51,6.21,6.23,So once you ’ ve worked out where they are before
,,,you can then take them to where you want them to go afterwards .
yoD8RMq2OkU52,6.26,6.26,And we ask the same four question but in the reverse order .
yoD8RMq2OkU53,6.31,6.31,So now we know what they do before .
yoD8RMq2OkU54,6.32,6.52,What do we want them to do after the presentation ?
,,,What do they need to feel ?
,,,What should they believe differently to feel and do those thing ?
,,,And lastly what do they need to know ?
,,,And when you follow this process
,,,you realize very quickly that the real transformation
,,,are not in what they know it ’ s in what they believe and feel and do .
yoD8RMq2OkU55,6.56,6.56,That ’ s what make the difference .
yoD8RMq2OkU56,6.59,7.1,Once we ’ ve understood where they are and where we need to take them
,,,then we can fill in the Transformation Column
,,,with all of the idea on what we can say in our presentation
,,,to make those transformation in our audience .
yoD8RMq2OkU57,7.13,7.13,And that give u the content of the presentation .
yoD8RMq2OkU58,7.17,7.3,Clear so far ?
,,,Maybe we should take an example so let ’ s take one !
,,,Let ’ s assume that I am going to make a presentation
,,,and I 'd like to explain the three magic ingredient of a great presentation
,,,and I ’ d like to make my audience want to use the Audience Transformation Roadmap .
yoD8RMq2OkU59,7.35,7.43,So what doe my audience know before the presentation ?
,,,Well they know that most presentation aren ’ t exactly successful
,,,and they know TED is the exception that prof that rule .
yoD8RMq2OkU60,7.47,7.48,What do they believe ?
,,,Probably like most people they believe presentation are for sharing information .
yoD8RMq2OkU61,7.53,7.53,It might be wrong but that doesn ’ t stop them believing it .
yoD8RMq2OkU62,7.57,8.05,What do they feel about presentation ?
,,,Probably bored but also resigned to a really ineffective way of presenting
,,,because that ’ s just what everyone doe .
yoD8RMq2OkU63,8.08,8.15,And lastly what do they do ?
,,,Well when it ’ s their turn to present
,,,they generally will pack thing full of information
,,,and they won ’ t personalize it to their audience .
yoD8RMq2OkU64,8.18,8.27,So what do I want them to do after my presentation ?
,,,Well afterwards I ’ m going to want them
,,,to aim to transform their audience every time they present
,,,to change something in their audience .
yoD8RMq2OkU65,8.29,8.29,I ’ m going to need them to personalize their presentation every time .
yoD8RMq2OkU66,8.34,8.38,And also I ’ d like them to use the Audience Transformation Roadmap
,,,because I know it will help them to succeed .
yoD8RMq2OkU67,8.42,8.45,What do they need to feel to do those thing ?
,,,Well If they still feel bored or resigned they ’ re not going to do very much .
yoD8RMq2OkU68,8.49,8.55,So they need to feel curious about this new technique
,,,they need to feel motivated to try it
,,,and optimistic that it can work for them .
yoD8RMq2OkU69,8.58,9.03,What do they need to believe to feel those thing ?
,,,They ’ ll need to believe that the Roadmap
,,,can actually help them to succeed in their presentation .
yoD8RMq2OkU70,9.06,9.1,Lastly what do they need to know to believe feel and do those thing ?
,,,Well they ’ ll need to know the three magic ingredient that ’ s pretty basic .
yoD8RMq2OkU71,9.14,9.17,They 'll need to know presentation are bad at information
,,,but great at transformation .
yoD8RMq2OkU72,9.19,9.19,And they ’ ll need to know how to use the Audience Transformation Roadmap .
yoD8RMq2OkU73,9.24,9.24,OK now we ’ ve worked out where they were and where I want to take them .
yoD8RMq2OkU74,9.29,9.29,What can I do now ? I fill in the Transformation Column .
yoD8RMq2OkU75,9.32,9.38,So what can I say or show or do to make those transformation ?
,,,Now usually I ’ m using a flip and some sticky note here .
yoD8RMq2OkU76,9.43,9.43,So I ’ m going to use virtual sticky note .
yoD8RMq2OkU77,9.45,9.45,Let ’ s start at the top .
yoD8RMq2OkU78,9.47,9.53,We need to make sure they know the three magic ingredient
,,,so I ’ m going to need to talk at some point about the audience
,,,about the speaker and the transformation .
yoD8RMq2OkU79,9.56,9.59,They need to know presentation are bad at information
,,,so maybe I should tell them that we forget most of what we hear very quickly .
yoD8RMq2OkU80,10.03,10.03,And perhaps I can find a visual way to show that a well .
yoD8RMq2OkU81,10.08,10.12,What next ? They need to know how to use the Roadmap so I ’ d better show it to them
,,,and I guess I could make it even clearer by going through an example .
yoD8RMq2OkU82,10.16,10.17,They need to believe
,,,that the Roadmap can help them to succeed in their presentation .
yoD8RMq2OkU83,10.21,10.3,So I ’ ll need to show how easy it is
,,,to take all of these sticky note off of the Transformation Column
,,,and arrange them in a suitable order
,,,to create the storyline for their presentation .
yoD8RMq2OkU84,10.32,10.32,It really is a short .
yoD8RMq2OkU85,10.34,10.34,OK now I need to make them curious .
yoD8RMq2OkU86,10.36,10.4,Now to make them curious I ’ m going to need to make them care
,,,and to make them care I need to show that I care .
yoD8RMq2OkU87,10.43,10.48,So I probably need to explain that most presentation really don ’ t succeed
,,,and that I care about fixing that .
yoD8RMq2OkU88,10.51,10.53,And then to make them care
,,,I ’ m going to need to find out how relevant it is to them .
yoD8RMq2OkU89,10.57,11.01,Perhaps I could ask them how many of them actually need to present
,,,and of course I know the answer is pretty much everybody .
yoD8RMq2OkU90,11.04,11.04,I need to make them motivated and optimistic .
yoD8RMq2OkU91,11.06,11.1,Well I can make them optimistic by explaining how easy this is to use
,,,but also how powerful it is .
yoD8RMq2OkU92,11.12,11.18,And to motivate them to try it
,,,I ’ m going to need to explain that successful presentation
,,,can really make a difference to how well they succeed in life .
yoD8RMq2OkU93,11.24,11.27,Lastly to make them do these thing I ’ ll need a call to action
,,,which focus on what I want them to do afterwards .
yoD8RMq2OkU94,11.31,11.36,So there we have it !
,,,That ’ s a very accelerated version of the brainstorming
,,,but it doesn ’ t need to take long .
yoD8RMq2OkU95,11.38,11.42,What we have now is just enough relevant idea
,,,on how we can transform our audience .
yoD8RMq2OkU96,11.45,11.5,So what happens next ?
,,,Well this is where I ’ m going to take my magic wand out again
,,,because this is where the presentation magic happens .
yoD8RMq2OkU97,11.52,12.09,This is where you can take all the sticky note off of the Transformation Column
,,,prepare a suitably magical story line
,,,and then arrange all of these idea back into that story line
,,,and hey presto there is my presentation !
,,,Now you might recognize this one because ...
yoD8RMq2OkU98,12.12,12.12,this is the presentation you have been watching for the last ten minute .
yoD8RMq2OkU99,12.17,12.17,And this is where we are now .
yoD8RMq2OkU100,12.2,12.25,Isn ’ t that magic ?
,,,So now you know what happens next !
,,,Next I need to explain how simple this can be and how powerful .
yoD8RMq2OkU101,12.29,12.29,And it ’ s so simple that it doesn ’ t take an expert .
yoD8RMq2OkU102,12.32,12.39,Thousands of people have already used this technique
,,,to prepare and deliver fantastic presentation of all kind
,,,from TED talk to the boardroom .
yoD8RMq2OkU103,12.42,12.55,But more than presentation they ’ ve used it also for email
,,,for proposal for preparing interview for preparing conference …
,,,Basically it work in any situation
,,,where you need to change what people believe feel and do .
yoD8RMq2OkU104,12.59,12.59,You really don ’ t need a magic wand .
yoD8RMq2OkU105,13.02,13.02,This is all the magic you need .
yoD8RMq2OkU106,13.1,13.1,Thank you .
yoD8RMq2OkU107,13.14,13.14,Thank you . So now I need to give you a call to action and here it is .
yoD8RMq2OkU108,13.14,13.14,
yoD8RMq2OkU109,13.2,13.26,Remember those three magic ingredient of every great presentation :
,,,the audience the speaker
,,,and the transformation you want to create in your audience .
yoD8RMq2OkU110,13.3,13.34,Try using the Audience Transformation Roadmap for your next presentation
,,,and you ’ ll be amazed at how well your idea resonate with your audience .
yoD8RMq2OkU111,13.4,13.4,And lastly please remember I need your help .
yoD8RMq2OkU112,13.44,13.44,I ca n't cure the world of bad presentation on my own .
yoD8RMq2OkU113,13.51,13.57,But together we really can make a difference !
,,,So by all mean share this with anyone you know
,,,who need a dose of presentation magic .
yoD8RMq2OkU114,14,14.02,It could be your colleague your teacher your bos
,,,but you all know someone .
yoD8RMq2OkU115,14.04,14.08,And most of all every time you get to present
,,,focus not on informing but on transforming your audience .
yoD8RMq2OkU116,14.12,14.21,That ’ s where the magic happens
,,,and if you can succeed in changing
,,,what your audience belief feel and doe
,,,there truly is no limit to what you can achieve .
yoD8RMq2OkU117,14.26,14.26,Thank you .
dEDcc0aCjaA1,0.01,0.01,Hi I 'm Jason Teteak .
dEDcc0aCjaA2,0.02,0.11,I help people overcome their fear of public speaking and deliver amazing presentation
,,,and today I 'm going to show you how to captivate your audience within the first 5 minute of
,,,your presentation .
dEDcc0aCjaA3,0.13,0.13,Here 's how I 'm going to do it . ''
dEDcc0aCjaA4,0.13,0.14,I 'm going to show you 5 step to deliver a killer opener . ''
dEDcc0aCjaA5,0.14,0.38,If you 're watching this you probably already know that delivering great presentation is
,,,critical to advance your career but did you know that research say that most adult will
,,,stop listening to your presentation within the first 10 minute if they are n't convinced
,,,there 's something in it for them ?
,,,The problem is that most people do n't know about the skill they need to hook their audience
,,,give a great presentation and overcome their fear of doing it .
dEDcc0aCjaA6,0.43,0.44,What am I going to do ?
,,,Hi Jim .
dEDcc0aCjaA7,0.45,0.46,How 's it going ?
,,,I 'm freaking out about this big presentation I have to give tomorrow .
dEDcc0aCjaA8,0.5,0.53,Well did you write out your opener and practice it three time ?
,,,No .
dEDcc0aCjaA9,0.54,0.56,No ?
,,,Why not ?
,,,I 'm terrified and I do n't even know where to start .
dEDcc0aCjaA10,1,1,Trust me I 've been in that situation before and it 's not fun .
dEDcc0aCjaA11,1.03,1.09,So to help you out I 'm going to show you my 5 step formula to deliver a killer presentation
,,,opener every time .
dEDcc0aCjaA12,1.1,1.1,Let 's start off with step number one which is Give a Confident Introduction . ''
dEDcc0aCjaA13,1.1,1.15,One of the biggest mistake people make when they start their presentation is showing nervousness .
dEDcc0aCjaA14,1.21,1.21,Here 's the key : It 's not whether you 're nervous it 's whether you show it .
dEDcc0aCjaA15,1.25,1.25,The first thing you need to do is stand STILL .
dEDcc0aCjaA16,1.28,1.28,Do n't move .
dEDcc0aCjaA17,1.29,1.29,Do n't pace and keep your hand at your side .
dEDcc0aCjaA18,1.33,1.38,This is the most calm and confident stance on the planet and it handle the number 1
,,,need of your audience which is to feel safe .
dEDcc0aCjaA19,1.41,1.41,Now you can introduce yourself and say Hi my name is Jason Teteak . ''
dEDcc0aCjaA20,1.41,1.46,When you do this bring your inflection down at the end to show confidence .
dEDcc0aCjaA21,1.51,1.53,Instead of : Hi my name is Jason Teteak ? ''
,,,Say : Hi my name is Jason Teteak . ''
dEDcc0aCjaA22,1.53,1.58,See the difference ?
,,,Now we move on to step 2 which is Give Your Credentials .
dEDcc0aCjaA23,2.03,2.08,This is where many presenter make the mistake of simply giving their title and year of
,,,experience .
dEDcc0aCjaA24,2.09,2.13,They say something like I 'm a presentation skill coach and I 've been doing it for 20
,,,year . ''
dEDcc0aCjaA25,2.13,2.22,Yet your audience want to know : What can you do for me ? ''
,,,They need to know who you are why you 're the best person to deliver this presentation
,,,and what you have to offer them .
dEDcc0aCjaA26,2.24,2.3,For example I might say I help people overcome their fear of public speaking and deliver
,,,amazing presentation . ''
dEDcc0aCjaA27,2.3,2.35,What would that look like for you ?
,,,To figure this out you need a short elevator speech .
dEDcc0aCjaA28,2.38,2.42,It look like this : You know how some people have this problem ?
,,,Well I offer this solution . ''
dEDcc0aCjaA29,2.42,2.45,The solution you offer is how you help people .
dEDcc0aCjaA30,2.48,2.55,For me it wa : You know how some people have a fear of public speaking and a have
,,,hard time getting their message across in a presentation ?
,,,Well I help them overcome their fear of public speaking and deliver amazing presentation . ''
dEDcc0aCjaA31,2.55,3.05,What 's your credential statement ?
,,,You 'll be amazed at the effect this ha on your audience .
dEDcc0aCjaA32,3.07,3.07,Step 3 is to Deliver Your Hook . ''
dEDcc0aCjaA33,3.07,3.16,My hook for this video presentation might look something like this I 'm going to show
,,,you how to captivate your audience within the first 5 minute of your presentation . ''
dEDcc0aCjaA34,3.16,3.21,When you do this you have to get your audience to feel '' something .
dEDcc0aCjaA35,3.25,3.27,How do you get them to feel ?
,,,You have 3 choice .
dEDcc0aCjaA36,3.28,3.28,You can get them to feel more happy more successful or more free .
dEDcc0aCjaA37,3.33,3.33,Look at my hook .
dEDcc0aCjaA38,3.35,3.4,I said I 'm going to show you how to captivate your audience within the first 5 minute of
,,,your presentation . ''
dEDcc0aCjaA39,3.4,3.54,When you captivate your audience within the first 5 minute of your presentation you 'll
,,,feel happier because they are listening to you you 'll feel more successful because you
,,,look like an expert and you 'll feel more freedom when you spend le time worrying
,,,about your presentation the night before .
dEDcc0aCjaA40,3.57,3.57,Here 's the practical for you .
dEDcc0aCjaA41,3.58,3.58,For your presentation write down the word I 'm going to show you. '' then fill in the
dEDcc0aCjaA42,3.58,4.08,rest with something that 's going to create more happiness success or freedom for your
,,,audience .
dEDcc0aCjaA43,4.09,4.09,Here 's the rule .
dEDcc0aCjaA44,4.1,4.14,You ca n't tell them WHAT they 're going to get until you 've told them WHY they would
,,,want it .
dEDcc0aCjaA45,4.15,4.2,Your hook ha to be something that get them to BELIEVE that they want what you 're going
,,,to give them .
dEDcc0aCjaA46,4.22,4.27,Take a moment right now and write down WHY your presentation will make your audience
,,,more happy successful or free in their life .
dEDcc0aCjaA47,4.31,4.31,And now we move on to step number 4 which is to Introduce Your Agenda . ''
dEDcc0aCjaA48,4.31,4.41,I recommend you use a PowerPoint for this step and the slide should look something
,,,like this .
dEDcc0aCjaA49,4.44,4.48,The purpose of this step is to show your audience the takeaway for your presentation the
,,,thing they get to take away '' and use tomorrow after listening to your presentation .
