SegmentId,Start,End,Transcript,Focus Concepts,,,,,,,,Focus Topics
,,,,LungCancer,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
rQutyErqBG06,01:36,01:48,"the biopsies and everything other weresurrounding tissues came back , prettynormal came back normal , except that onelymph node showed rare cells , and I saidwell , does that mean I have cancer and Iasked him : do I need to buy A casketbecause you figured this is",,,,,,,,,
rQutyErqBG07,01:50,02:03,"lung . Cancer is gon na , be the end and hesays good positive thinking , insulatoryou 're right , oh so he says no ! We'Re bornfor the Cure .I 'M gon na go for the cure here . That wastossed . My journey actually started inone year .",LungCancer,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,Thinking,CognitiveFunction,,,,,,PsychologicalHealth,PsychologicalHealth
,,,,,,,,,,,,
rQutyErqBG08,02:06,02:25,"Originally I had what was called Broncoout viola , which is the mildest form . Ifthere is such a thing of lung cancer - andI had always said to everybody , youshould get a second opinion and somebodyrecommended sure - and I walked in here- and I knew I wanted him to be my doctor .",LungCancer,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
rQutyErqBG09,02:27,02:43,"He was just so different than my otherexperiences I felt at home . I felt theunderstood this is where I want to be .When I came here , they told me we got tarealize one thing : you do n't work for us .You have nurses , doctors and ancillarypeople clerks , so we have a security . We",Security,PhysicalEnvironment,,,,,,Environment,Environment
,,,,,,,,,,,,
rQutyErqBG010,02:46,03:03,"all work for . You feel cute and that 's abig deal to say that that we all workfor you , you do n't have to do anything . Wework for you and nobody 's ever told methat my entire life , I was on Tarcevafor a year and it stopped working . TheBronco alveolar was morphed into a dino",,,,,,,,,
rQutyErqBG011,03:07,03:22,personal and that 's when they decided Ineeded chemo the first time you go forit . It 'S very scary because you do n'tknow what 's gon na happen and you do n'tknow what to feel because you finishinto the world : that 's it there 's no morelife left and when you find out that,,,,,,,,,
rQutyErqBG012,03:25,03:43,"that 's not true , because you have optionsin your treatments . Dr.Xu ! Listen ! You canlive longer , we have things . I alwaysthought that anybody when chemo throwsup all the time - and that was very scary .I have a fairly high pain threshold . Ihave a very low noise",Treatment,,,,,,,LevelOfIndependence,LevelOfIndependence
,,,,Pain,PhysicalSymptoms,,,,,,PhysicalHealth,PhysicalHealth
,,,,Noise,PhysicalEnvironment,,,,,,Environment,Environment
,,,,,,,,,,,,
rQutyErqBG013,03:45,04:01,"special and I thought I 'm never gon na dochemo , they 're , never gon na . Do that to me, and I was n't going to do it and then Ithought I 'm kind of role model I mightto my children that I wo n't even try andonce you know you could always stop it .You should at least give it a try and",Child,PersonalRelationship,,,,,,SocialRelationship,SocialRelationship
,,,,,,,,,,,,
rQutyErqBG014,04:03,04:18,"see if it 's that terrible and it was n't, they give you anti-nausea medicine , theygive you steroids , I do n't feel likeeating , but I do n't feel like throwing up .I 'M not gon na say chemo is a piece ofcake . It is n't , but it was n't nearly asbad as what I had pictured . I was very",,,,,,,,,
rQutyErqBG015,04:22,04:42,"frightened the first time , but after thatyou get used to it . You know this . Pastyear I had to have radiation . I havestage 4 lung cancer . It 'S in both lungs .One of my fortune was one grew to theoptimal size for radiation . She was sentme down to dr. shift . They could take",LungCancer,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
rQutyErqBG016,04:44,04:59,"care of it all . So everybody there waswarm friendly wanting to make sure youunderstand what you 're going throughthat they 're there to help . Youeverybody works together when I was inthe hostel with the surgerybelieve it or not , and this was really",,,,,,,,,
rQutyErqBG017,05:01,05:14,"interesting . The cardiologist came everyday he did n't have to come . He came everyday when I was in hospital , and I wassurprised I said you know you usuallydo n't come . He says we broke , the Mike 'shave to sit together tom and they do n'tleave you alone . They'Re always out there",,,,,,,,,
rQutyErqBG018,05:16,05:30,"for you and when I have to go for testsor scans , I call them up when you want tocome to him . I do n't have to call theinsurance company , they do everythingit 's almost six years , since my originaldiagnosis, the odds were , I was told four and a half",Insurance,LegalIssue,,,,,,LevelOfIndependence,LevelOfIndependence
,,,,,,,,,,,,
rQutyErqBG019,05:33,05:43,"years ago , one to two years . I'Ve beenvery , very lucky the game , the greatestplace in war , and I really mean that thisis the greatest place",,,,,,,,,
mWo-G3UQ-zU1,00:00,00:23,"My dad was always the rock of the family.So seeing him struggle to breathe, it was really heart-breaking.My dad was always so strong and independent.He fished with us, played tennis with us.He was always very active.A few years ago, we started to notice a change in my dad.He started to have less energy. He would lose his breath a little more easily.",Family,PersonalRelationship,,,,,,SocialRelationship,SocialRelationship
,,,,Dad,PersonalRelationship,,,,,,SocialRelationship,SocialRelationship
,,,,Energy,,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
mWo-G3UQ-zU2,00:28,00:49,"He was on the couch. He had the oxygen mask.He wasn't able to do those things.It really was a shock to us.My dad was going downhill very quickly, and we knew something had to be done.He was in and out of local hospitals a couple of times.Nobody was really able to accurately diagnose him.I think that was probably the scariest thing is not knowing what it was.",Dad,PersonalRelationship,,,,,,SocialRelationship,SocialRelationship
,,,,,,,,,,,,
mWo-G3UQ-zU3,00:54,01:15,We didn't know what was going to happen.Was he going to be OK? Was he going to make it?We knew we needed a place that had more experience.So they recommended the Temple Lung Center.And that was the best decision we ever made.Immediately you could feel a difference at Temple.From the doctors to the testing that was done there.,Temple,Religion,,,,,,PersonalValuesAndBeliefs,PersonalValuesAndBeliefs
,,,,,,,,,,,,
mWo-G3UQ-zU4,01:19,01:45,"To even just sitting in the waiting room with the other lung patients.We just knew he was in the right place. He was going to get the best care he could.So I think at Temple Lung Center they just tend to see more cases like his.Things that are a little bit more rare. So they seem to have more knowledge.Just right off the bat they seemed to have a better understanding of whatwas going on with him.They really came up with a plan for him, how they could make him better,",Temple,Religion,,,,,,PersonalValuesAndBeliefs,PersonalValuesAndBeliefs
,,,,,,,,,,,,
mWo-G3UQ-zU5,01:49,02:16,"how they could treat him, and I felt like they found the right mix for him.You know, it was a combination of medicine, pulmonary therapy, oxygen.And they really knew what would get him back to where he was.I love watching my kids with Grandpa and seeing them play with him and interact with him.And now knowing that he'll be around to see all those special moments that arestill to come in their life is just amazing.I'm grateful to Temple because without Temple I don't think my dad",Dad,PersonalRelationship,,,,,,SocialRelationship,SocialRelationship
,,,,,,,,,,,,
mWo-G3UQ-zU6,02:22,02:31,"would be where he is today.They gave him his life back. We got our dad back.The grandkids got Grandpa back.They didn't just give us hope. They gave us him, which is great.",Dad,PersonalRelationship,,,,,,SocialRelationship,SocialRelationship
,,,,Hope,PositiveFeeling,,,,,,PsychologicalHealth,PsychologicalHealth
,,,,,,,,,,,,
hQQ5xQGZxdA1,00:01,00:12,"Hi everyone, it's uh stephanie with thepatience storyand i'm so excited to introduce you toour guest todaydave who started a podcast just a couplemonths ago, and we'll talk about thatlater too. The",,,,,,,,,
hQQ5xQGZxdA2,00:13,00:26,"research evangelist welcome davethanks, stephanie appreciate you havingme on your show, it's great to be here.Yeah, you know, um. We were just talking alittle bit and dave and i feel we arevery aligned. I think in our missionto help patients caregivers out there",Caregiver,PersonalRelationship,,,,,,SocialRelationship,SocialRelationship
,,,,,,,,,,,,
hQQ5xQGZxdA3,00:29,00:38,andtransplanted here from arizona and fromthe chicago suburb . I have three kidthat are allone adult : i 'm an amazing husbandand uh . We kind of play some game . We dofootball we like to just kind of hang,LungCancer,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,Treatment,,,,,,,LevelOfIndependence,LevelOfIndependence
,,,,,,,,,,,,
hQQ5xQGZxdA4,00:41,00:50,"do becauseUm you know, in in the work that you'vedone. I believe you've spoken with manypeopleand you've gotten these perspectivesfrom other patients and caregivers soit'll be wonderful to learn from you um.",Caregiver,PersonalRelationship,,,,,,SocialRelationship,SocialRelationship
,,,,,,,,,,,,
hQQ5xQGZxdA5,00:54,01:05,"so before we begin, i like to start offwith, you know,what are some other things about daveoutside of, say, lung cancer, and advocacyworkthat speak to who you are Oh boy,well, um, a lot of what",LungCancer,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
hQQ5xQGZxdA6,01:08,01:23,"what I would say defines me, you know, isfrom my cancer experience, butbut it more just amplified my sort of mybackground, i'm a minnesota guy, but i'vebeen living in boston for a long time.Um and um. i've been married for 30 years,and so",,,,,,,,,
hQQ5xQGZxdA7,01:24,01:38,"i'm just really grateful um. you know, foruh the wonderful life that i have andand and and basically you know, theexperience of surviving a cancer,scare. It changes you as people know itit's justit's just changes everything about how",,,,,,,,,
hQQ5xQGZxdA8,01:40,01:53,"you look at life, buti live a life of gratitude and um. i tryto befocused on that When i bring positivevibes to everybody that i encounterabsolutely, we could all use morepositive vibes so",,,,,,,,,
hQQ5xQGZxdA9,01:54,02:06,"i'm here. for It um. dave thanks, forsharing that about youum. would love to maybe just jump rightin then, if you're ready,um, you know, if you could talk about justwhat were the firstsymptoms or feelings that made you",,,,,,,,,
hQQ5xQGZxdA10,02:08,02:22,"realize? Hey something's, not right here?Oh, it really started um.i was a young guy. I was a non-smoker andi was up in maine with a with a friendof mine fishing.In may was freezing cold. I remember this,but but",Friend,PersonalRelationship,,,,,,SocialRelationship,SocialRelationship
,,,,,,,,,,,,
hQQ5xQGZxdA11,02:24,02:35,"i got super sick. While i was up there, iwas the chills andi came back and it and it turns out thati that i had pneumoniaum i went so i went in and you know, gotsaw my doctor and and got thechest x-ray got. I got the antibiotics",Pneumonia,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
hQQ5xQGZxdA12,02:38,02:50,"and was pretty much just told to be onmy way right and justyou know, just to take care of myself. Buti remember thinkingat the time. and my wife thinking at thetime. because she's a nurse is that thatseems really weird that i would be",Thinking,CognitiveFunction,,,,,,PsychologicalHealth,PsychologicalHealth
,,,,,,,,,,,,
hQQ5xQGZxdA13,02:51,03:01,"gettingpneumonia, because I was playingbasketball every day, um at the ymca downthe street.And so i was a really healthy, didn'tsmoke, you don't even think about it andpeople",Pneumonia,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
hQQ5xQGZxdA14,03:01,03:14,"a lot of us that get one kid'sthink about it sotime. went past about six months later igot sick. again and i got pneumonia againand so now you're like okay, i'm 34old, i'm healthy, andwhy? why? did i get into lung cancer, again",Pneumonia,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,LungCancer,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
hQQ5xQGZxdA15,03:17,03:28,andtransplanted here from arizona and fromthe chicago suburb . I have three kidthat are allone adult : i 'm an amazing husbandand uh . We kind of play some game . We dofootball we like to just kind of hang,,,,,,,,,
hQQ5xQGZxdA16,03:30,03:42,"wasthe first time because again i think alot of primary care docs. Don'Tthink about screening, you know,for lung cancer, right you justso um. and that's wheni got the call. I remember the call.",LungCancer,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
hQQ5xQGZxdA17,03:45,03:57,"I got from my doctorum after aftertelling me that i should go get um aso then, I went and got the cat scan.because he said we just want toand see",,,,,,,,,
hQQ5xQGZxdA18,03:59,04:10,"be a blockage that might bewe'll it turns out of course,that there was a tumor and that's what Iremember the day, that my doctorme and saidit's it's lee um! You need to come see meWe found a tumor in your lung you have",Tumor,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
hQQ5xQGZxdA19,04:12,04:27,"lung cancer, and that's whenmy life just. flipped upside down,i i couldn't have even imaginedthat would bewhat I would hear from him,you know, it just i'm just now justthinking about it just",LungCancer,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,Thinking,CognitiveFunction,,,,,,PsychologicalHealth,PsychologicalHealth
,,,,,,,,,,,,
hQQ5xQGZxdA20,04:28,04:39,"getting emotional about it because itwas just soso i think those were you know, myinitialmy initial. feelings about it was justwas utter shock about it but then,thinking",Thinking,CognitiveFunction,,,,,,PsychologicalHealth,PsychologicalHealth
,,,,,,,,,,,,
hQQ5xQGZxdA21,04:41,04:49,"you know, you know, hanging up theand just everything was justspeeding up and it's like Oh my gosh,boys, like a five-year-oldthree-year-old and a one-year-old.gotuh. Oh, my gosh, what am you know, what do I",,,,,,,,,
hQQ5xQGZxdA22,04:51,05:05,"do so i think those are probablyand you know, you probably haveexperience Um stephanie toto those emotionsand Yeah, it doesn't matter how much timehas passed. It'S such a vivid sort ofmemory, isn't it and it's visceral",Memory,CognitiveFunction,,,,,,PsychologicalHealth,PsychologicalHealth
,,,,,,,,,,,,
hQQ5xQGZxdA23,05:07,05:18,"feeling,and so dave at that. point, you know, thethe word. Cancer technicallypopped up right it wastumor uh. and you know,it was probably with the cat scan. it?it? did.",Tumor,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
hQQ5xQGZxdA24,05:20,05:27,"yeah, it did because they couldit was a neuroendocrine tumor, so theycould identify.they couldn't tell the stage or justThe size they could tell the stagetheythey couldn't tell you know, the",Tumor,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
hQQ5xQGZxdA25,05:29,05:41,"you know, how aggressive it wasso and The only treatment for thatoftumor in that location waswhich isright right okay, So by that time. eventhat first preliminary",Treatment,,,,,,,LevelOfIndependence,LevelOfIndependence
,,,,Tumor,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
hQQ5xQGZxdA26,05:42,05:51,"he had already said: neuroendocrine tumor,youpretty much got the message that thatcancer, is what you were dealingthenso at that. moment i guess theis one how did you process.",Tumor,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
hQQ5xQGZxdA27,05:53,06:04,"how did you process. it You know and then,two did you thinkhow am i going to break the news?you know, i i can share something:probably really useful for peoplefor for patients, whether it's aendocrine, tumor or",Tumor,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
hQQ5xQGZxdA28,06:06,06:24,"or or some other um. form of it isI I reacted by byi'm go find out everything there,is to know, aboutthis, particular type of tumor and um.that was in some ways not the rightthing to do because",Tumor,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
hQQ5xQGZxdA29,06:25,06:37,all I did was stress myselfall I was doing was readingpossible outcomes. I justmyself. soum. i i i process. this by saying.going to goand i'm just going to find,,,,,,,,,
hQQ5xQGZxdA30,06:38,06:49,"information as possible but but again it.wasit was it was thoracicthoracic surgery and veryit wasn't really user friendly.this was a long time. soum. but then, of course, you know,",,,,,,,,,
hQQ5xQGZxdA31,06:52,07:02,"the news? how do I talk to you about itWhoobviously you know, my my wife butlike how would i share with myhow would impact my butbut really i'll, just sort of sort oflining up emotionally of all the things",Wife,PersonalRelationship,,,,,,SocialRelationship,SocialRelationship
,,,,,,,,,,,,
hQQ5xQGZxdA32,07:04,07:16,"that i neededum between going and Therespiratoryand meeting with potentiali would have to beum. uh working with, but butbut also mostly, was that it's in me, and",,,,,,,,,
hQQ5xQGZxdA33,07:18,07:28,i need it outnow but it wasn't like? it wasn't allhands on deck kind of thing because itwasit was um It was I didn't have to goimmediately into orsomething: so,,,,,,,,,
hQQ5xQGZxdA34,07:30,07:44,"i think that's the process. that thatthat emotional part of it so you don'tbut but You have to you know, you have toyou know, start finding. You knowfor what you're goingabsolutely and nowadays at leastmore access",,,,,,,,,
hQQ5xQGZxdA35,07:45,07:55,"to finding. that supportandand social media, and all that all theresources,what were the next steps after that soum.you hear this on the phone which by the",,,,,,,,,
hQQ5xQGZxdA36,07:58,08:08,"way i did too, is overand um. yeah. what was what were the nextsteps and then, if you did go through iknow youum. that ct scan. is there,like tofor people who've never",,,,,,,,,
hQQ5xQGZxdA37,08:10,08:22,"just in terms of what to andwe'll i think that i mean what the way iunderstood at the time. You know thatthis,that The The chest x-ray couldn'tcouldn't define what was soThe The ct scan. was a logical step",,,,,,,,,
hQQ5xQGZxdA38,08:24,08:35,"don'tthink that i'd ever had one thatsoum. i i asked my You knowI had a meeting with my doctor to youknow, to talk about The steps so he waskind of like my quarterback,",,,,,,,,,
hQQ5xQGZxdA39,08:36,08:47,think is alsowhen people are diagnosed.trying to find That ThatThat thinking about your care rightit's likefor me it was going to be atgeneral hospital because that's my,Thinking,CognitiveFunction,,,,,,PsychologicalHealth,PsychologicalHealth
,,,,,,,,,,,,
hQQ5xQGZxdA40,08:48,08:57,primary care was butYou know When my motherexperience and she was in asettingshe had to decide whether she tostick. You know with herhospital or whether she was going to,,,,,,,,,
hQQ5xQGZxdA41,08:58,09:10,"toum . I have a. I wa introduced to mutualfriendto someone who life um 20 minute awayfrom me , maybe not even that farin the chicago suburb who 's also umliving with lung cancer or woman about",,,,,,,,,
hQQ5xQGZxdA42,09:12,09:24,"doctor again my wife is a nurse so i wasI was luckyYou brought up a really point,which is the difference between likea researchand then, like the communitywhich most",Wife,PersonalRelationship,,,,,,SocialRelationship,SocialRelationship
,,,,Community,SocialActivity,,,,,,SocialRelationship,SocialRelationship
,,,,,,,,,,,,
hQQ5xQGZxdA43,09:26,09:36,"you know, they go, to The communityhospitals, umwe can talk about that a little bitlater i do want to ask one point, aboutsecond opinionsyou know, had it ever crosseddid you get one if you",Community,SocialActivity,,,,,,SocialRelationship,SocialRelationship
,,,,,,,,,,,,
hQQ5xQGZxdA44,09:37,09:54,"did or didn't why? or why? notum. i didn't um and i think it's becausei'm i again i feel like i was you know,emotionally i was I felt like i was inthe best place possible and i didn'tfeel likemy my in my particular it was",,,,,,,,,
hQQ5xQGZxdA45,09:57,10:10,"it was a very complex.issue and The type of tumorswas something: That mass general hadhad a lot of experience, in and sobut i'll, tell you anbecause you're in san francisco,i had someone contact Me",Tumor,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
hQQ5xQGZxdA46,10:12,10:24,"years ago, um. and said dave, i want totalk to introduced a friend of mine WhoWho has lung cancer, and he'sto get you know, and he got anbut he wants to know, she get A secondopinion,So i said i'm happy to so a",Friend,PersonalRelationship,,,,,,SocialRelationship,SocialRelationship
,,,,LungCancer,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
hQQ5xQGZxdA47,10:26,10:35,"meand without knowing about i saidabsolutely if if you need if youwant the comfort of having a secondi absolutely, should have a secondopinion,and if your doctor that you're",,,,,,,,,
hQQ5xQGZxdA48,10:36,10:47,"crazy to do that then, that's that'sthat's that's on on him, or herbecause you deserve it. if you want to asa patient, you have to be your ownpatient, advocate, you have to be your ownin charge of your own care and so and asinterestingly,",,,,,,,,,
hQQ5xQGZxdA49,10:48,11:02,"I looked up the name of the doctor thathe was saying. the atit was one of the top guysand it turned out. he had the same typeof cancer that i had howhow serendipitous was that so um. i wouldabsolutely,",,,,,,,,,
hQQ5xQGZxdA50,11:03,11:12,"you, know, it's it's each and The eachindividual person is and ithink if youif you do feel the need or if you feelthat you're not with whatyou've been toldthen You should absolutely you know,",,,,,,,,,
hQQ5xQGZxdA51,11:14,11:23,"out a second opinion,right and you brought up a point, too,which i've heard before, and i think itis really importantcaregivers to hear which isif you have a doctor and notcomfortable with you getting a second",Caregiver,PersonalRelationship,,,,,,SocialRelationship,SocialRelationship
,,,,,,,,,,,,
hQQ5xQGZxdA52,11:24,11:36,"opinion,outside of, maybe it beingissue like we don't havea lot of time. to work with it'stypically, not a greatright it's like if a doctor is going toyou from",,,,,,,,,
hQQ5xQGZxdA53,11:37,11:48,"from taking a step like that um. evenyou know, oncologists.say yes by all Ipatients to get A second opinion, if,want one:um and some are? adamant that you get oneanyway. You know just because more",,,,,,,,,
hQQ5xQGZxdA54,11:51,12:03,"Um so thanks, for sharing that and not toThethat um. a lot ofit sometimes it's a thinglike? with my motherYou know she wouldn'tshe just trusts her doctor. right she's",,,,,,,,,
hQQ5xQGZxdA55,12:04,12:14,"like well,well, no, and so i think it's importantfor someone who,if, you have a parentcaregiver oror part of your caregiver your the teamof caregivers,",Caregiver,PersonalRelationship,,,,,,SocialRelationship,SocialRelationship
,,,,,,,,,,,,
hQQ5xQGZxdA56,12:16,12:25,"then, that person like my mother notthink to even ask to get A secondopinion,that's a really good point, yesgenerational differentdifferent attitudesshifting constantly",,,,,,,,,
hQQ5xQGZxdA57,12:27,12:38,"um, okay, So great so um. you talked aboutyouryour type being more can youtell againwhat that specific type was and then, youdid find out the stagingthe surgery",,,,,,,,,
hQQ5xQGZxdA58,12:39,12:54,was done or um. the we'll The staging wasbased on the size so it was stage soit was like atumor in my lower left lobefrom the cat scan. they could tellfrom the shape of it but it waslocalized,Tumor,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
hQQ5xQGZxdA59,12:55,13:08,"a neuroendocrine cancer and then,my surgery they didthey did check the lymphafter the surgeryum, i did find out that there was no,spreadof the disease, and so that's when You",,,,,,,,,
hQQ5xQGZxdA60,13:09,13:24,"kind of get theclassification of of of the um.of the staging i should say, okay, and sobecause it hadn't because it hadn't ummetastasized, then i there was no,immediateattention that needed to be done. other",,,,,,,,,
hQQ5xQGZxdA61,13:25,13:36,"than the recovery from the surgery atthat. point,great and we'll we'll talkabout that um. in that in the nextas we wrap this up I would love tounderstand. At the time. was there,talk of",,,,,,,,,
hQQ5xQGZxdA62,13:37,13:50,"uh mutations, or you know,or anything like that or that just neverupit really never came up and like i saidit? was um It was a long time. It was likeso it was it was a long time. ago, andthere's so much more as Well",,,,,,,,,
hQQ5xQGZxdA63,13:51,14:02,probably talk about aboutabout targeted treatmentsbut uh for me it was reallyYou know for me i can to Thepeople who have had oranticipating having a luck to me it's ait's a very,Treatment,,,,,,,LevelOfIndependence,LevelOfIndependence
,,,,,,,,,,,,
hQQ5xQGZxdA64,14:03,14:17,"invasive surgery. i was in the hospitalfor a onheavy doses of of soit's on morphine at a morphineknow, but it didn't even because itwas so painful that even with themorphine drip.",,,,,,,,,
