Topic,Sentence
No,efficient use of visuals in one slide
Delivery,effective use of his hand in emphasizing various points
No,"Excellent conclusion""My work is about giving chemists better tools to make better medicines"""
No,"Bigger picture/problem, followed by a good analogy"
No,Visually striking and information slides
No,She begins with the interesting moment 'the end of gender' and then works toward explaining why she is saying this.
No,striking visual aid to illustrate her point
Delivery,she moves around a lot when speaking
No,Good use of visuals in showing different demographics
Delivery,Swaying is a bit distracting
No,Clear diagrams that explain points well
Delivery,"""Why should I care about this"" relates talk back to audience"
No,She uses precise visual aids to support her points.
No,She uses animation to show the process of information.
Delivery,She swings back and forth.
No,Showing the transition between two concepts by animation.
No,"Big Words, showing the topic."
No,"Customized charts, with customized animation!"
No,"All the evidences, data, charts and visual aids are all focus on a single point, the topic of the talk."
No,"Relatable again. 
Bringing humour into the visual aids I'd assume gives a more positive experience to the audience"
No,Great use of graphics to emphasise points
Delivery,Slightly too much moving around on stage for me.
Delivery,Enthusiastic and engaging ending - leaves the audience thinking
Delivery,"Carefully outlining whats to come
Good opening line"
No,She is cleverly making statistics 'mean something' to the audience
No,Good interpretation of what her data means for the audience
No,She doesn't have a firm posture.
Delivery,Slight pauses between sentences are punctuating the presentation.
No,"Written content of the slides is low, keeping the focus on the audible content."
Delivery,Good use of emotive delivery in the speech. You believe that she believes what she's saying. Expressive hand movements are also adding to this.
No,good use of pictures and graphics
No,Opens by stating main message
No,Effective visual aids - magazine covers. The way they keep changing makes a point about how widespread they are
No,Great animated visual aids that accurately reflects the spoken component
Delivery,Link to Mad Men brings us alongside the presenter with a common experience
Delivery,Taste respected rather than assumed - good takeaway message
No,"Well structured with visuals supporting her explanation at the beginning of each section, then her speech expands and goes deeper"
Delivery,Delivery is well-paced - quite deliberate and unhurried. Makes it easy to follow
Delivery,interesting
No,"good use of pictures, charts"
No,taking too long to get to the main point of the talk.
No,The variety of images used  grab the attention of the viewer
Delivery,she introduces who she is at the 2.40 mark after she has the attention of the audience
No,"Use of terminology with a corresponding  amusing relatable visual ""chick flick"""
No,"I really liked the graphs in this presentation - the consistent style appealed to me and they didn't take over the presentation, but really supported the message."
Delivery,very nice opening
No,good visual aids
No,very nice ending
No,"Visuals, no text, but message is clearly communicated"
Delivery,Very good intonation
Delivery,"Sounds like she's explaining this to a friend, so it's very easy to follow and doesn't feel like a traditional presentation"
No,"i think two big screens in front of the speaker are a helpful tool for giving a hint of next slide. Or, maybe a transcribed text."
Delivery,"i just realised that she moved a lot. contradict from the previous tips about ""stand"""
Delivery,she made less eye contact with the audiences as she frequently looked to the screen
No,Uses relevant visual images but an overload for me particularly with the movement.
Delivery,She moves her feet and is not smiling - perhaps reflecting the content currently concerns her. I am sure the final tutorial would say something about her stance but I'm okay with her movement. I take from that she is emotionally invested in the topic unlike Steve Jobs who was financially invested.
No,Simple images relevant emphasize the point made
No,Closed bringing the key points back again
Delivery,"She seems a bit nervous, but is using hands well, maybe not standing neutrally though."
Delivery,She is rocking back and forth
Delivery,Not smiling
No,Her slides are very interesting to look at. The pictures represent an idea
Delivery,Made the audience laugh - engaging
Delivery,"Her speech is clear, no 'mmmm'ing"
No,"Easy to follow the progression, slides are used to split up ideas well"
Delivery,She uses her hands well
No,She recapped at the end
Delivery,"Nice opening - ""a little crazy""...""connect the dots"""
No,like the meat-grinder image - simple but powerful
Delivery,Not sure about the rocking back and forth delivery style - anti-confidence?
Delivery,"Quite a conversational style, but lots of words"
No,"Summary is there, but seems weak...imagine..."
No,she is a nice speaker.
No,"It was very interesting presentation, with a lot of visual effects that helped me to understand hers research and to remember some facts afterwards 
She is very confident, good body language, smile all the time.
The way she dressed up looks very professional and she is wearing a black, so helps to stay focus on her visual effect of presentation not to look at her"
No,persuasive and clear visual aids
Delivery,using variation on speed and voice.
No,using questions as transition.
No,good/simple visuals
Delivery,voice variation for clarity of points
Delivery,slow measured speech
Delivery,humorous
No,excellent story/narrative
Delivery,"variation on voice, but the speed might be too fast for me(English as a second language)"
Delivery,"he sounds bit nervous, but he is selling his story at the beginning which is a good start."
Delivery,In his speech he highlights the con and pro and at the end he realised the room for improvement. Visual effects were good and supported his speech. Last part was very effective.
No,consistency on the style of visual slides.
No,Starts with a fact
No,Clear slides with only 2 numbers
Delivery,uses big gestures
Delivery,"quite jerky movements, a little off-putting"
Delivery,"Speaks very quickly, comes across as passionate, but some pauses would be better"
No,Nice personal ending
Delivery,Makes point and uses microphone to aid voice volume perhaps
No,I can't remember clearly but I think one person talked about building points incrementally and I guess his statistics does this
Delivery,He speaks quite quickly but not consistently
Delivery,Appears to be well rehearsed
No,Finishes or closes repeating the purpose or a take home message for the audience encouraging people to be involved with a 'bill of rights' for the WWW
Delivery,i sense nervous in his voice
Delivery,I think he speaks without text.
No,"It's easy to follow, but the structure could have been marked more clearly like 'Now I'll mention some of the dangers' etc."
Delivery,Good closing!
No,very nice visual
No,very nice beginning
Delivery,feels a bit nervous
No,Very good visuals
No,This presentation is terrible. He talks too fast and the content of his delivery is all over the place. I didn't really get what is the crucial point of his talk.
No,Really loving the visual aids - so simple and effective and doesn't distract from the spoken text.
No,use of one visual multiple times to tell the story of the growth of the world wide web
Delivery,His speech is difficult to follow
Delivery,An excellent conclusion that is also a call for action
Delivery,very good pauses to make it more important
Delivery,nice ending
Delivery,Fantastic vocal variety
Delivery,Delivering facts in the context of a story
Delivery,He talks too fast
Delivery,He's definitely passionate about the subject
Delivery,he speaks too fast I can't really follow him
No,"use statistics, history"
No,use statistical data
Delivery,too fast spoken
No,uncoordinated
Delivery,boring
Delivery,"If i go with what i learnt from the Video 5th, i will just say that this Sir Tim Berner is a little nervous, you can see it on his face but he got a great presentation there which is can be related to Speech and little Visual aids if compared to No 6th Video (TED-woman presenter)"
Delivery,Delivery seems more hesitant than the other presenters we've seen
Delivery,Story telling approach engaging
No,Clear visual showing the growth of the use of the Web
Delivery,His deep knowledge is evident in his discussion of the influence of the Web on everyday lives
No,Effective way of making points: listing 'I want...' Supported well with visuals
Delivery,Suggesting ways for the audience to get involved
Delivery,Makes final point strongly
Delivery,speech is not as clear as it could be
Delivery,speech is too fast difficult to follow
No,nice visual aids
Delivery,"Correction to the previous comment-If i go with what i learnt from the Video No 2 and , i will just say that Sir Tim Berner is a little nervous, but he got a great presentation there, which can be related as Speech and little Visual aids if compared to No 6th Video (TED-woman presenter) which is completely Visual aids.Great and good speech though."
Delivery,"Diction is not great, I didn't catch that last sentence."
Delivery,"I like the way he seems to be speaking freely, i.e. not completely scripted word for word."
No,"Clear message from the slide. Nothing to read, puts focus on the speech."
No,"Repetition of ""I want a web.."" is a nice hook that collects the points nicely."
No,"Reaching conclusion, a nice way to sum up, as this is the first time the title of the talk has been mentioned."
Delivery,Using obviously is bad.
Delivery,"Feels un prepared, lots of ums and ahs."
No,Feel like we are getting side tracked.
No,Too many points? Should I be worried about censorship or privacy or both.
Delivery,Took a while to get used to his speech style which can be staccato-like
No,Visual aids help greatly to orientate audience to what he is saying
Delivery,Needs to slow down. Add some pauses.
Delivery,I got distracted midway wondering if he has a lisp rather than on the content of his speech
No,"The closing was sort of attention grabbing in a way - where he involves the audience in wanting to ""fight"" for something"
Delivery,not a great opener
Delivery,not using silence/pauses and speaking quickly
No,hasn't set out the story or structure of the presentation - don't know what the headline/arguement is
Delivery,speaking quickly
No,good simple visuals so far though
Delivery,not as clearly/simply argued as could be
Delivery,good level of emotion shown
Delivery,engaged animated delivery at times
Delivery,encouraging engagement of the audience through inclusive questions
Delivery,great closing comments
Delivery,Sir Tim Berners-Lee speaks quite fast and full of personal characteristics.
No,An innovated pie chart.
No,I feel that he did not speak according to a script word by word. He added many thoughts on the fly.
No,"The visual design is consistent in the style, and all surround one symbol, the blue networked globe of the earth."
No,"This is a very sincere, innovative and original thought."
Delivery,Stumbles  -doesn't seem sure of next point?
Delivery,"I think the audience are scientists and doctors, so it need not any fancy visual effect."
Delivery,the diagram is useful for explaining a concept
No,complex start for none familiar
No,confusing visual
Delivery,good relaxed stance and animation
Delivery,Good slow speach-appears confident
Delivery,great engaged delivery
No,Good summary/end commentary
No,Great opening by putting into perspective how breast cancer affects people
No,A very difficult concept made very digestible!
No,Visual aids helps with the explanation process of the difficult concept
No,Would have wanted to hear more about the statement she made in closing. but guess there were time constraints
No,There is perhaps too much on that slide for me.
Delivery,She speaks clearly and slowly to emphasise important bits.
Delivery,"Again did you see how she is pointing at the point that she is showing the audience, meaning she got the traits when compared to Video No 5 that did a presentation on the same platform(Ontario). In fact this presentation is way cool."
Delivery,good use of hand gestures
No,clear speech
No,Opening is clear but not attention-grabbing or engaging
No,"'So if you'll join me in imagining...' Involving audience, getting alongside, using analogy"
Delivery,Effective hand gestures
No,Great visual aid that could be used to support several explanations
Delivery,"Very clearly explained, telling a story"
Delivery,good vocal
No,bad graphic
Delivery,good command over language
Delivery,very confident
No,"I think her presentation is too theoretical and do not explain her topic in a way that everyone can understand. I wish she could explain this with giving a similar example from everyday life, or a fortress or a meal......"
Delivery,"she uses her voice and gestures really well. and she seems passionate about her topic, she is selling it but I have no idea what she's talking about."
Delivery,Very well delivered
No,very good start with main point
No,very good visual from start
Delivery,very good posture
Delivery,clear presentation she manages to present what would have been potentially a difficult subject in  a very clear and simple manner  that is easily understood by the audience
Delivery,I'm really enjoying the pace of this presentation. The words are clear and the voice tone engaging.
Delivery,She talks too fast and not interact with the audiences. I can hardly follow her.
Delivery,"A very standard intro, doesn't really catch attention"
No,"Good example with ""Now imagine with me..."" and then move to the slide"
Delivery,"Good use of gestures, emphasises her points"
No,"Good, succinct closing"
Delivery,"refer to the previous video, I don't think we need to introduce ourselves in the beginning of the speech."
Delivery,"good presentation. clear explanation, to the point and in three minutes"
No,Well rehearsed
Delivery,The 's's seem to be employed
No,Uses visual aids
Delivery,Confident stance. Not sure that the beginning where she greeted audience and end where a number of technical terms were given - were captivating for me but I am sure those in the field would be fine with this. Pleased she didn't use the 'but wait there's more' sales pitch approach - bit of a tension with her topic I guess. I enjoyed her speaking approach.
No,"Good that there is only one picture on the slide, writing maybe a bit small/could be clearer"
Delivery,uses hands well
Delivery,explains her picture well
Delivery,"Clear speaker, uses pauses"
Delivery,"She speaks with authority, could smile perhaps"
No,Strong conclusion
No,make the graphic meaninful
No,"The speech was very dynamic, it had a clear structure. Nice introduction, main par and effective conlusin the highlight what her research is targeting."
Delivery,very clear and easy to understand
Delivery,Animated hand movements.//Not actually distracting.
Delivery,Relate the content to the audience in a way that they can understand
Delivery,Good silence at start to build anticipation
Delivery,'Story' in intro instantly attracts attention of listeners
Delivery,Awesome speaker. Calm but assertive and easy to understand and listen to. Effectively communicates his content in a way the audience can relate to and understand.
Delivery,Nice finishing punchline
Delivery,Remained focused on giving an audience an understanding of his reasoning and the relevance of his research without getting bogged down in technical details.
Delivery,Finished with a clear summary of what his research is for. The finish linked nicely with his opening statements.
Delivery,"Good opening, straight into the topic in an accessible way"
Delivery,Good short conclusion.
No,"Give the audience a story and lead them on it, even if the story is only a short one as a motivation"
No,"Opens with an interesting hook, that promotes thought on his problem area and domain. Then leads viewers from this point along how he developed and used his research. Good use of story and opening."
No,Fantastic use of analogy to make a complex subject understandable for people that might not have a background in chemistry.
No,Good relevant information
No,Good placement and use of hands
Delivery,"Makes a number of points that align her with the audience (she shows her understanding of what they may be thinking). This helps reduce the ‘distance’ between her and the audience, but also makes us more valuing of her points."
No,Lead the audience on a cohesive story during the presentation
No,Simple graphics to illustrate point
No,Visuals are both interesting and relevant. They continually give us immediate context for the domain of the speech’s current point.
No,Visuals part way through not only help hold attention but make her speech content more understandable. They act as examples without being too specific or so technical that they distract from her speech.
No,"Really enjoyed the visual aids in this one - they're uncomplicated, and serve to illustrate her points without distracting from her content. Nice to see the lack of constant text on the screen"
Delivery,"This guy speaks way too quickly, almost seems to fall over his words. He also says 'um' a lot, probably because the rapid fire delivery doesn't allow him to think about what he is going to say next"
Delivery,I actually find this guy really hard to watch. He seems very jittery and it doesn't translate well
Delivery,Lots of short but powerful points to get his ideas across to viewers.
Delivery,Good use of tone in speech
Delivery,"Short, sharp ending with a definite goal and leaves the audience with a primary idea in mind."
Delivery,Obviously a very jumpy speaker.. comes across initially as very nervous but it seems its just his personality. If his pace were smoother and calmer he would be easier to listen to but I think also less interesting since his wacky presentation alludes to his passion on the subject. He still manages to effectively communicate his content. His use of visual aids is useful without being distracting.
No,Start feels a bit jumpy but content and presentation visuals tide over until he gets underway.
No,"Presentation has a good flow, leads us along the progression of the internet in a way that makes us better understand the issues it faces when he discusses them."
No,"Begins with a question to the audience, gets them thinking."
No,The intended direction/aim of the presentation is unclear.
No,"Visual aids are simple, displays the statistics nicely without too much text"
No,Good use of data in presentation slides
No,"Relatively simple graphic with a relatively simple message.//More likely the audience will get something from this than a less informative graphic, or a busier graphic."
No,"Infographic backs up what he is saying  in an interesting way, gets audiences attention."
Delivery,Solid understanding of her content and speech strucutre leads to a clear and controlled presentation
Delivery,Lots of hand movements gives slight visualisation and shows enthusiasm for talk topic
Delivery,Explains high level content in a way that anyone with high school level education can understand. This allows for a large target audience.
Delivery,"Nice ending, gives a short and to the point summary of the presentation topic."
Delivery,Very strong finish. Closing statement is clear and impactful.
Delivery,No obvious big start or hook. But gets into the important content quickly (no fluff) which largely reduces the need for this.
Delivery,Can we fund her research pls?
No,Speaker did an awesome job of taking a highly complex domain problem and presenting it in a way that the audience can grasp the content.
No,"Single graphic for the entire talk, used well to demonstrate points within the talk."
No,lego analogy on point
Delivery,He is speaking in a rushed tone.
Delivery,"Silence between points, emphasising them."
Delivery,His hand gestures help sustain audience attention.
No,"Messy, and hard to understand"
Delivery,Using too much hand gestures now and is becoming a distraction.
Delivery,He used a story and things people already know to explain what he does which engaged you
No,"His use of stories was really engaging, and using different analogies made it more relatable for people from different fields."
Delivery,interesting story and captivating opening
No,good analogies which makes the talk better to understand
Delivery,"Pauses, hand gestures, eye contact, change in pace"
Delivery,Use hands to emphasize point
Delivery,The pace is a little bit too fast
No,I like how he structured his speech with an initial opening story to grab the audiences attention and lead them to his main idea
No,Lots of pictures on one slide - makes it unclear what point is being made
Delivery,Simplification of jobs - makes it easier for all to understand but may be insulting to others
Delivery,He is only looking in one direction - not at camera - do not feel involved
Delivery,Relationship between topic and everyday things ie. chess
Delivery,How computers are better than humans and how this translates to his topic - comparison
No,Simple ending that leaves people feeling underwhelmed
Delivery,makes good eye contact
Delivery,"Lots of hand gestures, and pauses for effect"
Delivery,He was passionate about his topic which made it easy to listen to his ideas.
Delivery,Starts presentation with an anecdote.
Delivery,"Talks clearly with confidence, but talks a bit too fast."
No,almost too much gesturing. Good use of the lego analogy and nice slide presentation
Delivery,"Was not a fan of this example, found it hard to keep engaged"
Delivery,Engaging
Delivery,very engaging begin
Delivery,"only had 3 minutes, yet used his time wisely and didn't rush"
Delivery,Very clear and concise delivery
No,"Story to start, gaining interest."
Delivery,Giving numbers meaning with analogy
No,"The individual items on the slide were good as they were visual representations of what he was saying, allowing audiences to visualize as they listened without being distracting, however the slide itself was too busy with too many things on it and the tree background."
No,The tree link was good as it tied his points together.
No,The story aspect made the speech considerably more engaging than it may have otherwise been.
Delivery,Well rehearsed and personable
Delivery,"The good thing about this presenter is that he has taglines. He opens his presentation and closes it with remarks. So, he put things clear for the audience to understand. What I think is lacking is the slide. The background picture is covered with other overlapped pictures. This is not eye welcoming."
Delivery,ok
No,I found there was a little to much hand action which distracted from his points.
Delivery,"- The use of a story at the start of the presentation made it engaging.
- Knew his material well.
- Good amount of hand gestures.
- Good variation in voice."
Delivery,Quite and interesting concept. Using hand gestures to display the significance
Delivery,shows it all using an analogy
No,"Clear speaking, but there seems to be too much information on some slides at one time or another."
No,Clear opening
Delivery,"surprisingly interesting, relevant to study. He was a good speaker, keeping me engaged. Short and informal, yet factual and insightful"
Delivery,Eye contact is maintained with the audience
Delivery,Rhetorical questions
No,Anecdotes
Delivery,engaging beginning
Delivery,good hand gestures
No,good and short gets the point cemented more clearly
No,refers to slide but also always looks at audience
Delivery,changes tone when talks about more serious topics
No,at the end brings everything back together
Delivery,strong ending
No,It's interesting how he compares it to something else
No,using an anecdote to start immediately engages the audience and keeps them listening
Delivery,too much pointing
No,start with a stroy
Delivery,makes use of metaphor
Delivery,engaging delivery
No,Starts with his little anecdote
Delivery,"Varies pitch, tone, speed for better delivery"
No,Uses hand gestures to emphasise ideas
No,Only uses one slide with very few words for his entire 3 mins
Delivery,Gives his stats in context
Delivery,Uses tree metaphor to expand idea
No,"Ends with a strong, single message for the audience to remember"
Delivery,Dumbs down content a lot
No,Good gestures with hands
Delivery,Pauses for effect
Delivery,Good variation in speed of delivery
No,"Likened a computer's skills at chess a computer's ability to solve medicine issues, therefore he used the technique of making complicated issue simple by using an analogy."
Delivery,"He had a strong opening statement, however I didnt like it when he said stuff like ""as shown on the slide"""
Delivery,"Powerful introduction that grabbed the attention of the audience by starting with, ""I want to tell you a story..."" used hand gestures, spoke clearly and involved the audience"
Delivery,this shows how short pauses in speeches don't seem awkward at all!!
Delivery,I enjoyed his presentation because he is calm when he speaks and isn't condescending.
No,He gave a single sentence to sum up his speech which was really strong.
Delivery,The analogies help convey ideas which are complicated in a simple easy to understand manner
No,The simple power point is useful to the audiences understanding
Delivery,"Good humor, well received by crowd."
Delivery,He was able to make the audience to visualize the point that he was trying to point quite clearly by not only using the image but also by comparing to things in life that we can picture of.
Delivery,"engaging, funny and informative. The use of good body language, pauses, humour and examples to convey ideas with ease to listener."
Delivery,Wow what a cool analogy
No,Starting with a story helps to engage the audience.
Delivery,Be humour
No,starts with a story
No,"I like how it starts with a story, includes joke and analogies that we (as an audience) can relate to, (e.g. chess)."
Delivery,"Real case study on trees, I found very interesting and left an impression"
Delivery,This speech was short but delivered the necessary information. Audience engagement was high due to the delivery of the speech from the speaker being very good. It was also high due to the speech following a structure that was easy to follow.
Delivery,"Strong relateability to a well known topic, and used enthusiasm and confidence to boost the audiences attention effectively as well as other delivery techniques"
Delivery,Engaging beginning
No,"GOOD: Putting pictures of things that didn't seem to relate to each other on the slide and then showing during the course of the presentation how they worked together was an excellent way for the audience to interested in the talk - ""How does lego and chess relate to computers?"""
Delivery,GOOD: Only a few statistics used - the audience wouldn't be able to appreciate lots of statistics and not using any statistics would probably be boring.
No,BAD: Is starting the presentation with a story too adrupt?
Delivery,BAD: Maybe too much gesturing?
Delivery,Clear and interesting. good pace a tad fast if anything
Delivery,this ones is actual so good
Delivery,good to use the chess example so people can visualise what he's talking about
Delivery,Starts off with interesting story rather than boring introduction
No,He had one slide with no words!
Delivery,Super interesting to listen to even though there is no visual aid
Delivery,"So he wants to use the alogorims that are used for chess to make chemistry easier???
His delivery was to informative and to the point"
No,"Used the minimal on the slides, only to support what he was saying"
No,Engages you from the beginning using analogies and then explaining how the random images relate together
Delivery,"Starts with story to engage audience and make topic not seem boring, gestures are used, relaxed confident stance."
No,Refers to where the information can be found on slide - this seems unnecessary but does help audience
Delivery,Passionate about speech which adds interest. Gives problem and solution which makes his material more intriguing
Delivery,"Cool presentation, engaging content and well spoken"
Delivery,Deliver knowledge to audience
No,references to TV shows are v effective
Delivery,Starts with an attention grabbing question
No,"Not much writing on slides, just photos which means that the slides are not dividing the audience' attention from the speaker"
Delivery,She is swaying side to side instead of standing at one point. This is becoming a distraction.
No,Uses two colours in visual presentation.
Delivery,"Not giving the audience much eye attention, keeps looking to the floor or to the side"
No,outlined what she was gonna talk about
Delivery,"She spoke in a very conversational way, so it was easy to listen to and relaxed."
Delivery,"She kept saying I think, which I didn't think was the most assertive way she could be communicating points or ideas."
No,effective figures
No,"Less words
Images
Moving images
More images than words
Use words in images"
No,Love the pictures
No,I like how she opens her presentation with the argument she is going to convey to the audience so they have a clear idea what the presentation is about from the beginning. I think this is good structure.
Delivery,Have a strong topic that people are interested in - start with a wild proposition
No,Lots of changes in power point - to many points to draw attention to
Delivery,Try to manipulate peoples thinking to make them think twice about their values and how they align - makes people more interested
No,Relate to media and their influence - use example that people know
Delivery,Swaying from side to side - off putting
No,Not a lot of connection between the visuals and the speech
Delivery,Personal opinion - makes it more interesting - more connection
No,Graphic is very confusing to understand - draws attention away from point
Delivery,Wild assumptions - get audience re-interested. Change of tone projects important point
No,Tries to put your feet in the media's shoes
No,Relate points to reasearch
No,boring start
No,good figure
Delivery,sways her hips alot
Delivery,engaging finish
Delivery,"Could have a better posture, moves around nervously a bit"
No,The pictures she used helped to keep the audience engaged.
Delivery,Animation keeps people interested.
No,linked to the wider world.
No,Through the visual representation was relevant to the points
Delivery,Awesome!
No,Quite engaging visuals however potentially a bit busy and hard to fully take in dialogue
No,Gives examples of media
No,Stand out words
Delivery,Analogy
Delivery,Swaying
Delivery,Lots of swaying/side stepping which is quite distracting
Delivery,"Whilst clearly committed to her argument, her linguistic choices often reflect a timid approach which comes across as somewhat unreliable."
No,love it
Delivery,"Her speech is fantastic. One advantage though is the title too. The title of the presentation is already exciting. So, by speaking about it, she must make it more interesting. The way she decipher the topic one by one is in good order too."
Delivery,i like this one
Delivery,The swaying was a little distracting and so was looking at the notes and trying to change slides ect. could be fixed with more rehearsal.
Delivery,"- She keeps moving side to side, which is distracting.
- Boring presenter."
No,Good visual aid. Visualization
Delivery,"Walking around a little, meaning she seems like she is engaging with different parts of the audience"
No,Good use of visual aids
No,"Engaging movement while talking, also related to something the audience is familiar with."
No,Pretty cool
No,same theme throughout
Delivery,"Engaging and well rehearsed speaker, clearly was confident in the topic. However dragged on a bit at the end."
No,great visual aids
Delivery,pauses
No,very visual that distracted from the talking
No,She's doing the thing where you connect the dots for the audience
Delivery,good use of varying voice to keep audience engaged
No,too much going on.
Delivery,Too much swaying
Delivery,saying is annoying
No,simple and effective aids
Delivery,very monotone
Delivery,doesn't look at the audience much
No,Outline argument
Delivery,Too much boring content
No,Nice simple slides
Delivery,"Blah, blah, blah, not enough variation in pace or tone"
Delivery,"Blah, blah, blah"
No,No clear structure
No,No key point to follow
No,What is the point that the speaker is trying to convey?
Delivery,"Living in a false reality, (social media is not all about gender stereotyping)"
Delivery,"Speaker is trying to create gender stereotyping, not solve it"
Delivery,Uses a powerful speech to convey her point. Using research and opinion together to help us understand her viewpoint.
Delivery,"Her speech was relatable and told I story. My favorite part was when she talked about how advertising is now working on social media, because as a social media user I could relate. My take home from this video is that the audience will be more likely to be interested if you are relatable."
No,Good use of statistics and she ensured the audience understood these statistics or facts by using personal examples
No,The visual aids were limited and were very simple to understand making for an enjoyable presentation
Delivery,She changes her tone to show enthusiasm.
Delivery,Using the word 'lame' gives more emphasis to her point.
No,The introduction is interesting and creates the talking points of the speech
No,Very good use of graphs to convey ideas
No,power points are very effective
Delivery,Changes in pace keep it interesting and emphasises points.
No,"The presentation is clear, big and easily to visualize and understand for each point."
No,"many visual aids used. Simple slides, which add to keeping speakers content engaging, which without it would not be so."
No,"This presentation really lacked and intruguing visual aid, plus her constant movement as very distracting"
No,Starts with an interesting title so that people are curious about what she's going to say.
No,Appropriate movement while talking. Try to relate to something is popular(well-known)
No,"They are very effective visual aids- simple, easy to understand, minimal"
Delivery,I strongly disagree with this woman.
No,Great mind map and other visual aids
Delivery,"Speech is fluent and well prepared creating further engagement, in addition to the original interest of the topic."
No,"Use of power point effectively and simplistically to engage the audience with the topic, and how it is changing."
Delivery,The swaying was distracting
No,GOOD: Having an unusual title interests the audience - they would want to have this title explained as part of the presentation
No,GOOD: Having animations is a good idea - they interest the audience and help to explain concepts easily.
Delivery,BAD: I think Blakley paced around too much - it was rather distracting
Delivery,BAD: Blakley pausing to look at her powerpoint control to change slides broke the flow of the presentation
No,The slides moving while she is talking is slightly distracting
Delivery,"idk bout this
kinda got bored, as in like this is old news"
No,visuals were good though
Delivery,She steps from side to side and it is extremely distracting.
No,too much going on on screen - distracts from what she's saying
Delivery,Rhetorical question
Delivery,The speaker was very confident and had obviously done a lot of practice.
No,"There was quite a lot of visual aids, it was practically like a story"
No,Interesting title that encouraged people to want to listen
Delivery,"Her movement across the stage was quite distracting throughout, also when she kept turning to look at the screen with the pointer. Very distracting for the audience"
No,Starts off with a strong thought which could be controversial but then joins the dots for clarity
No,Use of changing computer image slightly distracts from what she is saying.
Delivery,"Relates a part to 'Mad Men' which helps some audience members identify with material, whilst leaving others slightly confused as they cannot relate"
Delivery,"Sways side to side a lot, a bit distracting. Also perhaps too much gesturing"
No,good visual aids
Delivery,solid ending
Delivery,Make presentation via questions and pics
No,Sucks to be a guy
Delivery,what a twitchy guy- passionate though
Delivery,Not a very interesting intro.
Delivery,Used words that audience can relate to i.e. cool.
Delivery,Using statistical numbers to reinforce the idea
No,Words where too small and too compact to read.
Delivery,Bad- stuttering and using words like umm.
