SegmentId,StartTime,EndTime,Transcript
TmbQFWBvTtY5,,,  do you do with your face while you 're making eye contact . You 've got to
TmbQFWBvTtY5,,,  smile . A lot of time people get overly robotic when they present . They might be
TmbQFWBvTtY5,,,  making good eye contact but their face is stern . And it doe n't look like
TmbQFWBvTtY5,,,  anything 's happening emotionally . You want to smile and warm your face up a
TmbQFWBvTtY5,,,  little bit so that when you 're making eye contact with somebody they feel a
TmbQFWBvTtY6,2.02,2.23,  connection with you that 's welcoming and supportive . You do n't want to come across
TmbQFWBvTtY6,,,  a a deer in the headlight . Tip number two . Posture and gesture . And these
TmbQFWBvTtY6,,,  thing go together . So in term of what not to do for posture you do n't
TmbQFWBvTtY6,,,  want to shuffle your foot back and forth . You do n't want to sway your hip . You
TmbQFWBvTtY6,,,  do n't want to cross and uncross your leg repetitively . You do n't want to pace
TmbQFWBvTtY6,,,  around like a wild person . By the way if you want to walk in a presentation it 's
TmbQFWBvTtY7,2.27,2.48,  okay to walk a little bit but make sure when you walk you stop and you say a
TmbQFWBvTtY7,,,  little bit before you walk again . So walk with a purpose
TmbQFWBvTtY7,,,  stop share your message and then maybe a minute or so later walk again . Do n't pace .
TmbQFWBvTtY7,,,  So once you have these don'ts out of the way what should you do ? You want to stand
TmbQFWBvTtY7,,,  with your foot about shoulder width apart . This is how you would stand if you
TmbQFWBvTtY7,,,  were n't self about how you 're standing . We get self when we
TmbQFWBvTtY8,2.51,3.12,  present but really all you have to do is stand like a normal person . Then you want
TmbQFWBvTtY8,,,  to put just a tiny bit of weight on the front of your foot and a little tiny bit
TmbQFWBvTtY8,,,  lighter on your heel . And your whole foot is still touching but you have a
TmbQFWBvTtY8,,,  little bit more of a ready responsive position . You also want to soften your
TmbQFWBvTtY8,,,  knee a little bit . You do n't want to have locked knee . Bad thing happen when
TmbQFWBvTtY8,,,  your lock your knee . I 'm not sure of the physiology of it but when people lock
TmbQFWBvTtY9,3.16,3.34,  their knee they oftentimes pas out when they 're nervous . And you do n't want
TmbQFWBvTtY9,,,  to do that in the middle of your presentation . So soften those knee . Now
TmbQFWBvTtY9,,,  you 've got your posture . Let 's add some gesture to it . You do n't want to put
TmbQFWBvTtY9,,,  your hand in your pocket . You do n't want to put your hand behind your back .
TmbQFWBvTtY9,,,  You do n't want to grab on to different part of your body for security . All that
TmbQFWBvTtY9,,,  look very distracting . So here 's what you should do . You should loosely clasp
TmbQFWBvTtY10,3.39,3.58,  your hand at about belt level . And then you should just gesture naturally from
TmbQFWBvTtY10,,,  there . You do n't want to interlock your finger you do n't want to wring your
TmbQFWBvTtY10,,,  hand . Because then you 'll get too locked in and it 's hard to let go . But if you
TmbQFWBvTtY10,,,  practice at home just loosely clasping your hand like this then just start to
TmbQFWBvTtY10,,,  gesture naturally from here and that 's the way to do it . Small little gesture
TmbQFWBvTtY10,,,  just like this . You can do this all day long and it 's just going to add a nice
TmbQFWBvTtY11,4.02,4.24,  emphasis to your word and it 's not going to be distracting whatsoever .
TmbQFWBvTtY11,,,  Tip number three . You want to pause . And when you pause after a key idea add a little
TmbQFWBvTtY11,,,  tiny bit of a nod . I 've seen some really convincing and persuasive speaker do
TmbQFWBvTtY11,,,  this . And what you 'll notice if you pause after a key idea and nod that pause is
TmbQFWBvTtY11,,,  really persuasive but the nodding is contagious . You 'll see that people
TmbQFWBvTtY11,,,  listening to you actually start to nod a little bit with you . And
TmbQFWBvTtY12,4.27,4.47,  that 's one of the way that you know you have them . It 's a very subtle but
TmbQFWBvTtY12,,,  powerful nonverbal body language tip . So those are my three tip for improving
TmbQFWBvTtY12,,,  your nonverbal body language when you 're presenting . But I 'd like to hear your
TmbQFWBvTtY12,,,  tip . Question of the day how do you recommend that we improve our body
TmbQFWBvTtY12,,,  language while we 're presenting . Please put the comment below in that section . I
TmbQFWBvTtY12,,,  look forward to reading those . So thanks . God bless . I 'll see you in the next video .
1VCaJ4dSHak1,0.01,0.28,  Using gesture when give a public speech is a very important part of your presentation .
1VCaJ4dSHak1,,,  If you fail to use gesture properly and you do awkward gesture throughout your presentation
1VCaJ4dSHak1,,,  you are probably going to distract your audience and you are not going to get the impact that
1VCaJ4dSHak1,,,  you want when you presenting .
1VCaJ4dSHak1,,,  So what are four gesture that we use and how can we use them and use them effectively
1VCaJ4dSHak1,,,  during our presentation ?
1VCaJ4dSHak2,0.29,0.54,  Hi I am Ryan McLean and I am from publicspeakingpower.com where we teach people like you how to become
1VCaJ4dSHak2,,,  powerful public speaker .
1VCaJ4dSHak2,,,  So I am going to walk you through the four gesture that you can use in your presentation
1VCaJ4dSHak2,,,  and so you can become more powerful and effective public speaker .
1VCaJ4dSHak2,,,  Gesture number one are descriptive Gestures so these are gesture that we are using to
1VCaJ4dSHak2,,,  describe something or situation .We might draw comparison between something thatâ€™s
1VCaJ4dSHak3,1,1.22,  really big and something thatâ€™s really small or we might use it to contrast certain item
1VCaJ4dSHak3,,,  or to depict the size .
1VCaJ4dSHak3,,,  A great example that I am taking from toy master is if you are using a metaphor something
1VCaJ4dSHak3,,,  is like a tiny little bird and you are holding like cup stand stating the metaphor of the
1VCaJ4dSHak3,,,  bird and also implying size being small .
1VCaJ4dSHak3,,,  You can also use descriptive gesture to say shape say it wa the box this big back
1VCaJ4dSHak4,1.31,1.53,  these and you showing square shape of the box using your gesture .
1VCaJ4dSHak4,,,  You can also talk about movement so moving from here to there picking up a box you
1VCaJ4dSHak4,,,  can talk about location the table wa over here and there wa magazine on the table and
1VCaJ4dSHak4,,,  you can even talk about the number like I said four different gesture that we are going
1VCaJ4dSHak4,,,  to use .
1VCaJ4dSHak4,,,  So descriptive gesture are very helpful because when we are speaking all we have is our word
1VCaJ4dSHak5,1.59,2.25,  all we have is what come out of our mouth and by using descriptive gesture we can
1VCaJ4dSHak5,,,  actually improve the impact and improve the comprehension of our audience so that our
1VCaJ4dSHak5,,,  message get across more effectively .
1VCaJ4dSHak5,,,  Number two is Emphatic gesture that a confusing word so let me explain it .
1VCaJ4dSHak5,,,  Emphatic gesture are like emotional gesture so if we are sad we could slump down and talk
1VCaJ4dSHak5,,,  about thing sad and we are angry we could put our fist together and make angry face .
1VCaJ4dSHak6,2.3,2.59,  So we can use these gesture to symbolise the feeling that we have and that also emphatic
1VCaJ4dSHak6,,,  gesture help u in more genuine â€˜so what are you talking about I am so angry when
1VCaJ4dSHak6,,,  this happened and we are using this angry gesture it actually give more humph to our
1VCaJ4dSHak6,,,  presentation and make sing more genuine yes he were angry I can see his body language
1VCaJ4dSHak6,,,  he wa angryâ€™ but if you were saying â€˜Yeah I wa really angryâ€™ and your body language
1VCaJ4dSHak6,,,  is just slumped and you kind of look depressed well may be they are not going to believe
1VCaJ4dSHak7,3.03,3.23,  that you are actually angry .
1VCaJ4dSHak7,,,  So actually it give make your presentation look more genuine .
1VCaJ4dSHak7,,,  Number three a Suggestive gesture so these are the thing like mood an expression
1VCaJ4dSHak7,,,  for example : you could say I welcome you in with open arm since you got your open palm
1VCaJ4dSHak7,,,  symbolises that you are open .
1VCaJ4dSHak7,,,  So you could say that this guy in audience who wa just wonâ€™t listen to anything else
1VCaJ4dSHak8,3.29,3.53,  or saying he just NO and you are crossing your arm and you kind of you are suggesting
1VCaJ4dSHak8,,,  that even though he may be crossing his arm he wa closed off that wa the vibe that
1VCaJ4dSHak8,,,  he wa giving off the emotion that he wa giving off .
1VCaJ4dSHak8,,,  You could do lot of other thing like striking your shoulder you know NAHH !
1VCaJ4dSHak8,,,  Who care or you could also you know even show your back and when there you just dint
1VCaJ4dSHak8,,,  care about I wa talking about .
1VCaJ4dSHak9,3.56,4.16,  Last one number four is Prompting Gestures ; So these are the one that prompt the audience
1VCaJ4dSHak9,,,  to do something so what I am going to take Tony Robbins doe this really well he might
1VCaJ4dSHak9,,,  say raise your hand if you want to earn million dollar this year .
1VCaJ4dSHak9,,,  And so I am raising my hand a I am telling people to raise their hand hence they are
1VCaJ4dSHak9,,,  more likely to do it .
1VCaJ4dSHak9,,,  Or you could say let get warmed up everyone let s jump up and down on the spot .
1VCaJ4dSHak10,4.22,4.44,  So you can see in the video I am jumping and so it encourages audience or prompt them
1VCaJ4dSHak10,,,  to do something that you want to do .
1VCaJ4dSHak10,,,  So they have the four gesture which we can use while giving a presentation and there
1VCaJ4dSHak10,,,  are some idea on how you can use them .
1VCaJ4dSHak10,,,  When it come down to using them effectively I am going to create an entirely other video
1VCaJ4dSHak10,,,  and podcast .
1VCaJ4dSHak11,4.46,5.1,  About that I have got five tip on you can use them more effectively but really it come
1VCaJ4dSHak11,,,  down to preparation and practice and being natural in your gesture .
1VCaJ4dSHak11,,,  Donâ€™t try and feel force and you donâ€™t feel natural then donâ€™t do it .
1VCaJ4dSHak11,,,  If it is flowing like it doe in conversation everyday conversation with your friend
1VCaJ4dSHak11,,,  with your family with your colleague then thatâ€™s the good sign that theyâ€™re going
1VCaJ4dSHak11,,,  to be hand gesture that will work .
1VCaJ4dSHak13,5.13,5.54,  And also you just you want to avoid those hand gesture that just really take away from
1VCaJ4dSHak13,,,  your presentation and donâ€™t support what you are presenting .
1VCaJ4dSHak13,,,  So I guess the rule is gesture are supporting what you are saying and then they are probably
1VCaJ4dSHak13,,,  going to be great .
1VCaJ4dSHak13,,,  If it take you away from what you are saying like scratching your face adjusting clothes
1VCaJ4dSHak13,,,  playing with your ring figure than probably they will take you away from the presentation
1VCaJ4dSHak13,,,  and you donâ€™t want to use them .
1VCaJ4dSHak13,,,  For more video audio and article just like this one you can get them on blog hit over
1VCaJ4dSHak13,,,  the publicspeckingpower.com and I will see you in next episode where we talk about the
1VCaJ4dSHak13,,,  five tip for better public speaking gesture .
h6sm47j-Am41,0,0.17,   I have often heard professional speaker say
h6sm47j-Am41,,,  you should start your presentation with a joke .
h6sm47j-Am41,,,  That attention grabber is critical
h6sm47j-Am41,,,  and I wan na disagree with this advice .
h6sm47j-Am41,,,  I do not recommend telling a setup punchline joke
h6sm47j-Am41,,,  the kind that a stand comic would tell
h6sm47j-Am42,0.2,0.34,  and there are a lotta reason why .
h6sm47j-Am42,,,  Now at the same time I am 100 % in favor
h6sm47j-Am42,,,  of using lighthearted humor in a presentation
h6sm47j-Am42,,,  and I do it often when I do professional presentation
h6sm47j-Am42,,,  and when I teach in college .
h6sm47j-Am42,,,  So there are some difference here
h6sm47j-Am43,0.35,0.5,  but I can give you a really straight ahead way
h6sm47j-Am43,,,  to add humor without the big risk of a punchline joke .
h6sm47j-Am43,,,  So let 's take a look .
h6sm47j-Am43,,,  ( light music )
h6sm47j-Am43,,,  Hi I 'm Alex Lyon and this is Communication Coach .
h6sm47j-Am43,,,  We 're here to help you increase your impact
h6sm47j-Am44,0.52,1.09,  and lead your team to higher level of excellence .
h6sm47j-Am44,,,  Lotta bad advice out there in my humble opinion
h6sm47j-Am44,,,  about telling joke a attention grabber .
h6sm47j-Am44,,,  Here is the most common situation that I have seen .
h6sm47j-Am44,,,  The speaker try to start off with a joke
h6sm47j-Am44,,,  that they have created and then nobody laugh .
h6sm47j-Am45,1.12,1.26,  And then instead of just moving on
h6sm47j-Am45,,,  they start chuckling nervously to cue people
h6sm47j-Am45,,,  that that wa a joke .
h6sm47j-Am45,,,  The audience may or may not chuckle nervously
h6sm47j-Am45,,,  and it 's an incredibly awkward situation .
h6sm47j-Am45,,,  Now think about this this is the first moment
h6sm47j-Am46,1.28,1.46,  of your presentation and you completely bombed
h6sm47j-Am46,,,  and there are nothing but cricket and nervous laughter .
h6sm47j-Am46,,,  This is not the way you want to start a presentation .
h6sm47j-Am46,,,  It 's really high risk and really low reward .
h6sm47j-Am46,,,  So I am against these stand comic setup
h6sm47j-Am46,,,  and punchline one joke .
h6sm47j-Am47,1.48,2.02,  Now having said that I 'm gon na sound
h6sm47j-Am47,,,  like I 'm contradicting myself but I am not .
h6sm47j-Am47,,,  There 's a lot of way to add humor
h6sm47j-Am47,,,  to your attention grabber without the big risk .
h6sm47j-Am47,,,  So let 's look at three easy way to add
h6sm47j-Am47,,,  some lighthearted humor and still grab
h6sm47j-Am48,2.05,2.19,  your audience 's attention .
h6sm47j-Am48,,,  The first way is to deliberately quote
h6sm47j-Am48,,,  someone else that 's funny .
h6sm47j-Am48,,,  Now by quoting them directly by saying a Jerry Seinfeld
h6sm47j-Am48,,,  once said or a George Burns once said
h6sm47j-Am48,,,  then you may even have the piece of paper in your hand
h6sm47j-Am49,2.22,2.34,  and read the quotation .
h6sm47j-Am49,,,  What you 're doing there is you 're drawing
h6sm47j-Am49,,,  people 's attention to what that other person said
h6sm47j-Am49,,,  and it take the attention off of you a the joke teller .
h6sm47j-Am49,,,  So you know they have a funny line that kill .
h6sm47j-Am49,,,  It 's already been tested .
h6sm47j-Am410,2.36,2.47,  They 're stand comic they probably worked on it
h6sm47j-Am410,,,  for year to get it just right .
h6sm47j-Am410,,,  And now you 're both you and your audience
h6sm47j-Am410,,,  focusing on that little line
h6sm47j-Am410,,,  that little humor a an object that you 're both looking at .
h6sm47j-Am410,,,  So the attention 's not on you .
h6sm47j-Am411,2.48,2.56,  And if it bomb which they usually do n't
h6sm47j-Am411,,,  because if they 're funny they 're funny
h6sm47j-Am411,,,  because it 's already been worked out
h6sm47j-Am411,,,  then what you do is you get a little chuckle
h6sm47j-Am411,,,  you get a little laugh .
h6sm47j-Am411,,,  But if it bomb then it 's not really on you .
h6sm47j-Am412,2.59,3.09,  It 's on George Burns it 's on Jerry Seinfeld .
h6sm47j-Am412,,,  I wa saying to my wife the other day
h6sm47j-Am412,,,  you know Jerry Seinfeld said in his bit
h6sm47j-Am412,,,  `` My parent just moved to Florida .
h6sm47j-Am412,,,  `` Now they did n't wan na move to Florida
h6sm47j-Am412,,,  `` but they 're 65 and that 's the law . ''
h6sm47j-Am413,3.12,3.23,  And my wife laughed huge .
h6sm47j-Am413,,,  I 'm always trying to make my wife laugh
h6sm47j-Am413,,,  but she laugh when I tell Jerry Seinfeld joke
h6sm47j-Am413,,,  and I think it 's because you can hear the comedian
h6sm47j-Am413,,,  telling the joke in your mind a the person share it
h6sm47j-Am413,,,  and it transport you a little bit more
h6sm47j-Am414,3.25,3.34,  than hearing me Alex Lyon a the speaker
h6sm47j-Am414,,,  tell my one joke .
h6sm47j-Am414,,,  So quote someone else that 's funny .
h6sm47j-Am414,,,  Use a quotation .
h6sm47j-Am414,,,  That 's a great attention grabber no problem .
h6sm47j-Am414,,,  The other way you can add humor is by telling
h6sm47j-Am415,3.36,3.47,  a lighthearted story .
h6sm47j-Am415,,,  And the way to make a story lighthearted
h6sm47j-Am415,,,  and by the way I have a whole nother video
h6sm47j-Am415,,,  on how to tell story a attention grabber
h6sm47j-Am415,,,  I 'll put that link in the description below
h6sm47j-Am415,,,  is you add a little bit of a goal to the person
h6sm47j-Am416,3.5,4.01,  in the story .
h6sm47j-Am416,,,  They 're trying to reach a destination
h6sm47j-Am416,,,  achieve something and that way your story get humorous
h6sm47j-Am416,,,  because the obstacle along the way prevent them
h6sm47j-Am416,,,  from reaching that goal and it becomes
h6sm47j-Am416,,,  pretty lighthearted pretty funny .
h6sm47j-Am417,4.02,4.16,  That 's the whole reason why a movie like Dumb and Dumber
h6sm47j-Am417,,,  is funny because it 's a road trip movie
h6sm47j-Am417,,,  where these two guy are trying to get from A to B
h6sm47j-Am417,,,  from Providence to Aspen to see about a girl
h6sm47j-Am417,,,  and everything that can go wrong doe go wrong
h6sm47j-Am417,,,  on their way .
h6sm47j-Am418,4.16,4.27,  And so all these mishap become very humorous
h6sm47j-Am418,,,  because you know there 's a goal in mind
h6sm47j-Am418,,,  that is preventing and they 're being prevented
h6sm47j-Am418,,,  from getting there .
h6sm47j-Am418,,,  So adding a little bit of a humorous goal
h6sm47j-Am418,,,  to your story can make that story more lighthearted .
h6sm47j-Am419,4.3,4.39,  So you can tell a story .
h6sm47j-Am419,,,  It 's not a punchline but it add just a little bit
h6sm47j-Am419,,,  of a chuckle a little bit of a smile
h6sm47j-Am419,,,  to your audience 's experience .
h6sm47j-Am419,,,  And the third way is really easy
h6sm47j-Am419,,,  and that is to show something visual
h6sm47j-Am420,4.41,4.52,  on the screen that you know is funny .
h6sm47j-Am420,,,  So maybe there 's a cute picture
h6sm47j-Am420,,,  maybe there 's a little bit of a joke even on the slide
h6sm47j-Am420,,,  and you do n't have to tell it .
h6sm47j-Am420,,,  You just have to say something and then show the image
h6sm47j-Am420,,,  and people chuckle .
h6sm47j-Am421,4.53,5.04,  You 've probably seen speaker use humor this way .
h6sm47j-Am421,,,  It 's a very low way because when you were looking
h6sm47j-Am421,,,  at the internet or doing your reading
h6sm47j-Am421,,,  you came across it and you laughed
h6sm47j-Am421,,,  or somebody forward it to you and you laughed .
h6sm47j-Am421,,,  Everybody think it 's funny .
h6sm47j-Am422,5.05,5.19,  Everyone know it 's funny .
h6sm47j-Am422,,,  And so you share it in a presentation and it 's almost
h6sm47j-Am422,,,  guaranteed to get a smile .
h6sm47j-Am422,,,  So I am 100 % telling your own setup
h6sm47j-Am422,,,  punchline joke but I am also 100 % in favor
h6sm47j-Am422,,,  of using lighthearted humor and these are three
h6sm47j-Am423,5.22,5.35,  low way to do it without worrying
h6sm47j-Am423,,,  about nobody laughing
h6sm47j-Am423,,,  and just hearing those cricket chirping .
h6sm47j-Am423,,,  That 's a really hard way to start a presentation .
h6sm47j-Am423,,,  And trust me I 've seen a lotta people crash and burn
h6sm47j-Am423,,,  and they just completely fall apart
h6sm47j-Am425,5.37,5.54,  because they 're trying to do it that way .
h6sm47j-Am425,,,  So question of the day what are your suggestion
h6sm47j-Am425,,,  for adding humor but not joke to your attention grabber
h6sm47j-Am425,,,  in your presentation ?
h6sm47j-Am425,,,  I would love to hear your comment and your question
h6sm47j-Am425,,,  in that section below .
h6sm47j-Am425,,,  So thanks god bless and I hope you grab
h6sm47j-Am425,,,  your audience 's attention really well
h6sm47j-Am425,,,  in your next presentation .
dEDcc0aCjaA1,0.01,0.14,  `` Hi I 'm Jason Teteak .
dEDcc0aCjaA1,,,  I help people overcome their fear of public speaking and deliver amazing presentation
dEDcc0aCjaA1,,,  and today I 'm going to show you how to captivate your audience within the first 5 minute of
dEDcc0aCjaA1,,,  your presentation .
dEDcc0aCjaA1,,,  Here 's how I 'm going to do it . ''
dEDcc0aCjaA1,,,  `` I 'm going to show you 5 step to deliver a killer opener . ''
dEDcc0aCjaA2,0.18,0.38,  If you 're watching this you probably already know that delivering great presentation is
dEDcc0aCjaA2,,,  critical to advance your career but did you know that research say that most adult will
dEDcc0aCjaA2,,,  stop listening to your presentation within the first 10 minute if they are n't convinced
dEDcc0aCjaA2,,,  there 's something in it for them ?
dEDcc0aCjaA2,,,  The problem is that most people do n't know about the skill they need to hook their audience
dEDcc0aCjaA2,,,  give a great presentation and overcome their fear of doing it .
dEDcc0aCjaA3,0.43,0.53,  What am I going to do ?
dEDcc0aCjaA3,,,  Hi Jim .
dEDcc0aCjaA3,,,  How 's it going ?
dEDcc0aCjaA3,,,  I 'm freaking out about this big presentation I have to give tomorrow .
dEDcc0aCjaA3,,,  Well did you write out your opener and practice it three time ?
dEDcc0aCjaA3,,,  No .
dEDcc0aCjaA4,0.54,1.09,  No ?
dEDcc0aCjaA4,,,  Why not ?
dEDcc0aCjaA4,,,  I 'm terrified and I do n't even know where to start .
dEDcc0aCjaA4,,,  Trust me I 've been in that situation before and it 's not fun .
dEDcc0aCjaA4,,,  So to help you out I 'm going to show you my 5 step formula to deliver a killer presentation
dEDcc0aCjaA4,,,  opener every time .
dEDcc0aCjaA5,1.1,1.29,  Let 's start off with step number one which is `` Give a Confident Introduction . ''
dEDcc0aCjaA5,,,  One of the biggest mistake people make when they start their presentation is showing nervousness .
dEDcc0aCjaA5,,,  Here 's the key : It 's not whether you 're nervous it 's whether you show it .
dEDcc0aCjaA5,,,  The first thing you need to do is stand STILL .
dEDcc0aCjaA5,,,  Do n't move .
dEDcc0aCjaA5,,,  Do n't pace and keep your hand at your side .
dEDcc0aCjaA6,1.33,1.53,  This is the most calm and confident stance on the planet and it handle the number 1
dEDcc0aCjaA6,,,  need of your audience which is to feel safe .
dEDcc0aCjaA6,,,  Now you can introduce yourself and say `` Hi my name is Jason Teteak . ''
dEDcc0aCjaA6,,,  When you do this bring your inflection down at the end to show confidence .
dEDcc0aCjaA6,,,  Instead of : `` Hi my name is Jason Teteak ? ''
dEDcc0aCjaA6,,,  Say : `` Hi my name is Jason Teteak . ''
dEDcc0aCjaA7,1.56,2.13,  See the difference ?
dEDcc0aCjaA7,,,  Now we move on to step 2 which is Give Your Credentials .
dEDcc0aCjaA7,,,  This is where many presenter make the mistake of simply giving their title and year of
dEDcc0aCjaA7,,,  experience .
dEDcc0aCjaA7,,,  They say something like `` I 'm a presentation skill coach and I 've been doing it for 20
dEDcc0aCjaA7,,,  year . ''
dEDcc0aCjaA8,2.14,2.33,  Yet your audience want to know : `` What can you do for me ? ''
dEDcc0aCjaA8,,,  They need to know who you are why you 're the best person to deliver this presentation
dEDcc0aCjaA8,,,  and what you have to offer them .
dEDcc0aCjaA8,,,  For example I might say `` I help people overcome their fear of public speaking and deliver
dEDcc0aCjaA8,,,  amazing presentation . ''
dEDcc0aCjaA8,,,  What would that look like for you ?
dEDcc0aCjaA9,2.35,2.52,  To figure this out you need a short elevator speech .
dEDcc0aCjaA9,,,  It look like this : `` You know how some people have this problem ?
dEDcc0aCjaA9,,,  Well I offer this solution . ''
dEDcc0aCjaA9,,,  The solution you offer is how you help people .
dEDcc0aCjaA9,,,  For me it wa : `` You know how some people have a fear of public speaking and a have
dEDcc0aCjaA9,,,  hard time getting their message across in a presentation ?
dEDcc0aCjaA10,2.55,3.16,  Well I help them overcome their fear of public speaking and deliver amazing presentation . ''
dEDcc0aCjaA10,,,  What 's your credential statement ?
dEDcc0aCjaA10,,,  You 'll be amazed at the effect this ha on your audience .
dEDcc0aCjaA10,,,  Step 3 is to `` Deliver Your Hook . ''
dEDcc0aCjaA10,,,  My hook for this video presentation might look something like this `` I 'm going to show
dEDcc0aCjaA10,,,  you how to captivate your audience within the first 5 minute of your presentation . ''
dEDcc0aCjaA11,3.21,3.35,  When you do this you have to get your audience to `` feel '' something .
dEDcc0aCjaA11,,,  How do you get them to feel ?
dEDcc0aCjaA11,,,  You have 3 choice .
dEDcc0aCjaA11,,,  You can get them to feel more happy more successful or more free .
dEDcc0aCjaA11,,,  Look at my hook .
dEDcc0aCjaA11,,,  I said `` I 'm going to show you how to captivate your audience within the first 5 minute of
dEDcc0aCjaA12,3.4,3.57,  your presentation . ''
dEDcc0aCjaA12,,,  When you captivate your audience within the first 5 minute of your presentation you 'll
dEDcc0aCjaA12,,,  feel happier because they are listening to you you 'll feel more successful because you
dEDcc0aCjaA12,,,  look like an expert and you 'll feel more freedom when you spend le time worrying
dEDcc0aCjaA12,,,  about your presentation the night before .
dEDcc0aCjaA12,,,  Here 's the practical for you .
dEDcc0aCjaA13,3.58,4.14,  For your presentation write down the word `` I 'm going to show you ... '' then fill in the
dEDcc0aCjaA13,,,  rest with something that 's going to create more happiness success or freedom for your
dEDcc0aCjaA13,,,  audience .
dEDcc0aCjaA13,,,  Here 's the rule .
dEDcc0aCjaA13,,,  You ca n't tell them WHAT they 're going to get until you 've told them WHY they would
dEDcc0aCjaA13,,,  want it .
dEDcc0aCjaA14,4.15,4.37,  Your hook ha to be something that get them to BELIEVE that they want what you 're going
dEDcc0aCjaA14,,,  to give them .
dEDcc0aCjaA14,,,  Take a moment right now and write down WHY your presentation will make your audience
dEDcc0aCjaA14,,,  more happy successful or free in their life .
dEDcc0aCjaA14,,,  And now we move on to step number 4 which is to `` Introduce Your Agenda . ''
dEDcc0aCjaA14,,,  I recommend you use a PowerPoint for this step and the slide should look something
dEDcc0aCjaA15,4.41,4.56,  like this .
dEDcc0aCjaA15,,,  The purpose of this step is to show your audience the takeaway for your presentation  the
dEDcc0aCjaA15,,,  thing they get to `` take away '' and use tomorrow after listening to your presentation .
dEDcc0aCjaA15,,,  Do n't read the slide .
dEDcc0aCjaA15,,,  They 're adult .
dEDcc0aCjaA15,,,  They can read .
dEDcc0aCjaA16,4.57,5.11,  Instead just give them a moment to read it themselves and introduce your agenda by summarizing
dEDcc0aCjaA16,,,  what you 'll be doing .
dEDcc0aCjaA16,,,  You do this by mentioning the number of takeaway you 'll be giving them and paraphrasing the
dEDcc0aCjaA16,,,  goal of your presentation .
dEDcc0aCjaA16,,,  Here 's what it look like :
dEDcc0aCjaA16,,,  `` I 'm going to show you 5 step to deliver a killer opener . ''
dEDcc0aCjaA17,5.16,5.35,  What would this look like for you ?
dEDcc0aCjaA17,,,  The last step is Step 5 Give a Credible Statement .
dEDcc0aCjaA17,,,  You can do this by giving relevant or compelling data to your audience to support your message .
dEDcc0aCjaA17,,,  Remember how I did this at the beginning of this video ?
dEDcc0aCjaA17,,,  I said `` You probably already know that delivering great presentation is critical to advance
dEDcc0aCjaA17,,,  your career but did you know that research say that most adult will stop listening
dEDcc0aCjaA18,5.4,5.57,  to your presentation within the first 10 minute if they are n't convinced there 's something
dEDcc0aCjaA18,,,  in it for them ? ''
dEDcc0aCjaA18,,,  When you do this within the first 2 minute of your presentation your audience start
dEDcc0aCjaA18,,,  to trust you .
dEDcc0aCjaA18,,,  Without bragging your listener start to think `` oooh this guy know what he 's talking
dEDcc0aCjaA18,,,  about ''
dEDcc0aCjaA19,5.58,6.14,  Done .
dEDcc0aCjaA19,,,  When I put those 5 step together it sound like this :
dEDcc0aCjaA19,,,  `` Hi I 'm Jason Teteak .
dEDcc0aCjaA19,,,  I help people overcome their fear of public speaking and deliver amazing presentation
dEDcc0aCjaA19,,,  and today I 'm going to show you how to captivate your audience within the first 5 minute of
dEDcc0aCjaA19,,,  your presentation .
