Participant's ID,STRUCTURE Pre Test,DELIVERY Pre Test,VISUAL AIDS Pre Test, ATTRIBUTES of presentations Pre Test,Post Test 1,Post Test 2
CO23,"Introduction, body containing main points, conclusion","Self Introduction, gaining the attention of audience, get proper eye contact, delivering the content, summarise and conclude the topic.
","Pictures, charts, diagrams and videos.","Deep knowledge in the topic, outline the topic, engaging pace of tone, Using visual aids",StructueVideo segments related to presentation attributes.,"VISUAL AIDS, PRESENTATION ATTRIBUTES"
CO2,"Introduction, body, conclusion","Greet audience, Introduce myself, Short about the project, Explain the project, conclusion","Chart, diagrams, 3D visuals, videos","Confidence, Clarity, Knowledge, passion",Easy to convey our point without any lack of knowledge.,Get the solution from easier steps
CO36,"Introduction, body, conclusion, visual aids","connection, delivery style, audience","charts, hand outs, video","tone of voice, body language, communication",Keep things short to keep audience attention,clear objective and agenda while telling a story.
CO43,"introduction, body, main points, summary, conclusion","tone, cadence, length, confidence, loudness, engaging, interactive","slides, files, videos, graphs","length, delivery, visual aid, style, conclusion, introduction, question and answers, wrapping it up","videos, slides, charts, date, heading, texts, audience transformation road map","audience, speaker, personal information, getting peoples attention, clear and concise, establish problem that audience has"
CO41,"Introduction, Content, Conclusion","Matter, Content, Sound, Jesters","Diagrams, pictures",Matter,"Roadmap, slide, PowerPoint","Layout,"
CO49,"Introduction, Simple, Coherent, Summary, Conclusion","Balanced, Concentration, Casual, Practical, Appealing","Pleasing, Design, Clean, Videos, Images, Attractive, Relevant","Effective, Smart, Logical, Precise, Pitch, Short and simple","The presentation is about the information.
We forget what we hear quickly.
Dates are important.
Slide should have a heading at the top.
The heading should be a simple statement.
The heading should express the bottom-line.
Limit the amount of text.","Tell stories from your personal experience.
Show why you care.
Get people's attention from the beginning.
Make the aim of your presentation clear.
Establish a problem that the audience may have and provide a solution."
CO45,"Introduction, summary, main subject/topic, summary, conclusion","annunciation, clear, concise, pronounce, understanding, comfort","PowerPoint, Excel","Topic of discussions, cohesiveness of conclusion","Clear, knowledgable, understandable, main point,","Clear, concise, captures attention"
CO24,"Introduction, The main body of your talk and Conclusion.","Introduce topic, Summarize the Topic and Respond","Pictures, Charts, and Diagrams,",Knowledge and Output,To attract the Learners,Visual is good
CO30,"Introduction, theme of the presentation, order of presentation, conclusion","Attention, eye contact, body language and gestures, tone intonation","Catchy, simple and easy to understand, different colors of presentation","Concept clarity, explanation, detailed oriented, answering questions and audience feedback","way of doing presentation, practicing presentation, documents in professional context, visual aids, use charts and diagrams, slide with statement, don't give more and more data","Tell example and stories from your experience, getting attention from your audience, good and bad speaker attitude, decide what people expect from your presentation"
CO7,"Just like other forms of academic writing, a presentation can be divided into three parts: an introduction detailing the purpose and structure of the talk; a body covering the main points; and a conclusion summarising and highlighting the significance of your talk.","It's a pleasure to welcome (the President) here.
","Pay attention to …', 'Let's look at …', 'I want to briefly address …', or 'Now, let's discuss …. ' You can use these phrases after your sequencing words to help you with your structure.",A good presentation should be concise and should be focused on the topic. It should not move off-track. A good presentation should have the potential to convey the required information. The fear should be transformed into positive energy during the presentation.,"Main points are the major divisions of the body of a presentation. Each main point introduces one idea, or makes one claim, that helps to advance the central idea (thesis) of the presentation. LIMIT the number of main topics in the body of the presentation. Develop between two to five main points.","Each main point introduces one idea, or makes one claim, that helps to advance the central idea (thesis) of the presentation. LIMIT the number of main topics in the body of the presentation. Develop between two to five main points."
CO9,"Just like other forms of academic writing, a presentation can be divided into three parts: an introduction detailing the purpose and structure of the talk; a body covering the main points; and a conclusion summarising and highlighting the significance of your talk.","Smile and act relaxed. It will make you look and feel more confident. Make eye contact with your audience instead of reading off your notes the entire time. Avoid distracting behaviours, like chewing gum or fidgeting","Visual aids are visual materials, such as pictures, charts, and diagrams, that help people understand and remember information shared in an oral presentation. When giving a speech or presentation, a speaker communicates information orally",A good presentation should be concise and should be focused on the topic. It should not move off-track. A good presentation should have the potential to convey the required information. The fear should be transformed into positive energy during the presentation.,"Presentation, Structure, Attributes, Visual Aids, Delivery","Having a great idea doesn’t mean we’re comfortable telling people about it. We all want to be liked, and this need for affirmation makes us worried people won’t care about what we have to say."
CO26,"layout
transitions
content","presentation style
visuals
expanding on topic
charisma","graphs
statistics
pictures","content
tone","transitions
roadmap
before and after
layout consideration
minimalize confusion","make it personal
memorable
be engaging"
CO14,learnt built studies,"My first point concerns...
First of all, I’d like to give you an overview of....
Next, I’ll focus on.....and then we’ll consider....
Then I’ll go on to highlight what I see as the main points of....
Finally, I’d like to address the problem of.....
Finally, I’d like to raise briefly the issue of....",definition conclusion epalin,types,before and after of tedex,summary defnition
CO20,Organization,"Confidence, accuracy","Video, image, graphs, tables, charts",Educational,"Be engaging, precise and organized",It’s important to include relevant visual aids
CO15,"organization, order, rational","charisma, persuasiveness, interesting","appealing, aesthetic, interesting","convincing, interesting, well made","Just basically on how different parts of the presentation should be distinct in how they're presented, like the start needs to hook them with the main points, how visuals like graphs and so on can help.","These couple were largely about what I mentioned before, delivering in such a way that it's memorable, that your information and how you give it out is interesting and persuasive and so on. Don't harp on things, focus on big things that keep them wanting to hear more and so on."
CO46,"organization, slideshow","PowerPoint, slideshow","pictures, video","audio, visual, PowerPoint",There must be organization. You must clearly make the viewer understand the points you are getting across.,You need to be able to get people's attention and keep it. You have to make them care.
CO33,organized,clear,"graphic, chart","intro, content, conclusion","be interesting, keep attention and focus, use organized layouts,","make it personal and memorable, be clear about why people should care"
CO47,"Organized, deliberate and repeating","Confident, repeating","Main ideas, short, pictures","Confidence, knowledge","Making sure that you are clear and concise. Some of them focused on visual aids, but not all, and to make sure that those are able to be seen as well as being bullet points mostly.","Making sure that you are clear and concise. Some of them focused on visual aids, but not all, and to make sure that those are able to be seen as well as being bullet points mostly."
CO40,"Organized, flow, loose","Measured, even, prepared, loose, conversational","Supportive, as needed, not overwhelmeing","Informative, engaging, eye opening",Slides should not be overloaded with text. Slides are often bundled as documents and circulated and not just given as presentations,Stories that are personal should be included or else the audience won't care. Clear expectations should be set out to listeners.
CO25,"organized, topics, sections","clear, inspiring, informational","Easy to understand, helpful, interesting","fun, inviting",They all had information about how to learn more tips and tricks related to having a good presentation. Some of the main points were making sure that you have a clear focus for your presentation and that each slide has headers so that people are sure to understand what you are speaking about.,Make it personal for the audience and you will get their attention. Also be sure to set expectations.
CO34,"organized, well-planned, informative, coherent","easily digested, clear, concise","eye-catching, colorful, stimulating","logical, informative, easy to understand","motivation, effectiveness, introductions, call to action, slide presentations, roadmaps, , interest, headings/introduction - what is this about","make memorable, importance, getting people's attention, make it clear what presentation is about, establish a problem-solution"
CO13,"outline, framework, organization, format, layout, design, flow, sequence, hierarchy, sections, segments, main points, subpoints, headings, bullet points, visuals, slides, transitions, introduction, body, conclusion, opening, closing, coherence, logical, clarity, coherence, order, arrangement, structure, framework, skeleton, framework","Delivery
Public speaking
Speaking skills
Communication
Audience
PowerPoint
Visual aids
Speech
Body language
Tone of voice
Eye contact
Confidence
Nervousness
Rehearsal
Timing
Engaging
Captivating
Expressiveness
Articulation
Gestures
Q&A
Microphone
Stage presence
Preparation
Opening statement
Closing statement","Graphs
Diagrams
Images
Illustrations
Infographics
Videos
Animation
Data visualization
Clipart
Icons
Fonts
Color scheme
Background
Layout
Bullet points
Transitions
Visual hierarchy
Consistency
Branding
White space
Callouts
Text boxes
Visual storytelling
Illustrative examples
Flowcharts
Process diagrams
Bar charts","Relevance
Conciseness
Coherence
Structure
Organization
Logical flow
Engagement
Persuasiveness
Impact
Creativity
Originality
Memorability
Professionalism
Confidence
Credibility
Preparation
Adaptation
Flexibility
Interactivity
Visual appeal
Rehearsal
Audience-centered
Clear message","From the provided video segments, I've gathered information about giving presentations, focusing on DELIVERY, STRUCTURE, VISUAL AIDS, and PRESENTATION ATTRIBUTES. Here are the main points, concepts, and their relationships:

**Video 1: 
- **Concepts Mentioned:**
- **VISUALAID:** ""NOTE"" related to visual aids.
- **STRUCTURE:** ""START"" related to structuring a presentation.
- **Relationships:**
- The segment briefly discusses using ""NOTE"" as a visual aid, implying its relevance to enhancing the visual aspect of presentations. It also mentions ""START,"" which is connected to the initial structure of a presentation.

**Video 2: 
- **Concepts Mentioned:**
- **VISUALAID:** ""VIDEO"" related to visual aids.
- **STRUCTURE:** ""SECTION"" related to structuring content within a presentation.
- **Relationships:**
- The segment introduces the concept of using ""VIDEO"" as a visual aid and mentions ""SECTION"" in the context of structuring presentation content. This suggests that incorporating videos can be part of a structured presentation approach.

**Video 3: 
- **Concepts Mentioned:**
- **VISUALAID:** ""SLIDE"" related to visual aids, ""CHART"" related to visual representation.
- **STRUCTURE:** ""START"" related to beginning the presentation, ""AIM"" related to setting presentation goals.
- **Relationships:**
- This segment covers both visual aids and structure. It talks about using ""SLIDE"" and ""CHART"" as visual aids, and it discusses the importance of a strong ""START"" and having a clear ""AIM"" for the presentation. These concepts are intertwined, with visuals and a structured approach contributing to an effective start and clear goals.

**Video 4: 
- **Concepts Mentioned:**
- **VISUALAID:** ""CHART"" related to visual representation.
- **STRUCTURE:** ""AIM"" related to presentation goals.
- **Relationships:**
- This segment further emphasizes the importance of using ""CHART"" as a visual aid to support your presentation content and discusses the significance of having a specific ""AIM"" for the presentation. Both concepts contribute to a well-structured and visually appealing presentation.

**Video 5: 
- **Concepts Mentioned:**
- **VISUALAID:** ""SLIDE,"" ""TEXT"" related to visual aids.
- **STRUCTURE:** ""OUTLINE"" related to organizing the presentation.
- **Relationships:**
- The segment discusses incorporating ""SLIDE"" and ""TEXT"" as visual aids, highlighting the relevance of clear visuals with text. It also introduces the concept of an ""OUTLINE"" as part of the presentation's structure. This suggests that visual aids should align with the overall structure for better comprehension.

**Relationships between Concepts Across Video Segments:**
- All segments emphasize the importance of **STRUCTURE**, whether it's starting strong (""START""), setting an ""AIM,"" or using a clear ""OUTLINE"" to organize content.
- **VISUAL AIDS** are consistently highlighted, including ""NOTE,"" ""VIDEO,"" ""SLIDE,"" and ""CHART,"" all contributing to visual enhancement and better engagement.
- The use of **VISUAL AIDS** ties into the concept of **STRUCTURE**, as the visuals should support the content's organization and goals.
- **PRESENTATION ATTRIBUTES** are indirectly discussed, with concepts like engagement, clarity, and impact underlying the use of visuals, structuring, and overall delivery.

Overall, the relationships between **DELIVERY**, **STRUCTURE**, **VISUAL AIDS**, and **PRESENTATION ATTRIBUTES** are intertwined, showcasing how these elements come together to create effective presentations.","Certainly! Based on the provided video segments, here are the main points, concepts, and relationships related to giving presentations, focusing on DELIVERY, STRUCTURE, VISUAL AIDS, and PRESENTATION ATTRIBUTES:

**Video 1: 
- **Main Points:**
- Incorporating a compelling ""STORY"" as part of the presentation's **STRUCTURE**.
- Striving to make the presentation **MEMORABLE** through engaging storytelling.
- **Concepts Mentioned:**
- **STRUCTURE:** ""STORY""
- **PRESENTATION ATTRIBUTE:** ""MEMORABLE""
- **Relationships:**
- The use of a well-structured ""STORY"" contributes to making the presentation more engaging and thereby enhances the **PRESENTATION ATTRIBUTE** of being ""MEMORABLE.""

**Video 2: 
- **Main Points:**
- Emphasizing the importance of a strong **STRUCTURE** at the **START** or **BEGINNING** of the presentation.
- Capturing the audience's **ATTENTION** through an engaging start.
- **Concepts Mentioned:**
- **STRUCTURE:** ""START,"" ""BEGINNING""
- **PRESENTATION ATTRIBUTE:** ""ATTENTION""
- **Relationships:**
- An effective **STRUCTURE** with a powerful **START** is crucial for grabbing the audience's **ATTENTION** and setting the tone for the presentation.

**Overall Relationships and Insights:**
- A well-thought-out **STRUCTURE** forms the foundation for an engaging and impactful presentation, influencing the **DELIVERY**, use of **VISUAL AIDS**, and achieving desired **PRESENTATION ATTRIBUTES**.
- **VISUAL AIDS** play a role in both **STRUCTURE** and **DELIVERY**, enhancing the presentation's visual appeal and helping convey information more effectively.
- **PRESENTATION ATTRIBUTES** like being ""MEMORABLE"" and capturing ""ATTENTION"" are influenced by both the **STRUCTURE** and the use of **DELIVERY** techniques.
- An effective **STRUCTURE** not only aids in delivering information logically but also contributes to achieving attributes such as clarity, coherence, and impact.
- **DELIVERY** techniques, such as storytelling and engaging starts, are part of the overall **STRUCTURE** and contribute to achieving the desired **PRESENTATION ATTRIBUTES**.

In summary, the main concepts of **DELIVERY**, **STRUCTURE**, **VISUAL AIDS**, and **PRESENTATION ATTRIBUTES** are interconnected and collectively contribute to creating a successful and impactful presentation."
CO48,"paragraphs, introduction, main points, examples, conclusion","enthusiasm, authority, wisdom, confidence, humor","projection, tv, computer, photos, film","thorough research, engagement, humor, interesting, learning","The videos outline presentation by referring to making notes to start and give a presentation. This helps with structure. Slides are useful in presentation, and how they are presented in a video are shown to show effectiveness. Charts were outlined and they can used to convey data in a useful, concise way. Brevity of headings in text portions help people get main points and not become distracted from the speaker.","The videos aimed to tell presenters to give memorable examples (share and care). This will help people connect to your presentation. Also, address a problem you think listeners in your audience have; then, let them know you've got a solution for this problem. You will get the listeners attention this way. These techniques provide useful things to an audience."
CO22,"screen, topic, talk","issue, presentation, area","handout, copy, email","point, highlight, raise",I considered the visual aids and I think that the concepts are favorable.,I considered the visual aids and I think that the concepts are favorable.
CO19,"The structure of presentation depends on how well it was prepared, the objective, the introduction, the topic and conclusion of the topic. the structure should be well planned to make the presentation success.","It mostly depends on the person who are delivering it, how well he prepare for it and how much knowledge he have. the delivery of presentation should be focused on target people who get maximum benefit from it.","The visual aids have major role in understanding the presentation, the graph, picture and notes make it very easy to understand and visually interesting.","The objective behind the presentation, how well it was prepared and delivered all the stuff comes under the attributes of presentation.","Visual Aids and structure look the main point about giving the presentation, it has clear visual text, with graphs and points to make it easier for the audience to grab the topic quickly.","All the segment provides clear narrative of the topic with clear visualization and useful information, interesting and very engaging, the summary and conclusion part make it easier for audience to understand the concept behind the presentation."
CO18,"The structure represents the body of presentation with details of topics and conclusion, the reason behind it's preparation and benefits to the target audience.","Delivery of presentation maximum depends on the experience of the candidate who is ready to deliver it, it should deliver proper manner and the target audience should be get benefited from it.","The pictures, the graphs and other medium of representation of the presentation, so that the audience can able to grab the topic more easily needed to be have a good visual aids.","The reason behind and objective of preparing the presentation, how much it's useful to the audience, useful text representation and overall benefits of creating the presentation called the attributes.","The main points about giving presentation was Visual Aids, the main concept mention is the text, the picture and the graph represents the topic make it easier for the audience to learn quickly and can interlink the concept of the presentation with the explanation given by the tutor clearly. The segment which were taken from Youtube clearly demonstrate the need.","The structure and visual aids looks like the main points about giving presentation, both of them are equally important to make the presentation a success, the target audience will get benefit from it, the presentation had enough easy learning techniques with clear visual aids and presentation."
CO5,"The structures are title, main content and conclusion.",maintaining eye contact and explaining very clearly.,"Good visual images, Bullet points of the content.",Explaining story like system.,It should be very clear and explaining in a good manner.,There are very amazing videos to explaining the correct theory of the content in good body language skill.
CO10,This parameter is used to evaluate the flow structure chosen to build the presentation,"Just like other forms of academic writing, a presentation can be divided into three parts: an introduction detailing the purpose and structure of the talk; a body covering the main points; and a conclusion summarising and highlighting the significance of your talk.","Handouts are physical objects given to the audience that contain information related to the presentation. ...
Demonstration",Confidence. I know this seem fairly impossible at the moment but going into a presentation with confidence really helps to sell it to your audience.,"A good presentation should have a good subject matter, should match with the objective, should best fit the audience, and should be well organized.","It must deliver clear information, and it must not distract from the message. Avoid overly elaborate presentation aids because they can distract the audience's attention from your message. Instead, simplify as much as possible, emphasizing the information you want your audience to understand."
CR35,-,-,-,-,"Mentally engage, balance, confidence, relatable, practice, delivery, enthusiasm, passion","conclusion, stage freight, summarize, summary"
CR52,arrange organise order design,distribution transmission reciever shipment,multimedia display illustration,quality feature element,video presentation,video skills
CR53,arrangements order,distribution transmission shipment,multimedia graphic visual display illustration,quality feature assign,all used in presentation,video representation
CR51,brings structure,reciever,visual media,assigns,video quaity,video presentation
CR32,"building, edifice, house, construction, hut, cottage, cabin",Good morning/afternoon everyone and welcome to my presentation,"It’s good to see you all here.
It’s great that you could join me.",Let me start by saying a few words about my own background.,It has become more important to make information visual. This article covers tips and techniques for using visual aids.,"Reduce the amount of spoken words, for example, you may show a graph of your results rather than reading them out."
CR56,built types classification figure,LIST THANKYOU HELLO,CLASSIFICATION,TYPES,PICTORIAL REPRESENTATION HELPS US UNDERSTAND THE THINGS BETTER,NARRATION OF THE VIDEO GIVES THE MAIN IDEA
CR62,"clear, concise, organized","confident, clear","organized, simple, informative","beginning, middle , end","Confidence, enthusiasm, practice, and relatability.","Reinforce key points three time, use language that signposts points, interact with audience."
CR4,"concise, flow","clear, understandable","uncomplicated, informative",informative,"You have to deliver your points with confidence, without getting nervous. You have to be passionate about delivering your points, too, and visual aids can help here. Being enthusiastic plays into being confident. Enthusiasm, passion, and confidence help people understand the point you are making better, and draws them into your presentation.","The same as listed above. It's all about delivering your presentation passionately, but with confidence and authenticity. You have to show people how passionate and confident you are about the subject if you want them to really listen to you."
CR9,"concise, pointed, attention keeping, organized to make sense, understandable","clear, logical, coherent","appropriate, sensible, easy to follow, related, easy to see","passing knowledge, sharing, learning, teaching, understanding","there are many things you need to do to give a good presentation. you need to be relaxed and enthusiastic, you need to be relatable and you need to get people to engage and pay attention.","be conversational, use visual aids to keep people engaged, summarize the key information to make it stick with people. thank people and invite questions. be mindful of ""signposting"" to help direct people. be mindful of the entire structure and repeat important parts to help it stick."
CR2,"Effective,Handout",Timing,Let's focus,Summarize the presentation,Relatable,Structure
CR31,"elements, topics","Style, medium, PowerPoint","pictures, slides, graphs","humor, style, sense","relatability, fine balance between authoritative and relatable, enthusiasm important, know audience","Key points important for audience remembering, repetition reinforces, conclusions important to solidify presentation, use key words and sign posting."
CR38,"First of all, I'd like to give you an overview of.... Next, I'll focus on.....and then we'll consider.... Then I'll go on to highlight what I see as the main points of.... Finally, I'd like to address the problem of.....13-Feb-2020
","You can use phrases such as 'Let's focus on …', 'I want to highlight …', 'Pay attention to …', 'Let's look at …', 'I want to briefly address …', or 'Now, let's discuss …. ' You can use these phrases after your sequencing words to help you with your structure.21-Apr-2023
","You can use phrases such as 'Let's focus on …', 'I want to highlight …', 'Pay attention to …', 'Let's look at …', 'I want to briefly address …', or 'Now, let's discuss …. ' You can use these phrases after your sequencing words to help you with your structure.21-Apr-2023
","The main purpose of presentation is to give information, to persuade the audience to act and to create goodwill. A good presentation should have a good subject matter, should match with the objective, should best fit the audience, and should be well organized.
","DELIVERY,",STRUCTURE
CR39,"First of all, I'd like to give you an overview of.... Next, I'll focus on.....and then we'll consider.... Then I'll go on to highlight what I see as the main points of.... Finally, I'd like to address the problem of.....13-Feb-2020
","You can use phrases such as 'Let's focus on …', 'I want to highlight …', 'Pay attention to …', 'Let's look at …', 'I want to briefly address …', or 'Now, let's discuss …. ' You can use these phrases after your sequencing words to help you with your structure.21-Apr-2023
","You can use phrases such as 'Let's focus on …', 'I want to highlight …', 'Pay attention to …', 'Let's look at …', 'I want to briefly address …', or 'Now, let's discuss …. ' You can use these phrases after your sequencing words to help you with your structure.21-Apr-2023
","The main purpose of presentation is to give information, to persuade the audience to act and to create goodwill. A good presentation should have a good subject matter, should match with the objective, should best fit the audience, and should be well organized.
",PRESENTATION,ATTRIBUTES
CR25,"flow
set up
order","oration
personality
tone
voice","charts
graphs
photos
sounds","contents
transitions",The main points I got were to be engaging and have confidence and authority without coming across as hostile,"signposting
reinforcement
credibility"
CR55,"Good Morning, Screen Springboard, Meeting","Pleasure, Plan Talk","Subject, Parts, Pleasure","Introduce, Outline, Policy",I considered the delivery and visual aids used in the video. I also took into account the confidence and enthusiasm of speaker.,I considered the delivery and visual aids used in the video. I also took into account the confidence and enthusiasm of speaker.
CR33,Good morning/afternoon everyone and welcome to my presentation,"Let me start by saying a few words about my own background.
","I’m very pleased to be here.
I’m very pleased to be talking to you today.",In my presentation I’ll focus on three major issues.,It has become more important to make information visual. This article covers tips and techniques for using visual aids,Think about how can a visual aid can support your message. What do you want the audience to do?
CR34,Good morning/afternoon everyone and welcome to my presentation.,Let me start by saying a few words about my own background.,"It’s good to see you all here.
It’s great that you could join me.","My talk is particularly relevant to those of you who....
This talk is designed to act as a springboard for discussion.",It has become more important to make information visual.,"Reduce the amount of spoken words, for example, you may show a graph of your results rather than reading them out."
